IOITEM_ItemNumber,IOBPRC_BasePrice
50002,2.2500
99999,0.0000
50003,1.1600
50004,1.6500
50005,2.2500
50268,3.2200
50267,3.7700
50001,0.0000
50070,2.0000
50006,1.0000
50007,1.3700
50008,0.0000
50009,1.8500
50010,2.2500
50011,0.6000
50012,0.0000
50014,2.0000
50015,2.2500
50016,0.0000
50017,2.0000
50018,2.2500
50019,0.0000
50020,2.2000
50021,0.9000
50022,1.4900
50023,2.1000
50024,1.9000
50025,2.2500
50026,0.0000
50027,1.7000
50028,2.5000
50029,2.2500
50030,0.9000
50031,0.0000
50032,0.0000
50033,1.8700
50034,2.4700
50035,2.4500
50037,1.0000
50038,1.8000
50039,1.8000
50040,1.6100
50041,1.8000
50042,1.6800
50043,1.8500
50044,2.2500
50045,1.8500
50046,1.6200
50047,1.6500
50048,2.2500
50050,1.5000
50051,2.2500
50052,2.2500
50053,1.5000
50054,1.5000
50055,1.5500
50056,1.5800
50057,1.8500
50058,1.7500
50059,1.5000
50060,1.8500
50061,1.1600
50062,1.4400
50063,0.0000
50064,0.0000
50066,1.8000
50067,0.0000
50068,0.0000
50069,2.4000
50071,2.2500
50072,2.0000
50073,1.6500
50074,1.5000
50075,2.0000
50076,2.0000
50077,0.0000
50078,0.0000
50079,1.1500
50080,1.5000
50081,1.8000
50082,1.8000
50083,1.8000
50084,2.2500
50085,1.8000
50086,1.7500
50087,1.6500
50088,1.5000
50089,1.5000
50090,2.0000
50091,1.5600
50092,2.0500
50093,2.2500
50094,2.4000
50095,1.8500
50096,1.5000
50097,2.2500
50098,2.2500
50099,2.5000
50100,1.6000
50101,2.0000
50102,1.8500
50103,0.0000
50104,2.2500
50105,2.2500
50106,0.0000
50107,2.2000
50108,2.2500
50109,2.2500
50110,0.0000
50111,2.2500
50112,1.9000
50113,2.2500
50114,1.8500
50115,2.2500
50116,1.6500
50117,1.8500
50118,2.2500
50119,2.2000
50120,2.0000
50121,2.8900
50122,3.6900
50123,1.8000
50124,2.1000
50125,2.6700
50126,2.2500
50127,2.2500
50128,1.5500
50129,2.2500
50130,2.2500
50131,2.0000
50133,2.3000
50134,2.2500
50135,2.2500
50136,2.2500
50137,2.2500
50138,1.7500
50139,2.2500
50140,0.0000
50141,2.2500
50142,2.0000
50143,2.0000
50144,2.5500
50145,2.2500
50146,2.2500
50147,2.3500
50148,2.4000
50149,2.2500
50150,1.9000
50151,3.6900
50152,2.3000
50153,0.0000
50154,2.2500
50155,2.3000
50156,2.6000
50157,0.0000
50158,0.0000
50159,1.9000
50160,1.9500
50161,1.9000
50162,1.8500
BOBAR,0.0000
50163,0.0000
50164,1.9000
50165,1.8600
50166,1.8000
50167,0.0000
50168,1.0800
50169,1.8000
50170,1.8000
50171,1.9000
50172,1.8500
50173,1.8500
50174,1.8000
50175,1.8000
50176,0.0000
50177,2.1000
50178,1.8000
50179,1.8500
50180,1.8500
50181,1.9500
50182,0.0000
50183,0.0000
50184,0.0000
50185,2.5000
50186,2.3000
50187,2.1500
50188,2.2200
50189,0.0000
50190,2.1000
50191,2.7000
50192,0.0000
BOTUB,0.0000
50193,1.7000
50194,0.0000
50195,2.4000
50196,2.3700
50197,0.0000
50198,2.7000
50199,1.6700
50200,0.0000
50201,2.2500
50202,2.2500
50203,1.5000
50204,1.8000
50205,2.2500
50206,2.2500
50207,1.7500
50208,0.0000
50209,1.5000
50210,1.6500
50211,1.5000
50212,1.6500
50213,1.8000
50214,1.5000
50215,1.5000
50216,1.8000
50217,2.2500
50218,1.8500
50219,1.8500
50220,1.8500
50221,1.5000
50228,1.7500
50222,1.8500
50223,2.0000
50224,1.6500
50225,1.6500
50226,1.7500
50227,2.3200
50229,2.2500
50230,1.6000
50231,1.8500
50232,2.2500
50233,0.0000
50234,2.0000
50235,2.0000
50236,2.0000
50237,1.8000
50238,2.0000
50239,1.7500
50240,1.6500
50241,1.8500
50242,1.1500
50244,1.8500
50245,1.5700
50246,1.5000
50247,1.5000
50248,1.6500
50249,1.7500
50250,2.2500
50251,2.2500
50252,1.8500
50253,1.7500
50255,2.2500
50256,0.0000
50257,0.0000
50258,0.0000
50259,0.0000
50260,3.6900
50261,3.5000
50262,2.4300
50263,2.5000
50264,3.7000
50265,3.8500
50266,2.0300
50269,3.1000
50270,0.0000
50271,3.5000
50272,2.1000
50013,2.3000
50274,1.8000
50275,2.2500
50276,3.0000
BOTBE,0.0000
50277,1.5900
50278,1.8000
50279,0.0000
50281,2.2500
50282,2.2500
50284,0.0000
50285,2.2500
50286,2.2500
50287,2.0000
50288,1.7500
50289,0.0000
50290,2.1000
50291,1.9200
50292,1.5500
50293,2.2500
50294,2.2500
50295,0.0000
50296,0.0000
50297,2.2500
50298,2.6000
50299,2.2500
BTUBE,0.0000
50300,2.2500
50301,2.2500
50302,2.3000
50303,0.0000
50304,2.2500
50305,2.3000
50306,1.9000
50307,1.6500
50308,1.5000
50309,1.8500
50310,0.0000
50311,2.5800
50312,1.8500
50313,0.0000
50314,2.0000
50315,2.2500
50316,2.0500
50317,1.0000
50319,2.4500
50320,0.0000
50321,0.0000
50318,1.8000
50322,0.0000
50323,2.2500
50325,0.0000
50326,0.6100
50327,0.0000
50328,0.0000
50329,0.6100
50330,0.6100
50331,0.0000
50332,0.6100
50333,2.2500
50334,1.9300
50335,1.5500
50336,0.0000
50337,2.1500
50338,0.0000
50339,1.7000
50340,1.8000
50341,2.2500
50342,2.1000
50343,2.0500
50344,1.9500
50345,0.0000
TSTPC,0.0000
50349,1.9500
50350,1.6000
50351,0.0000
50352,1.6500
50353,1.0000
50354,1.7500
50355,1.1500
50356,0.0000
50357,2.0000
50359,0.0000
50360,0.0000
50361,1.8000
50362,1.7000
50363,2.0000
50364,1.9000
50365,3.9000
50366,2.1000
50367,2.3500
