MDORDR_MaterialProcessingOrder,VVNDR_VendorCode,VALPHA_VendorName,MDCLOS_CloseFlag,MDITEM_ItemNumber,MDCRTD_CreationDate,MPRQDATE_RequestedProcessingDate,MDOQTY_QuantityOrdered,MDOUOM_UnitOfMeasure,MDIQTY_QuantityIssued
401785,120,"G&S                      ",P,50033,"12.000 BAR HF 4140 AR              ",20221027,40.917,"LB ",0.000
402174,119,"ACCU-TEST LABS           ",P,50060,"8.000 4.500 1.750 HF 4140 P110     ",20250324,140.000,"LB ",0.000
402169,307,AMERICAN ABRASIVES & COAT,P,50060,"8.000 4.500 1.750 HF 4140 P110     ",20250321,140.000,"LB ",0.000
402154,121,"SPECIALTY HEAT TREAT     ",P,50060,"8.000 4.500 1.750 HF 4140 P110     ",20250320,147.000,"LB ",0.250
402091,121,"SPECIALTY HEAT TREAT     ",P,50060,"8.000 4.500 1.750 HF 4140 P110..   ",20241017,154.000,"LB ",0.000
401777,119,"ACCU-TEST LABS           ",P,50071,"4.000 2.750 .625 HF 4140 P110 QT   ",20221021,0.500,"LB ",0.000
401822,120,"G&S                      ",P,50097,"8.500 6.250 1.125 HF 4140 P110 QT  ",20230109,25.000,"LB ",0.583
401821,119,"ACCU-TEST LABS           ",P,50097,"8.500 6.250 1.125 HF 4140 P110 QT  ",20230110,25.000,"LB ",24.250
401868,121,"SPECIALTY HEAT TREAT     ",P,50099,"8.750 5.750 1.500 HF 4140 LN80 QT  ",20230508,147.000,"LB ",0.167
401864,119,"ACCU-TEST LABS           ",P,50111,"11.000 7.000 2.000 HF 4140 P110 QT ",20230403,700.000,"LB ",632.834
401863,119,"ACCU-TEST LABS           ",P,50111,"11.000 7.000 2.000 HF 4140 P110 QT ",20230417,0.667,"LB ",0.000
401853,119,"ACCU-TEST LABS           ",P,50111,"11.000 7.000 2.000 HF 4140 P110 QT ",20230309,0.250,"LB ",0.000
401774,119,"ACCU-TEST LABS           ",P,50113,"11.000 8.000 1.500 HF 4140 LN80 QT ",20221011,0.500,"LB ",0.000
401788,249,"TEXAS STEEL CONVERSION   ",P,50125,"4.313 2.697 .808 CD  4130 P110 QT  ",20221128,675.000,"LB ",0.000
401717,121,"SPECIALTY HEAT TREAT     ",P,50131,"6.000 4.500 .750  HF 4140 P110     ",20220715,943.000,"LB ",1.000
401775,119,"ACCU-TEST LABS           ",P,50138,"6.625 4.897 .864 HF 4130 LN80 QT.  ",20221013,41.000,"LB ",0.000
402057,121,"SPECIALTY HEAT TREAT     ",P,50146,"9.000 6.000 1.500 HF 4130M P110    ",20240808,154.000,"LB ",0.583
402059,119,"ACCU-TEST LABS           ",P,50159,"3.750 BAR HF 4140 110KSI QT        ",20240719,54.000,"LB ",0.000
402058,119,"ACCU-TEST LABS           ",P,50159,"3.750 BAR HF 4140 110KSI QT        ",20240722,0.500,"LB ",0.000
402081,119,"ACCU-TEST LABS           ",P,50161,"4.250 BAR HF 4130 80KSI QT         ",20240826,44.000,"LB ",0.000
402080,119,"ACCU-TEST LABS           ",P,50161,"4.250 BAR HF 4130 80KSI QT         ",20240827,0.500,"LB ",0.000
402039,119,"ACCU-TEST LABS           ",P,50165,"5.000 BAR HF 4140 110KSI QT        ",20240619,36.000,"LB ",0.000
402038,119,"ACCU-TEST LABS           ",P,50165,"5.000 BAR HF 4140 110KSI QT        ",20240619,0.666,"LB ",0.000
402123,119,"ACCU-TEST LABS           ",P,50166,"5.250 BAR HF 4140 110KSI QT        ",20241119,42.000,"LB ",0.000
402122,119,"ACCU-TEST LABS           ",P,50166,"5.250 BAR HF 4140 110KSI QT        ",20241120,0.500,"LB ",0.000
402144,119,"ACCU-TEST LABS           ",P,50174,"7.250 BAR HF 4140 110KSI NQT       ",20250206,0.500,"LB ",0.000
402118,119,"ACCU-TEST LABS           ",P,50177,"8.000 BAR HF 4140 110KSI NQT       ",20241104,0.250,"LB ",0.000
402140,119,"ACCU-TEST LABS           ",P,50180,"8.500 BAR HF 4140 110KSI NQT       ",20250124,0.250,"LB ",0.000
401962,119,"ACCU-TEST LABS           ",P,50180,"8.500 BAR HF 4140 110KSI NQT       ",20231213,68.916,"LB ",1.333
401961,119,"ACCU-TEST LABS           ",P,50180,"8.500 BAR HF 4140 110KSI NQT       ",20231212,0.667,"LB ",0.000
401978,119,"ACCU-TEST LABS           ",P,50181,"9.000 BAR HF 4140 110K NQT         ",20240214,0.250,"LB ",0.000
401808,119,"ACCU-TEST LABS           ",P,50181,"9.000 BAR HF 4140 110K NQT         ",20221221,0.500,"LB ",0.000
400155,120,"G&S                      ",P,50188,"14.000 BAR HF 8630 AR              ",20140605,5.833,"FT ",2.000
402092,121,"SPECIALTY HEAT TREAT     ",P,50210,5.500 3.500 1.000 HF 4140 125KSI QT,20241030,238.000,"LB ",1.667
401825,120,"G&S                      ",P,50220,"6.000 4.000 1.000 HF 4140 P110 QT  ",20230109,185.000,"LB ",0.000
401824,119,"ACCU-TEST LABS           ",P,50220,"6.000 4.000 1.000 HF 4140 P110 QT  ",20230110,0.667,"LB ",0.167
401814,119,"ACCU-TEST LABS           ",P,50260,"2.625 1.995 .315 CD 4130 LN80 QT   ",20230106,0.500,"LB ",0.000
400208,119,"ACCU-TEST LABS           "," ",50261,"2.710 1.950 .380 CD 4130 LN80 QT   ",20140827,0.000,"FT ",0.000
401835,465,"DEMARCO MACHINE          ",P,50264,"2.906 1.815 .546 CD 4130 P110 QT   ",20230130,410.000,"LB ",0.000
402168,168,"HDH INSTRUMENTS          ",P,50267,"3.438 2.280 .579 CD 4130 P110 QT   ",20250321,307.500,"LB ",0.000
400648,119,"ACCU-TEST LABS           "," ",50270,"3.750 2.962 .394 CD 4130 LN80 QT   ",20160831,0.500,"LB ",0.500
401943,119,"ACCU-TEST LABS           ",P,50271,"3.915 2.925 .495 CD 4130 LN80 QT   ",20231020,0.666,"LB ",0.000
401872,119,"ACCU-TEST LABS           ",P,50271,"3.915 2.925 .495 CD 4130 LN80 QT.  ",20230424,0.500,"LB ",0.000
401866,119,"ACCU-TEST LABS           ",P,50271,"3.915 2.925 .495 CD 4130 LN80 QT.  ",20230403,120.000,"LB ",0.000
