CUSTOMER_KEY_DistributionCustomerID,CALPHA_CustomerName,CLIMIT_CreditLimit,SALES_REP_ID_Primary,SALES_REP_ID_Secondary,SMNAME_SalesmanName
101297,"2K MACHINE WORKS INC               ",0,104,199,"DAVID POPHAM   "
100423,"365 MACHINE INC                    ",0,104,199,"DAVID POPHAM   "
101399,"3D DESIGN & MACHINING LLC          ",0,121,199,"CHRIS SITKA    "
101268,"3D MANUFACTURING INC               ",200000,101,109,"BEN HILTON     "
100863,"401KABLE LLC                       ",0,156,157,"DARIO CAMACHO  "
100778,"A E MACHINE WORKS INC              ",20000,104,157,"DAVID POPHAM   "
100145,"A R MACHINING INC                  ",0,199,199,"HOUSE ACCOUNT  "
101334,"A&A MANUFACTURING                  ",0,112,157,"SHAWN REYES    "
100258,"A&B VALVE AND PIPING SYSTEMS       ",0,199,199,"HOUSE ACCOUNT  "
101221,"A&G WELDING SPECIALTY LLC          ",25000,108,157,"LACEY CORTEZ   "
100806,"A&M THREADERS INC                  ",100000,104,157,"DAVID POPHAM   "
101362,"A1 BEARING AND CHAIN INC           ",0,112,157,"SHAWN REYES    "
100986,"A9 MANUFACTURING INC               ",150000,112,157,"SHAWN REYES    "
101053,"ABACO DRILLING TECHNOLOGIES        ",150000,104,110,"DAVID POPHAM   "
100610,"ABCD PRECISION INC                 ",0,156,157,"DARIO CAMACHO  "
100304,"ACADEMY PETROLEUM INDUSTRIES LTD   ",0,156,120,"DARIO CAMACHO  "
101301,"ACADIANA COATINGS & SUPPLY INC     ",0,101,199,"BEN HILTON     "
100233,"ACADIANA MANUFACTURING LLC         ",25000,104,109,"DAVID POPHAM   "
101185,"ACCENT MACHINE                     ",5000,119,199,"DARREL THORMER "
100111,"ACCU-TEST LABS LLP                 ",10000,101,199,"BEN HILTON     "
100831,"ACCURATE CNC LLC                   ",0,112,199,"SHAWN REYES    "
100122,"ACCURATE MACHINE SHOP              ",15000,156,199,"DARIO CAMACHO  "
100319,"ACCURATE MACHINING CONCEPTS        ",0,199,199,"HOUSE ACCOUNT  "
101266,"ACCURATE WELDMENT TESTING          ",0,101,199,"BEN HILTON     "
100956,"ACCUTURN MANUFACTURING INC         ",0,112,157,"SHAWN REYES    "
101261,"ACCUWELD INC                       ",0,112,157,"SHAWN REYES    "
100985,"ACE MACHINE FABRICATION & CONST    ",20000,108,109,"LACEY CORTEZ   "
101316,"ACM MACHINING INC                  ",0,112,199,"SHAWN REYES    "
100161,"ACME INDUSTRIES INC                ",0,199,199,"HOUSE ACCOUNT  "
100750,"ADVANTAGE SOLUTIONS INC            ",0,104,199,"DAVID POPHAM   "
100636,"AEROLIFT MACHINE LLC               ",400000,104,110,"DAVID POPHAM   "
100206,"AF GLOBAL CORPORATION              ",1000000,156,157,"DARIO CAMACHO  "
100621,"AGABET MACHINE LTD                 ",500000,156,120,"DARIO CAMACHO  "
101006,"AGL MACHINE WORKS                  ",250000,118,109,MICHAEL BROUSSA
100667,"AIT MACHINE LLC                    ",100000,108,109,"LACEY CORTEZ   "
100531,"AKRIVIS MACHINE INC                ",0,156,120,"DARIO CAMACHO  "
100969,"ALART TOOL & DIE INC               ",25000,112,110,"SHAWN REYES    "
100241,"ALBERTA PRECISION TOOL             ",50000,108,120,"LACEY CORTEZ   "
100745,"ALL AMERICAN INFLATABLES           ",0,104,199,"DAVID POPHAM   "
100358,"ALL-TEX PIPE & SUPPLY              ",0,199,199,"HOUSE ACCOUNT  "
100176,"ALLAMON TOOL COMPANY INC           ",100000,104,110,"DAVID POPHAM   "
101070,"ALLEN INDUSTRIES                   ",20000,104,157,"DAVID POPHAM   "
100296,"ALLENDALE MACHINE CO INC           ",0,199,199,"HOUSE ACCOUNT  "
100805,"ALLOY CNC INC                      ",0,101,110,"BEN HILTON     "
101289,"ALLOY MACHINE WORKS INC            ",0,101,199,"BEN HILTON     "
100643,"ALPA PRECISION LLP                 ",0,112,110,"SHAWN REYES    "
101012,"ALTA TUBE AND BAR INC              ",100000,156,120,"DARIO CAMACHO  "
101087,"AMCO MANUFACTURING LTD             ",60000,120,199,MURRAY KAMMERER
100578,"AMEGA WEST SERVICES LLC            ",0,103,199,"WAYNE STOCKEL  "
100910,"AMERICAN BLOCK                     ",0,112,157,"SHAWN REYES    "
100400,"AMERICAN CAP COMPANY LLC           ",0,101,157,"BEN HILTON     "
100170,"AMERICAN PIPING PRODUCTS           ",250000,108,199,"LACEY CORTEZ   "
100947,"AMERICAN STEEL PRODUCTS LLC        ",150000,112,199,"SHAWN REYES    "
101274,"AMJAD ATIEH                        ",0,101,199,"BEN HILTON     "
100536,"AMS RESOURCE INC                   ",0,104,199,"DAVID POPHAM   "
100136,"AMTEX MACHINE PRODUCTS INC         ",150000,121,157,"CHRIS SITKA    "
100954,"ANCHOR MACHINE                     ",0,101,199,"BEN HILTON     "
100282,"ANTELOPE OIL TOOL & MFG            ",100000,199,199,"HOUSE ACCOUNT  "
100261,"ANTELOPE OIL TOOL CANADA INC       ",0,199,199,"HOUSE ACCOUNT  "
101036,"ANTHONY MACHINE                    ",0,101,199,"BEN HILTON     "
