IOITEM_ItemNumber,IOROH_ROPHeader,IOBOMI_BOMItem,IOQOH_QuantityOnHand,IOQOR_QuantityOnOrderRequired,IOQOO_QuantityOnOrder,IOQOOR_OtherOrderQuantity,IOFCST_ForecastQty,IOBUY_BuyerCode,IODOSC_DaysOnShelf,IOCOMP_CompanyCode,IORECD_RecordStatus,IODIST_DistributionCode,IOQIT_QuantityInTransit,IOQHLD_QuantityOnHold,IOQCOL_QuantityCommitted,IOROR_ROPReorder,IOROO_ROPOrderOpen,IOROOR_ROPOrderOther,IORIT_ROPItemThreshold,IORIQC_ROPQualityControlQty,IOBOMC_BOMCost,IOLCCC_LastCountCentury,IOLCYY_LastCountYear,IOLCMM_LastCountMonth,IOLCDD_LastCountDay,IOCUOM_CountUOM,IOACST_AverageCost,IORCST_RecentCost,IORLCK_ReorderLock,IOSCST_StandardCost,IOSCCC_StdCostCentury,IOSCYY_StdCostYear,IOSCMM_StdCostMonth,IOSCDD_StdCostDay,IODOSL_DaysOnShelfLast,IOMNRQ_MinReorderQty,IOTORQ_TotalReorderQty,IOPYIB_PriorYearInbound,IOCYIB_CurrentYearInbound,IOCYIU_CurrentYearIssued,IOITST_ItemStatus,IOPLVL_PlanningLevel,IOBGIN_BeginningInventory,IOMNBL_MinimumBalance,IOROPT_ReorderPoint,IOROPL_ROPLevel,IOROQT_ROPQty,IOLDTM_LastTransactionMonth,IOBGIT_BeginningItemQty,IOROFC_ReorderForecast,IOSSTK_SafetyStock,IOLDTL_LastDetailTrans,IOINVC_InvoiceCount,IOMTST_MaterialStatus,IODISC_DiscontinuedFlag,IOOWNF_OwnedFlag,IONSDC_NeedsCountFlag,IO1RCT_FirstReceiptDate,IOTOPP_TopPickFlag,IOPMON_PlanningMonth,IOLOCC_LocationCodeCentury,IOLOYY_LocationCodeYear,IOLOMM_LocationCodeMonth,IOLODD_LocationCodeDay,IO1ACQ_FirstAcquisitionDate
50002,0.000,373.917,188.253,34.917,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,35396.59,20,25,2,3,"FT ",94.6643,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,5099.22,9567.02,101.000,999,195.247,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,Y,0,36,20,25,2,20,88.6838
99999,15.975,15.975,1138.389,0.000,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1781.56,20,25,2,3,"FT ",129.8153,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,1104.64,5076.43,82.636,999,0.000,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,84,0,0,0,0,0.0000
50003,0.000,145.583,142.166,3.417,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,12197.50,20,25,2,3,"FT ",83.7838,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,12399.92,24597.42,293.582,999,5.833,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,93,20,22,4,25,0.0000
50004,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,1,61,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,20,25,2,3,"FT ",104.6946,0.0000,N,0.0000,0,0,0,0,260,0.000,0.000,409.71,0.00,0.000,999,0.000,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,49,20,22,4,21,0.0000
50005,0.000,546.248,309.332,0.000,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63489.37,20,25,2,3,"FT ",116.2281,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,33720.95,97210.32,821.413,999,243.499,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,Y,0,36,20,25,1,30,108.7602
50268,0.000,1555.666,1243.999,0.000,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,80091.75,20,25,2,3,"FT ",51.4839,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,80696.69,160977.23,3126.749,999,323.417,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,21,20,23,1,23,0.0000
50267,0.000,2051.417,1497.917,12.000,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,94116.96,20,25,2,3,"FT ",47.9228,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,113749.36,221974.11,4838.251,999,1002.167,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,22,20,23,4,14,0.0000
50001,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,1,61,1,I,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,20,25,2,3,"FT ",28.5717,0.0000,N,0.0000,0,0,0,0,260,0.000,0.000,19921.58,0.00,0.000,999,0.000,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,66,20,15,2,10,0.0000
50070,0.000,462.085,251.501,0.000,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14600.68,20,25,2,3,"FT ",31.5974,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,17836.80,33835.67,1070.837,999,276.917,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,31,20,23,3,20,0.0000
50006,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,1,61,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,20,25,2,3,"FT ",73.6235,0.0000,N,0.0000,0,0,0,0,216,0.000,0.000,0.07,0.00,0.000,999,0.000,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,70,20,19,10,23,0.0000
50007,0.000,123.833,109.250,5.250,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12388.77,20,25,2,3,"FT ",100.0442,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,9460.84,18076.74,144.410,999,60.997,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,Y,0,36,20,25,2,21,90.0545
50008,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,1,61,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,20,25,2,3,"FT ",43.2365,0.0000,N,0.0000,0,0,0,0,260,0.000,0.000,1232.21,0.00,0.000,999,0.000,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,33,20,16,9,15,0.0000
50009,0.000,184.668,45.167,0.000,160.667,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,26883.76,20,25,2,3,"FT ",145.5789,0.0000,N,0.0000,0,0,0,0,2,0.000,0.000,1689.66,30405.24,208.585,999,161.501,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,Y,0,93,20,25,1,9,142.9567
50010,0.000,89.917,276.001,11.834,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15239.51,20,25,2,3,"FT ",166.6049,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,41213.13,62511.87,368.836,999,101.418,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,Y,0,34,20,25,3,24,162.8417
50011,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,1,61,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,20,25,2,3,"FT ",67.2649,0.0000,N,0.0000,0,0,0,0,220,0.000,0.000,72.85,0.00,0.000,999,0.000,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,23,20,15,2,2,0.0000
50012,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,1,61,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,20,25,2,3,"FT ",135.9600,0.0000,N,0.0000,0,0,0,0,254,0.000,0.000,543.84,0.00,0.000,999,0.000,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,7,20,21,5,11,0.0000
50014,0.000,295.085,284.169,11.042,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,57677.14,20,25,2,3,"FT ",195.4594,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,59420.05,117097.19,599.087,999,23.583,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,35,20,24,5,23,0.0000
50015,0.000,147.917,80.917,11.667,120.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,31602.16,20,25,2,3,"FT ",213.6479,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,42445.00,82272.60,385.085,999,130.167,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,36,20,24,9,16,0.0000
50016,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,1,61,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,20,25,2,3,"FT ",162.9440,0.0000,N,0.0000,0,0,0,0,260,0.000,0.000,50705.23,0.00,0.000,999,0.000,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,17,20,15,4,2,0.0000
50017,0.000,177.749,168.916,0.000,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,48494.51,20,25,2,3,"FT ",272.8258,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,55042.61,107538.66,394.166,999,41.334,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,35,20,24,1,29,0.0000
