ORDER_KEY_DistributionOrderID,SMNAME_SalesmanName,OOTYPE_OrderType,CUSTOMER_KEY_DistributionCustomerID,CALPHA_CustomerName,ORDER_DATE_TransactionDate,ODITEM_ItemNumber,ODSIZ1_SizeSpecification1,ODSIZ2_SizeSpecification2,ODSIZ3_SizeSpecification3,ODCRTD_CreationDate,DXDSC2_DiscountDescription,ODTFTS_TotalFeetShipped,ODTLBS_TotalPoundsShipped,ODTPCS_TotalPiecesShipped,ODSLSX_ExtendedSalesAmount,ODFRTS_FreightCharge,ODCSTX_ItemCost,ODPRCC_UnitPriceCharged,ODADCC_AdditionalCharges,ODWCCS_DiscountedSalesTotal,CSTAT_CustomerState,CCTRY_CustomerCountry
1955846,"BEN HILTON     ",A,100994,"HALLIBURTON MFG MALAYSIA           ",20250217,51994,16.0000,13.0000,1.5000,"16.000 OD 13.000 ID 1.500 WALL     ","HF 4130 NQ&T 241-286 BHN      ",1.771,411.353,1.000,1856.61,0.00,633.45,0.00,0.00,0.00,"  ",MAL
1955889,"BEN HILTON     ",A,100728,"VAM USA LLC                        ",20250214,52610,17.4800,14.4800,1.5000,"17.480 OD 14.480 ID 1.500 WALL     ","HF 4130M Q125                 ",162.000,41472.550,5.000,124416.00,0.00,65941.35,0.00,0.00,0.00,TX,USA
1956300,"BEN HILTON     ",A,100753,"HALLIBURTON SINGAPORE              ",20250206,51507,17.0000,0.0000,0.0000,"17.000 OD 11.500 ID 2.750 WALL     ","HF 4340 NQ&T 285-336 BHN      ",0.750,313.565,1.000,4589.64,0.00,790.58,0.00,0.00,0.00,SG,SGP
1956357,"BEN HILTON     ",A,100753,"HALLIBURTON SINGAPORE              ",20250206,50191,16.0000,0.0000,0.0000,"16.000 OD 6.750 ID 4.625 WALL      ","HF 8630 NQ&T 293-326 BHN      ",1.625,913.051,1.000,6777.81,0.00,1591.00,1528.58,0.00,0.00,SG,SGP
1956360,"BEN HILTON     ",A,100753,"HALLIBURTON SINGAPORE              ",20250206,50185,13.0000,0.0000,0.0000,"13.000 OD 6.250 ID 3.375 WALL      ","HF 8630 NQ&T 293-326 BHN      ",9.292,3223.642,2.000,17533.38,0.00,5794.79,3148.12,0.00,0.00,SG,SGP
1956431,"BEN HILTON     ",A,100753,"HALLIBURTON SINGAPORE              ",20250206,50671,15.0000,0.0000,0.0000,"15.000 OD 7.500 ID 3.750 WALL      ","8630 NQ&T 293-326 BHN         ",1.938,872.980,1.000,6975.00,0.00,1569.48,1286.69,0.00,0.00,SG,SGP
1958490,"BEN HILTON     ",A,100189,"HALLIBURTON ENERGY SERVICES        ",20250214,52340,2.6250,1.8750,0.3750,"2.625 OD 1.875 ID .375 WALL        ","HF 4130 100 KSI QT++          ",111.000,1000.264,8.000,2320.00,0.00,1388.05,0.00,0.00,0.00,OK,USA
1961296,"CHRIS SITKA    ",A,100907,"BAKER HUGHES                       ",20250224,52059,6.0000,4.2500,0.8750,"6.000 OD 4.250 ID .875 WALL        ","HF 4140 LN80++..              ",0.595,28.497,1.000,150.00,0.00,37.25,0.00,0.00,0.00,OR,USA
1962001,"CHRIS SITKA    ",A,100907,"BAKER HUGHES                       ",20250213,51710,3.2500,0.0000,0.0000,"3.250 ROUND BAR                    ","HF 17-4  ANN                  ",1.354,38.191,1.000,242.45,0.00,0.00,0.00,0.00,0.00,OR,USA
1962031,"CHRIS SITKA    ",A,100907,"BAKER HUGHES                       ",20250204,50462,1.5000,0.0000,0.0000,"1.500 ROUND BAR                    ","HF 4140 110KSI QT             ",0.354,2.128,1.000,150.00,0.00,2.57,0.00,0.00,0.00,OR,USA
