SchemaName,TableName,ApproximateRowCount
mrs,z_***_remove_next_rel_____CLIMITA,1416
mrs,z______ADDHSTCT,5984
mrs,z______AROEHITS,27640
mrs,z______ITEMEXP,8
mrs,z______ITEMLIST,179308
mrs,z______OECHANGE,60438
mrs,z______POHSTDET,19092
mrs,z______POHSTHDR,19092
mrs,z______USEDSEQ,205329
mrs,z_A/P_Check_History_____APCHKH,26933
mrs,z_A/P_Debit_Detail_File_____APDEBD,162
mrs,z_A/P_Debit_Header_File_____APDEBH,158
mrs,z_A/P_Debit_Memo_Print_Workfile_-_Detail_____DBDWRK,162
mrs,z_A/P_Debit_Memo_Print_Workfile_-_Header_____DBHWRK,158
mrs,z_A/P_EDI_transaction_selection_____APEDITR,201
mrs,z_A/P_G/L_Distribution_File_____APDIST,164923
mrs,z_A/P_History_____APHIST,151428
mrs,z_A/P_Inventory_Reconciliation_File_____APINV,9833
mrs,z_A/P_Open_Payable_File_____APOPEN,151046
mrs,z_A/P_Processor_Voucher_Data_File_____APPRC,129
mrs,z_A/P_Void_File_-_(Checks_to_be_voided)_____APVOID,316
mrs,z_A/R_Batch_Header_for_A/R_Detail_File_____ARBTCH,20198
mrs,z_A/R_Cash_Receipts_____ARCASH,46067
mrs,z_A/R_Cash_Receipts_G/L_Entries_____ARGLTR,339380
mrs,z_A/R_Detail_File_____ARDETAL,0
mrs,z_A/R_History_File_____CRHIST,148390
mrs,z_A/R_Paymnt_Hst--Key_=_dist/cust/yy/mm_____ARPAYHST,90559
mrs,z_A/R_-to-_Frt/Claim_Xref_____FCXREF,571
mrs,z_Additional_Charge_Reconciliation_File_____ARECONCL,159
mrs,z_AP_Discrepancy_file_-_AP801_report_____AP801WF,166
mrs,z_AP_Discrepancy_file_-_AP803_report_____AP803WF,789
mrs,z_AR/Customer_History_Exchange_File_____ARCHEXC,278
mrs,z_Barcode_Checks_____BCCHECKS,99
mrs,z_Base_Item_Description_List_____ITEMS,134053
mrs,z_BDSEPR_-_Buyout_Override_info_____BDSEPR,9643
mrs,z_BDSEPR_-_Buyout_Override_info_____BDSEPRBH,148
mrs,z_Changed_Customer_Log_____ARCUSCHG,4087
mrs,z_Charge_History_File_____CHGHST,68272
mrs,z_Company_Standard_Mill_Order_File_(SMO)_____COMPSMO,287
mrs,z_Country_File_____COUNTRY,171
mrs,z_Credit_Comment_File_____CRCOMMNT,22245
mrs,z_Credit_Memo_Detail_File_____CRDETAIL,5446
mrs,z_Credit_Memo_Header_File_____CRHEADER,5444
mrs,z_Credit-Held_Order_Release_File_____OECRRELS,0
mrs,z_csv_file_for_ap803_____AP803CSV,135
mrs,z_Currency_Exchange_File_____EXCHANGE,2328
mrs,z_Currency_Exchange_Transation_File_____EXHTRANS,44249
mrs,z_Customer_A/R_Information_____ARINFO,308
mrs,z_Customer_Class_Summary_file_MTD_____CCLSMT,35435
mrs,z_Customer_Class_Summary_file_YTD_____CCLSYT,9909
mrs,z_Customer_Invoice_Address_File_____CUSINVAD,1277
mrs,z_Customer_Master_File_____ARCUST,0
