GLACCT_General_Ledger_Account,GLAMT_Transaction_Amount,GLDESC_Description,GLBTCH_Batch,GLREF_Reference,GLTRN#_Transaction_Number,GLCUST_Customer_ID,GLRECD_Record_Type,GLCOMP_Company_Code,GLDIST_Distribution_Center,GLAPPL_Application_Source,GLPERD_Posting_Period,GLPPYY_Posting_Year,GLCSTC_Cost_Center,GLCRDB_Credit_Debit,GLPCC_Posting_Century,GLPYY_Posting_Year,GLPMM_Posting_Month,GLPDD_Posting_Day,GLSYY_Source_Year,GLSMM_Source_Month,GLSDD_Source_Day,GLBDIS_Billing_Distribution_Center,GLRPTY_Report_Type,GLRP#_Report_Number,GLEXDT_External_Date,GLEXTM_External_Time,GLPGM_Program_Code,GLDSP_Distribution_Point,GLUSER_User,GLTIME_Time,GLTRNT_Transaction_Type,GLTYPE_TYPE,GLTRDS_Transaction_Distribution_Sequence,GLMLIN_Multi_line_Number,GLCDIS_Customer_Distribution_Code,GLAPTR_AP_Transaction_Reference,GLLOCK_Lock_Flag,GLRFCC_Reference_Century,GLRFYY_Reference_Year,GLRFMM_Reference_Month,GLRFDD_Reference_Day,GLAMTQ_Quantified_Amount,GLREF_CLEAN_Clean_Reference,GLREF_REV_Reversal_Reference
1501000000,0.09,"  61903                            ",21768,"50845          ",0,0,E,1,1,IA,1,18,0,C,20,18,1,3,18,1,3,1," ",0,20180221,105251,"IA640     ","YRIOSA1   ","YRIOS     ",111410,IA,Q,0,0,0,0,0,0,0,0,0,-0.09,50845,54805
4101400000,0.09,"  61903                            ",21768,"50845          ",0,0,E,1,1,IA,1,18,0,D,20,18,1,3,18,1,3,1," ",0,20180221,105253,"IA640     ","YRIOSA1   ","YRIOS     ",111410,IA,Q,0,0,0,0,0,0,0,0,0,0.09,50845,54805
1501000000,0.03,"  68836                            ",21770,"50162          ",0,0,E,1,1,IA,1,18,0,C,20,18,1,3,18,1,3,1," ",0,20180221,105251,"IA640     ","YRIOSA1   ","YRIOS     ",111533,IA,Q,0,0,0,0,0,0,0,0,0,-0.03,50162,26105
4101400000,0.03,"  68836                            ",21770,"50162          ",0,0,E,1,1,IA,1,18,0,D,20,18,1,3,18,1,3,1," ",0,20180221,105253,"IA640     ","YRIOSA1   ","YRIOS     ",111533,IA,Q,0,0,0,0,0,0,0,0,0,0.03,50162,26105
1501000000,75.54,"GULF COAST MACHINE LLC             ",0,"50278          ",833359,472,E,1,1,IU,1,18,0,C,20,18,1,3,18,1,3,0," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",111715,OE," ",1,1,1,0,0,0,0,0,0,-75.54,50278,87205
1503000000,75.54,"GULF COAST MACHINE LLC             ",0,"50278          ",833359,472,E,1,1,IU,1,18,0,D,20,18,1,3,18,1,3,0," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",111715,OE," ",1,1,1,0,0,0,0,0,0,75.54,50278,87205
1501000000,0.86,"GULF COAST MACHINE LLC             ",0,"50278          ",833359,472,E,1,1,IU,1,18,0,D,20,18,1,3,18,1,3,0," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",111715,OE," ",1,1,1,0,0,0,0,0,0,0.86,50278,87205
1503000000,0.86,"GULF COAST MACHINE LLC             ",0,"50278          ",833359,472,E,1,1,IU,1,18,0,C,20,18,1,3,18,1,3,0," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",111715,OE," ",1,1,1,0,0,0,0,0,0,-0.86,50278,87205
1501000000,59.50,"ACADIANA MANUFACTURING LLC         ",0,"50615          ",833633,233,E,1,1,IU,1,18,0,C,20,18,1,3,18,1,3,0," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",111823,OE," ",1,1,1,0,0,0,0,0,0,-59.50,50615,51605
1503000000,59.50,"ACADIANA MANUFACTURING LLC         ",0,"50615          ",833633,233,E,1,1,IU,1,18,0,D,20,18,1,3,18,1,3,0," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",111823,OE," ",1,1,1,0,0,0,0,0,0,59.50,50615,51605
