GLRECD,GLCOMP,GLDIST,GLAPPL,GLPERD,GLPPYY,GLCSTC,GLCRDB,GLACCT,GLAMT,GLPCC,GLPYY,GLPMM,GLPDD,GLSYY,GLSMM,GLSDD,GLDESC,GLBDIS,GLBTCH,GLREF,GLRPTY,GLRP#,GLEXDT,GLEXTM,GLPGM,GLDSP,GLUSER,GLTIME,GLTRNT,GLTYPE,GLTRDS,GLTRN#,GLMLIN,GLCDIS,GLCUST,GLAPTR,GLLOCK,GLRFCC,GLRFYY,GLRFMM,GLRFDD,GLAMTQ,GLREF_CLEAN,GLREF_REV
E,1,1,IA,1,18,0,C,1501000000,0.09,20,18,1,3,18,1,3,"  61903                            ",1,21768,"50845          "," ",0,20180221,105251,"IA640     ","YRIOSA1   ","YRIOS     ",111410,IA,Q,0,0,0,0,0,0,0,0,0,0,0,-0.09,50845,54805
E,1,1,IA,1,18,0,D,4101400000,0.09,20,18,1,3,18,1,3,"  61903                            ",1,21768,"50845          "," ",0,20180221,105253,"IA640     ","YRIOSA1   ","YRIOS     ",111410,IA,Q,0,0,0,0,0,0,0,0,0,0,0,0.09,50845,54805
E,1,1,IA,1,18,0,C,1501000000,0.03,20,18,1,3,18,1,3,"  68836                            ",1,21770,"50162          "," ",0,20180221,105251,"IA640     ","YRIOSA1   ","YRIOS     ",111533,IA,Q,0,0,0,0,0,0,0,0,0,0,0,-0.03,50162,26105
E,1,1,IA,1,18,0,D,4101400000,0.03,20,18,1,3,18,1,3,"  68836                            ",1,21770,"50162          "," ",0,20180221,105253,"IA640     ","YRIOSA1   ","YRIOS     ",111533,IA,Q,0,0,0,0,0,0,0,0,0,0,0,0.03,50162,26105
E,1,1,IU,1,18,0,C,1501000000,75.54,20,18,1,3,18,1,3,"GULF COAST MACHINE LLC             ",0,0,"50278          "," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",111715,OE," ",1,833359,1,1,472,0,0,0,0,0,0,-75.54,50278,87205
E,1,1,IU,1,18,0,D,1503000000,75.54,20,18,1,3,18,1,3,"GULF COAST MACHINE LLC             ",0,0,"50278          "," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",111715,OE," ",1,833359,1,1,472,0,0,0,0,0,0,75.54,50278,87205
E,1,1,IU,1,18,0,D,1501000000,0.86,20,18,1,3,18,1,3,"GULF COAST MACHINE LLC             ",0,0,"50278          "," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",111715,OE," ",1,833359,1,1,472,0,0,0,0,0,0,0.86,50278,87205
E,1,1,IU,1,18,0,C,1503000000,0.86,20,18,1,3,18,1,3,"GULF COAST MACHINE LLC             ",0,0,"50278          "," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",111715,OE," ",1,833359,1,1,472,0,0,0,0,0,0,-0.86,50278,87205
E,1,1,IU,1,18,0,C,1501000000,59.50,20,18,1,3,18,1,3,"ACADIANA MANUFACTURING LLC         ",0,0,"50615          "," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",111823,OE," ",1,833633,1,1,233,0,0,0,0,0,0,-59.50,50615,51605
E,1,1,IU,1,18,0,D,1503000000,59.50,20,18,1,3,18,1,3,"ACADIANA MANUFACTURING LLC         ",0,0,"50615          "," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",111823,OE," ",1,833633,1,1,233,0,0,0,0,0,0,59.50,50615,51605
