BDPONO_PurchaseOrderNumber,BDVNDR_VendorCode,VNAME_VendorName,BDRECD_RecordFlag,BDITEM_ItemNumber,BDCRTD_CreationDate,BDRPDATE_RequiredDate,BDOQOO_QuantityOrdered,BDIUOM_UnitOfMeasure,BDCQOO_ConfirmedQuantity,BDOOQ_OtherOrderedQuantity,BDTIQR_TimeInQueue,BDPOCDATE_PurchaseOrderDate,BDRCCDATE_ReceiptConfirmationDate
518291,130,"METALLUS                           ",C,50002,"5.250 BAR HF 4130 M7               ",20250219,281.167,"FT ",0.000,20000.000,329.667,20241106,20250220
516749,130,"METALLUS                           ",C,50002,"5.250 BAR HF 4130 M7               ",20231204,360.000,"FT ",0.000,26484.000,352.083,20231005,20231206
515418,130,"METALLUS                           ",C,50002,"5.250 BAR HF 4130 M7 ANN           ",20230713,532.000,"FT ",0.000,40000.000,543.917,20230109,20230714
513824,130,"METALLUS                           ",C,50002,"5.250 BAR HF 4130 M7 ANN           ",20221017,540.000,"FT ",0.000,40000.000,592.666,20220220,20221028
513249,130,"METALLUS                           ",C,50002,"5.250 BAR HF 4130 M7 ANN           ",20220620,280.000,"FT ",0.000,20000.000,256.250,20211203,20220629
518417,130,"METALLUS                           ",C,50005,"6.000 BAR HF 4130 M7 ANN           ",20250131,200.000,"FT ",0.000,20000.000,277.667,20241212,20250130
515489,130,"METALLUS                           ",C,50005,"6.000 BAR HF 4130 M7 HR            ",20230623,420.000,"FT ",0.000,40000.000,123.500,20221004,20230623
514978,130,"METALLUS                           ",C,50005,"6.000 BAR HF 4130 M7 ANN           ",20230217,620.000,"FT ",0.000,60000.000,706.251,20220615,20230220
513250,130,"METALLUS                           ",C,50005,"6.000 BAR HF 4130 M7 ANN           ",20220711,420.000,"FT ",0.000,40000.000,448.667,20211203,20220706
518694,183,"DUFERCO STEEL INC.                 ",C,50007,"6.750 BAR HF 8620 AR               ",20250220,96.000,"FT ",0.000,11800.000,94.667,20250219,20250221
518823,130,"METALLUS                           ",A,50009,"7.000 BAR HF 8630 AR               ",20250519,160.667,"FT ",160.667,20000.000,0.000,20250318,0
518344,130,"METALLUS                           ",C,50009,"7.000 BAR HF 8630 AR               ",20250110,160.000,"FT ",0.000,20000.000,185.917,20241115,20250109
