IMFSP2_ItemFamilyGroup,IMITEM_ItemNumber,IMSIZ1_SizeSpec1,IMSIZ2_SizeSpec2,IMSIZ3_SizeSpec3,IMDSC2_Description2,IMWPFT_WeightPerFoot,IOACST_AverageCost,IOQOH_QuantityOnHand,IOQOO_QuantityOnOrder,IOQ_TOTAL_TotalQuantityOnOrder,IMDSC1_Description1,IMWUOM_WeightUnitOfMeasure,IMCSMO_CostingModel
"AB00.750-00.000 HEX BAR CD 4140 AR                                    ",50782,0.7500,0.0000,0.0000,"CD 4140 AR                    ",1.502,0.0000,0.000,0.000,0.000,".750 HEX BAR                  ",PLI,"DEFAULT                            "
"AB00.750-00.000 HF 4140 110KSI QT                                     ",50806,0.7500,0.0000,0.0000,"HF 4140 110KSI QT             ",1.502,0.0000,0.000,0.000,0.000,".750 ROUND BAR                ",PLI,"STB20                              "
"AB00.750-00.000 HF 4140 AR                                            ",52216,0.7500,0.0000,0.0000,"HF 4140 AR                    ",1.502,0.0000,0.000,0.000,0.000,".750 ROUND BAR                ",PLI,"DEFAULT                            "
"AB01.000-00.000 HF 4130M7  NQT 277/326                                ",52500,1.0000,0.0000,0.0000,"HF 4130M7  NQT 277/326        ",2.670,0.0000,4.083,0.000,0.000,"1.000 ROUND BAR               ",PLI,"DEFAULT                            "
"AB01.000-00.000 HF 4340  ANN                                          ",51490,1.0000,0.0000,0.0000,"HF 4340  ANN                  ",2.670,4.8703,0.000,0.000,0.000,"1.000 ROUND BAR               ",PLI,"DEFAULT                            "
"AB01.000-00.000 HF 4340 48-52 NQT                                     ",50773,1.0000,0.0000,0.0000,"HF 4340 48-52 NQT..           ",2.670,11.0691,35.250,0.000,0.000,"1.000 ROUND BAR               ",PLI,"STB18                              "
"AB01.250-00.000 HF 4130 80KSI NQT                                     ",50768,1.2500,0.0000,0.0000,"HF 4130 80KSI NQT             ",4.172,0.0000,0.000,0.000,0.000,"1.250 ROUND BAR               ",PLI,"STB18                              "
"AB01.250-00.000 HF 4140 110 KSI QT                                    ",51503,1.2500,0.0000,0.0000,"HF 4140 110 KSI QT            ",4.172,5.1837,1848.000,0.000,0.000,"1.250 ROUND BAR               ",PLI,"STB20                              "
"AB01.250-00.000 HF 4140 110 KSI QT++                                  ",51575,1.2500,0.0000,0.0000,"HF 4140 110 KSI QT++          ",4.172,3.9219,0.000,0.000,0.000,"1.250 ROUND BAR               ",PLI,"STB20                              "
"AB01.250-00.000 HF 4340  NQT 341/401                                  ",52578,1.2500,0.0000,0.0000,"HF 4340  NQT 341/401          ",4.172,10.2403,219.583,0.000,0.000,"1.250 ROUND BAR               ",PLI,"DEFAULT                            "
"AB01.250-00.000 HF 4340  QT                                           ",51190,1.2500,0.0000,0.0000,"HF  4340  QT 262/321..        ",4.172,4.1242,7.583,0.000,0.000,"1.250 ROUND BAR               ",PLI,"DEFAULT                            "
"AB01.250-00.000 HF 4340 ANN                                           ",50568,1.2500,0.0000,0.0000,"HF 4340 ANN                   ",4.172,5.5687,470.256,0.000,176.417,"1.250 ROUND BAR               ",PLI,"STB16                              "
"AB01.250-00.000 HF 4340 QT 48-52RC                                    ",50563,1.2500,0.0000,0.0000,"HF 4340 QT 48-52RC..          ",4.172,7.0098,11.167,0.000,0.000,"1.250 ROUND BAR               ",PLI,"DEFAULT                            "
"AB01.375-00.000 HF 4130 80 KSI NQT                                    ",51126,1.3750,0.0000,0.0000,"HF  4130 80 KSI NQT           ",5.048,5.3671,1550.666,0.000,24.479,"1.375 ROUND BAR               ",PLI,"DEFAULT                            "
"AB01.375-00.000 HF 4140 110 KSI QT                                    ",52739,1.3750,0.0000,0.0000,"HF 4140 110 KSI QT            ",5.048,5.1062,841.750,0.000,19.709,"1.375 ROUND BAR               ",PLI,"STB20                              "
"AB01.375-00.000 HF 4340  ANN                                          ",51773,1.3750,0.0000,0.0000,"HF 4340  ANN                  ",5.048,5.0376,0.000,0.000,0.000,"1.375 ROUND BAR               ",PLI,"DEFAULT                            "
"AB01.500-00.000 HF 4130 110KSI QT                                     ",50559,1.5000,0.0000,0.0000,"HF 4130 110KSI QT             ",6.008,4.2047,0.000,0.000,0.000,"1.500 ROUND BAR               ",PLI,"DEFAULT                            "
"AB01.500-00.000 HF 4130 80KSI QT                                      ",50813,1.5000,0.0000,0.0000,"HF 4130 80KSI QT              ",6.008,6.7463,0.000,0.000,0.000,"1.500 ROUND BAR               ",PLI,"DEFAULT                            "
"AB01.500-00.000 HF 4130M7  NQT 217/255                                ",52287,1.5000,0.0000,0.0000,"HF 4130M7  NQT 217/255        ",6.008,0.0000,0.000,0.000,0.000,"1.500 ROUND BAR               ",PLI,"DEFAULT                            "
"AB01.500-00.000 HF 4140 110KSI QT                                     ",50462,1.5000,0.0000,0.0000,"HF 4140 110KSI QT             ",6.008,6.1640,1544.084,0.000,27.075,"1.500 ROUND BAR               ",PLI,"STB20                              "
"AB01.500-00.000 HF 4140 80KSI QT                                      ",50439,1.5000,0.0000,0.0000,"HF 4140 80KSI QT              ",6.008,0.0000,0.000,0.000,0.000,"1.500 ROUND BAR               ",PLI,"STB22                              "
"AB01.500-00.000 HF 4340 130 KSI QT                                    ",51152,1.5000,0.0000,0.0000,"HF  4340 130 KSI QT           ",6.008,6.8223,0.000,0.000,0.000,"1.500 ROUND BAR               ",PLI,"DEFAULT                            "
"AB01.563-00.000 HF 4130 80 KSI NQT                                    ",51702,1.5625,0.0000,0.0000,"HF 4130 80 KSI NQT            ",6.519,7.5889,0.000,0.000,0.000,"1.563 ROUND BAR               ",PLI,"STB18                              "
"AB01.625-00.000 HF 4140 110 KSI QT                                    ",51753,1.6250,0.0000,0.0000,"HF 4140 110 KSI QT            ",7.051,5.8171,0.000,0.000,0.000,"1.625 ROUND BAR               ",PLI,"STB20                              "
"AB01.750-00.000 HF 4130  AR                                           ",52001,1.7500,0.0000,0.0000,"HF 4130  AR..                 ",8.177,9.0782,2167.331,0.000,0.000,"1.750 ROUND BAR               ",PLI,"STB17                              "
"AB01.750-00.000 HF 4130  NQT 226/264                                  ",52600,1.7500,0.0000,0.0000,"HF 4130  NQT 226/264          ",8.177,0.0000,14.917,0.000,0.000,"1.750 ROUND BAR               ",PLI,"DEFAULT                            "
"AB01.750-00.000 HF 4130 110 KSI QT                                    ",52365,1.7500,0.0000,0.0000,"HF 4130 110 KSI QT..          ",8.177,16.2772,551.079,0.000,0.000,"1.750 ROUND BAR               ",PLI,"DEFAULT                            "
"AB01.750-00.000 HF 4130 80KSI QT                                      ",50719,1.7500,0.0000,0.0000,"HF 4130 80KSI QT..            ",8.177,15.8404,687.242,0.000,2.833,"1.750 ROUND BAR               ",PLI,"STB18                              "
"AB01.750-00.000 HF 4140 110 KSI QT                                    ",51434,1.7500,0.0000,0.0000,"HF 4140 110 KSI QT..          ",8.177,10.3355,0.000,0.000,0.000,"1.750 ROUND BAR               ",PLI,"STB20                              "
"AB01.750-00.000 HF 4340  ANN                                          ",52142,1.7500,0.0000,0.0000,"HF 4340  ANN                  ",8.177,9.9050,192.666,0.000,0.000,"1.750 ROUND BAR               ",PLI,"STB16                              "
"AB01.750-00.000 HF 4340  NQT 301/352                                  ",52556,1.7500,0.0000,0.0000,"HF 4340  NQT 301/352          ",8.177,0.0000,13.666,0.000,0.000,"1.750 ROUND BAR               ",PLI,"DEFAULT                            "
"AB01.750-00.000 HF 8620 AR                                            ",50876,1.7500,0.0000,0.0000,"HF 8620 AR                    ",8.177,0.0000,0.000,0.000,0.000,"1.750 ROUND BAR               ",PLI,"DEFAULT                            "
"AB01.875-00.000 HF 4130 110KSI QT                                     ",50560,1.8750,0.0000,0.0000,"HF 4130 110KSI QT             ",9.387,6.5709,0.000,0.000,0.000,"1.875 ROUND BAR               ",PLI,"DEFAULT                            "
"AB01.875-00.000 HF 4140  NQT 344/388                                  ",52601,1.8750,0.0000,0.0000,"HF 4140  NQT 344/388          ",9.387,0.0000,16.166,0.000,0.000,"1.875 ROUND BAR               ",PLI,"DEFAULT                            "
"AB01.875-00.000 HF 4140 110 KSI QT                                    ",51471,1.8750,0.0000,0.0000,"HF 4140 110 KSI QT            ",9.387,9.7754,1235.164,0.000,4.917,"1.875 ROUND BAR               ",PLI,"STB20                              "
"AB01.875-00.000 HF 4340  ANN                                          ",51806,1.8750,0.0000,0.0000,"HF 4340  ANN                  ",9.387,0.0000,0.000,0.000,0.000,"1.875 ROUND BAR               ",PLI,"STB16                              "
"AB02.000-00.000 HF 4130  AR                                           ",52002,2.0000,0.0000,0.0000,"HF 4130  AR..                 ",10.680,11.8907,259.922,0.000,0.000,"2.000 ROUND BAR               ",PLI,"STB17                              "
"AB02.000-00.000 HF 4130 80KSI QT                                      ",50787,2.0000,0.0000,0.0000,"HF 4130 80KSI QT..            ",10.680,23.7622,409.167,0.000,5.104,"2.000 ROUND BAR               ",PLI,"STB18                              "
"AB02.000-00.000 HF 4140 110 KSI QT                                    ",51403,2.0000,0.0000,0.0000,"HF 4140 110 KSI QT            ",10.680,10.9105,768.083,0.000,18.854,"2.000 ROUND BAR               ",PLI,"STB20                              "
"AB02.000-00.000 HF 4140 125KSI QT                                     ",50510,2.0000,0.0000,0.0000,"HF 4140 125KSI QT             ",10.680,7.4201,0.000,0.000,0.000,"2.000 ROUND BAR               ",PLI,"STB13                              "
"AB02.000-00.000 HF 4140 150 KSI QT                                    ",51148,2.0000,0.0000,0.0000,"CD  4140 150 KSI QT           ",10.680,0.0000,0.000,0.000,0.000,"2.000 ROUND BAR               ",PLI,"DEFAULT                            "
"AB02.000-00.000 HF 4140 AR                                            ",50489,2.0000,0.0000,0.0000,"HF 4140 AR                    ",10.680,7.3693,0.000,0.000,0.000,"2.000 ROUND BAR               ",PLI,"STB19                              "
"AB02.000-00.000 HF 4140 Q&T 369-420                                   ",51067,2.0000,0.0000,0.0000,"CD 4140 Q&T 369-420 BHN       ",10.680,0.0000,0.000,0.000,0.000,"2.000 ROUND BAR               ",PLI,"DEFAULT                            "
"AB02.000-00.000 HF 4340 130 KSI QT                                    ",51221,2.0000,0.0000,0.0000,"HF  4340 130 KSI QT           ",10.680,9.7065,0.000,0.000,0.000,"2.000 ROUND BAR               ",PLI,"DEFAULT                            "
"AB02.000-00.000 HF 8620  AR                                           ",51735,2.0000,0.0000,0.0000,"HF 8620  AR                   ",10.680,11.6820,286.416,0.000,0.000,"2.000 ROUND BAR               ",PLI,"DEFAULT                            "
"AB02.125-00.000 CF 4130  NORM                                         ",52584,2.1250,0.0000,0.0000,"CF 4130  NORM                 ",12.057,17.8058,0.000,0.000,0.000,"2.125 ROUND BAR               ",PLI,"DEFAULT                            "
