OORECD_RecordFlag,ODTYPE_OrderType,ODITEM_ItemCode,ODORDR_OrderNumber,OOCUST_CustomerID,CALPHA_CustomerName,ODTLBS_TotalLbs,ODTFTS_TotalFeet,ORDER_DATE_TransactionDate,SALES_REP_ID_SalesmanCode
A,A,50002,966245,539,"SCHLUMBERGER SINGAPORE             ",750.355,13.200,20250116,199
A,A,50002,968083,753,"HALLIBURTON SINGAPORE              ",382.315,6.083,20250220,199
A,A,50003,964289,561,"US STEEL OILWELL SERVICES LLC      ",179.317,3.250,20241205,157
A,A,50007,969866,561,"US STEEL OILWELL SERVICES LLC      ",396.749,5.000,20250326,157
A,A,50010,956125,753,"HALLIBURTON SINGAPORE              ",980.203,10.000,20240702,199
A,A,50013,969984,1226,"BULLDOG TOOL INC                   ",959.545,50.000,20250328,157
A,A,50014,969971,1341,"S&W MACHINE SHOP INC               ",1619.780,11.042,20250328,109
A,A,50015,960580,138,"DIXIE IRON WORKS LTD               ",1213.584,11.667,20240930,157
A,A,50023,969895,227,"FAITH MANUFACTURING CO INC         ",166.877,0.625,20250327,110
A,A,50027,969622,994,"HALLIBURTON MFG MALAYSIA           ",168.268,0.521,20250321,199
A,A,50027,969623,994,"HALLIBURTON MFG MALAYSIA           ",309.613,0.958,20250321,199
A,A,50034,969501,381,"BLUELINE MANUFACTURING LLC         ",1140.986,4.875,20250319,109
A,A,50039,955960,753,"HALLIBURTON SINGAPORE              ",1592.400,22.000,20240628,199
A,C,50066,834653,118,"SERVICE MACHINE & SUPPLY INC       ",117.141,6.104,20180123,109
A,A,50069,924447,333,"MAGNUM MACHINE & MFG               ",24030.356,1000.000,20221215,157
A,A,50073,969589,419,"FRONTIER OIL TOOLS LLC             ",525.283,21.708,20250320,157
A,A,50075,969584,419,"FRONTIER OIL TOOLS LLC             ",20.429,0.667,20250320,157
A,A,50075,969585,419,"FRONTIER OIL TOOLS LLC             ",37.027,1.208,20250320,157
A,A,50081,969042,907,"BAKER HUGHES                       ",121.681,2.604,20250311,110
A,A,50082,969583,419,"FRONTIER OIL TOOLS LLC             ",81.770,2.042,20250320,157
A,A,50084,969947,496,"CASTLE                             ",854.413,20.000,20250327,120
A,A,50090,969908,223,"PACKERS PLUS USA                   ",978.676,14.042,20250327,110
A,A,50091,969870,381,"BLUELINE MANUFACTURING LLC         ",19.358,0.333,20250326,109
A,A,50097,969395,592,"STEEL ALLOYS & SVCS                ",335.987,3.792,20250318,199
A,A,50098,969570,419,"FRONTIER OIL TOOLS LLC             ",133.606,1.875,20250320,157
A,A,50098,969573,419,"FRONTIER OIL TOOLS LLC             ",1132.684,15.896,20250320,157
A,A,50102,969990,1317,"VIKING POWER TECHNOLOGIES          ",17145.214,200.667,20250328,112
A,A,50111,969994,1070,"ALLEN INDUSTRIES                   ",1223.546,6.365,20250328,157
A,A,50111,969997,223,"PACKERS PLUS USA                   ",112.142,0.583,20250328,110
A,A,50114,955709,753,"HALLIBURTON SINGAPORE              ",35.148,0.500,20240624,199
A,A,50114,968365,907,"BAKER HUGHES                       ",213.603,2.000,20250226,110
A,A,50119,967811,157,"NORQUEST INDUSTRIES INC            ",3590.473,23.906,20250217,120
A,A,50144,969864,116,"STEWART TUBULAR PRODUCTS INC       ",1351.708,13.500,20250326,110
A,A,50148,960335,116,"STEWART TUBULAR PRODUCTS INC       ",1775.576,14.000,20240925,110
A,A,50148,969833,286,"OLYMPIAN MACHINE LLC               ",3770.924,33.063,20250326,109
A,A,50156,969432,753,"HALLIBURTON SINGAPORE              ",3119.901,18.677,20250318,199
A,A,50156,969433,753,"HALLIBURTON SINGAPORE              ",3119.901,18.677,20250318,199
A,A,50156,969434,753,"HALLIBURTON SINGAPORE              ",3119.901,18.677,20250318,199
A,A,50156,969435,753,"HALLIBURTON SINGAPORE              ",3119.901,18.677,20250318,199
A,A,50156,969436,753,"HALLIBURTON SINGAPORE              ",3119.901,18.677,20250318,199
A,A,50156,967150,753,"HALLIBURTON SINGAPORE              ",6239.803,37.354,20250203,199
A,A,50159,966470,286,"OLYMPIAN MACHINE LLC               ",6.258,0.167,20250121,109
A,A,50160,961330,395,"KAJAN PERFECTION                   ",854.413,20.000,20241010,109
A,A,50160,969754,303,"HORN EQUIPMENT                     ",626.478,20.000,20250325,199
A,A,50162,969869,517,"NATIONAL OILWELL U.S. AFTER MARKET ",287.758,5.967,20250326,110
A,A,50165,968705,753,"HALLIBURTON SINGAPORE              ",58.407,0.875,20250304,199
A,A,50166,878910,138,"DIXIE IRON WORKS LTD               ",122.655,1.667,20201201,157
A,A,50172,967665,907,"BAKER HUGHES                       ",1421.827,11.688,20250213,110
A,A,50174,969677,131,"CNC MANUFACTURING                  ",2229.061,16.883,20250324,110
A,A,50175,969820,1366,"BAKER HUGHES SINGAPORE PTE         ",470.347,3.375,20250326,199
A,A,50177,969361,907,"BAKER HUGHES                       ",576.057,4.042,20250317,110
A,A,50177,969214,753,"HALLIBURTON SINGAPORE              ",345.767,2.967,20250313,199
A,A,50180,968919,753,"HALLIBURTON SINGAPORE              ",286.495,2.208,20250307,199
A,A,50185,956428,753,"HALLIBURTON SINGAPORE              ",2295.488,7.625,20240711,199
A,A,50185,956355,753,"HALLIBURTON SINGAPORE              ",825.545,2.021,20240710,199
A,A,50187,969109,1044,"UNITY FABRICATION LLC              ",268.465,0.813,20250312,157
A,A,50188,968626,227,"FAITH MANUFACTURING CO INC         ",2575.760,6.563,20250303,110
A,A,50206,969918,223,"PACKERS PLUS USA                   ",232.842,6.354,20250327,110
A,A,50210,969047,591,"D&J MACHINE WORKS                  ",9344.805,194.438,20250311,110
A,A,50212,969059,591,"D&J MACHINE WORKS                  ",2656.307,61.458,20250311,110
A,C,50213,830981,253,"FORUM US INC                       ",760.961,20.000,20171013,110
A,A,50220,969969,561,"US STEEL OILWELL SERVICES LLC      ",1068.016,20.000,20250328,157
A,A,50226,969906,223,"PACKERS PLUS USA                   ",276.968,5.750,20250327,110
A,A,50228,968372,189,"HALLIBURTON ENERGY SERVICES        ",733.140,32.583,20250226,106
A,A,50230,969774,286,"OLYMPIAN MACHINE LLC               ",299.063,16.271,20250325,109
A,A,50236,969986,725,"INNOVEX DOWNHOLE SOLUTIONS INC     ",1246.018,18.667,20250328,110
A,A,50239,966873,907,"BAKER HUGHES                       ",53.401,0.667,20250129,110
A,A,50249,942675,561,"US STEEL OILWELL SERVICES LLC      ",394.338,7.258,20231013,157
A,A,50267,969814,106,"BENOIT CONNECTORS                  ",212.154,12.000,20250326,109
A,A,50274,969163,219,"TNN MACHINING COMPANY              ",420.837,1.375,20250312,157
A,A,50277,969911,680,"SOND INDUSTRIES INC                ",112.809,4.000,20250327,112
A,A,50278,969981,512,"ROY B WHEELER CO INC               ",423.895,12.960,20250328,110
A,C,50278,842173,591,"D&J MACHINE WORKS                  ",725.038,22.167,20180706,110
A,C,50284,812278,322,"CARROLL MACHINE WORKS              ",2104.301,4.021,20160114,199
A,C,50284,812279,322,"CARROLL MACHINE WORKS              ",2104.301,4.021,20160114,199
A,A,50290,956433,753,"HALLIBURTON SINGAPORE              ",175.722,0.813,20240711,199
A,A,50301,969879,227,"FAITH MANUFACTURING CO INC         ",4204.311,30.875,20250327,110
A,A,50304,969960,1381,"LIBERTY LIFT SOLUTIONS LLC         ",3404.300,141.667,20250328,109
A,A,50305,969787,395,"KAJAN PERFECTION                   ",421.254,1.188,20250325,109
A,A,50306,969571,381,"BLUELINE MANUFACTURING LLC         ",224.265,2.563,20250320,109
A,A,50316,969652,337,"NUMERICAL PRECISION INC            ",9376.428,96.875,20250321,110
A,A,50318,969727,1403,"LV CNC LLC                         ",99.857,6.625,20250324,199
A,A,50318,969234,1412,"SATURN MACHINE INC                 ",96.121,4.000,20250314,157
A,A,50318,968592,907,"BAKER HUGHES                       ",61.077,2.542,20250303,110
A,A,50339,969685,907,"BAKER HUGHES                       ",49.577,0.646,20250324,110
A,A,50340,968369,286,"OLYMPIAN MACHINE LLC               ",7.120,0.167,20250226,109
A,A,50343,969913,234,"GRAYLOC PRODUCTS                   ",55.195,1.021,20250327,157
A,A,50344,969916,102,"HUNTING ENERGY SERVICES            ",471.151,5.833,20250327,106
A,A,50352,968918,753,"HALLIBURTON SINGAPORE              ",96.329,0.683,20250307,199
A,A,50352,969576,189,"HALLIBURTON ENERGY SERVICES        ",513.649,2.375,20250320,106
A,A,50363,968772,539,"SCHLUMBERGER SINGAPORE             ",1294.988,16.320,20250305,199
A,A,50363,968773,539,"SCHLUMBERGER SINGAPORE             ",1009.329,12.720,20250305,199
A,A,50363,951716,189,"HALLIBURTON ENERGY SERVICES        ",961.214,10.000,20240410,106
A,A,50364,956373,753,"HALLIBURTON SINGAPORE              ",67.351,0.854,20240710,199
A,A,50375,956335,753,"HALLIBURTON SINGAPORE              ",22.171,0.521,20240710,199
A,A,50379,969574,419,"FRONTIER OIL TOOLS LLC             ",1498.337,20.042,20250320,157
A,A,50385,965983,907,"BAKER HUGHES                       ",963.717,17.188,20250110,110
