ITITEM_ItemNumber,ITTAG_TagNumber,ITTDES_TagDescription,ITLNTH_LengthFeet,ITTPCS_NumberOfPieces,ITHEAT_HeatNumber,ITV301_VendorOrBatchCode,ITLOCT_StorageLocation,ITTQTY_TotalQuantity,ITRQTY_ReservedQuantity,IMFSP2_ItemFamilyGroup
50002," 337286","5.250 BAR HF 4130 M7               ",247.0000,4.000,"T0514          ","NA                            ","16S7   ",82.336,0.000,"AB05.250-00.000 HF 4130 M7                                            "
50002," 337285","5.250 BAR HF 4130 M7               ",248.0000,4.000,"T0514          ","NA                            ","16S7   ",82.667,20.667,"AB05.250-00.000 HF 4130 M7                                            "
50002," 325893","5.250 BAR HF 4130 M7               ",78.0000,1.000,"X3693          ","NA                            ","1SB31  ",6.500,0.000,"AB05.250-00.000 HF 4130 M7                                            "
50002," 331183","5.250 BAR HF 4130 M7               ",171.0000,1.000,"X3693          ","NA                            ","11S9   ",14.250,14.250,"AB05.250-00.000 HF 4130 M7                                            "
50002," 202034","5.250 BAR HF 4130 M7 ANN           ",30.0000,1.000,"Y0729          ","2223635                       ","1SB4   ",2.500,0.000,"AB05.250-00.000 HF 4130 M7                                            "
50003," 322612","5.500 BAR HF 8620 AR..             ",39.0000,1.000,"4000006537     ","NA                            ","1SB19  ",3.250,0.000,"AB05.500-00.000 HF 8620 AR                                            "
50003," 330275","5.500 BAR HF 8620 AR..             ",41.0000,1.000,"4000006537     ","NA                            ",1964289,3.417,3.417,"AB05.500-00.000 HF 8620 AR                                            "
50003," 338905","5.500 BAR HF 8620 AR..             ",105.0000,1.000,"4000006537     ","NA                            ","1SB33  ",8.750,0.000,"AB05.500-00.000 HF 8620 AR                                            "
50003," 215786","5.500 BAR HF 8620 AR               ",216.0000,2.000,"4000006537     ","NA                            ","13S7   ",36.000,0.000,"AB05.500-00.000 HF 8620 AR                                            "
50003," 215791","5.500 BAR HF 8620 AR               ",217.0000,1.000,"4000006537     ","NA                            ","13S7   ",18.083,0.000,"AB05.500-00.000 HF 8620 AR                                            "
50003," 215794","5.500 BAR HF 8620 AR               ",218.0000,4.000,"4000006537     ","NA                            ","13S7   ",72.666,0.000,"AB05.500-00.000 HF 8620 AR                                            "
50005," 200194","6.000 BAR HF 4130 M7 ANN           ",25.0000,1.000,"L7822          ","16835-A                       ","1SB2   ",2.083,0.000,"AB06.000-00.000 HF 4130 M7 ANN                                        "
50005," 335048","6.000 BAR HF 4130 M7 ANN           ",237.0000,4.000,"T1095          ","NA                            ","14S10  ",79.000,0.000,"AB06.000-00.000 HF 4130 M7 ANN                                        "
50005," 335047","6.000 BAR HF 4130 M7 ANN           ",238.0000,6.000,"T1095          ","NA                            ","14S10  ",119.000,0.000,"AB06.000-00.000 HF 4130 M7 ANN                                        "
50005," 335049","6.000 BAR HF 4130 M7 ANN           ",239.0000,4.000,"T1095          ","NA                            ","14S10  ",79.667,0.000,"AB06.000-00.000 HF 4130 M7 ANN                                        "
50005," 256672","6.000 BAR HF 4130 M7 ANN           ",25.0000,2.000,"X0512          ","NA                            ","RY     ",4.167,0.000,"AB06.000-00.000 HF 4130 M7 ANN                                        "
50005," 256671","6.000 BAR HF 4130 M7 ANN           ",26.0000,1.000,"X0512          ","NA                            ","RY     ",2.167,0.000,"AB06.000-00.000 HF 4130 M7 ANN                                        "
50005," 263898","6.000 BAR HF 4130 M7 ANN           ",40.0000,1.000,"X0512          ","NA                            ","1SB15  ",3.333,0.000,"AB06.000-00.000 HF 4130 M7 ANN                                        "
50005," 316388","6.000 BAR HF 4130 M7 ANN           ",25.0000,1.000,"X2448          ","NA                            ","1SB4   ",2.083,0.000,"AB06.000-00.000 HF 4130 M7 ANN                                        "
50005," 279300","6.000 BAR HF 4130 M7 ANN           ",25.0000,1.000,"X2448          ","NA                            ","1SB1   ",2.083,0.000,"AB06.000-00.000 HF 4130 M7 ANN                                        "
50005," 279299","6.000 BAR HF 4130 M7 ANN           ",27.0000,1.000,"X2448          ","NA                            ","1SB1   ",2.250,0.000,"AB06.000-00.000 HF 4130 M7 ANN                                        "
50005," 327002","6.000 BAR HF 4130 M7 ANN           ",28.0000,1.000,"X2448          ","NA                            ","1SB1   ",2.333,0.000,"AB06.000-00.000 HF 4130 M7 ANN                                        "
50005," 303388","6.000 BAR HF 4130 M7 ANN           ",40.0000,1.000,"X2448          ","NA                            ","1SB14  ",3.333,0.000,"AB06.000-00.000 HF 4130 M7 ANN                                        "
50005," 283110","6.000 BAR HF 4130 M7 ANN           ",46.0000,1.000,"X2448          ","NA                            ","1SB20  ",3.833,0.000,"AB06.000-00.000 HF 4130 M7 ANN                                        "
50005," 303386","6.000 BAR HF 4130 M7 ANN           ",48.0000,1.000,"X2448          ","NA                            ","1SB14  ",4.000,0.000,"AB06.000-00.000 HF 4130 M7 ANN                                        "
50007," 337828","6.750 BAR HF 8620 AR               ",33.0000,1.000,"4000003400     ","NA                            ","1SB4   ",2.750,0.000,"AB06.750-00.000 HF 8620 AR                                            "
50007," 341392","6.750 BAR HF 8620 AR               ",63.0000,1.000,"4000003400     ","NA                            ",1969866,5.250,5.250,"AB06.750-00.000 HF 8620 AR                                            "
50007," 341393","6.750 BAR HF 8620 AR               ",79.0000,1.000,"4000003400     ","NA                            ","1SB26  ",6.583,0.000,"AB06.750-00.000 HF 8620 AR                                            "
50007," 337554","6.750 BAR HF 8620 AR               ",284.0000,4.000,"B77368         ","NA                            ","14S9   ",94.667,0.000,"AB06.750-00.000 HF 8620 AR                                            "
50009," 336184","7.000 BAR HF 8630 AR               ",126.0000,1.000,"T0819          ","NA                            ","1SB43  ",10.500,0.000,"AB07.000-00.000 HF 8630 AR                                            "
50009," 333263","7.000 BAR HF 8630 AR               ",280.0000,1.000,"T0819          ","NA                            ","7S7    ",23.333,0.000,"AB07.000-00.000 HF 8630 AR                                            "
50009," 318229","7.000 BAR HF 8630 AR               ",33.0000,1.000,"X6696          ","NA                            ","2SB6   ",2.750,0.000,"AB07.000-00.000 HF 8630 AR                                            "
50009," 311709","7.000 BAR HF 8630 AR               ",34.0000,1.000,"X6696          ","NA                            ","2SB13  ",2.833,0.000,"AB07.000-00.000 HF 8630 AR                                            "
