IHITEM_ItemNumber,IHTRNT_TransactionType,IHTRN_TransactionNumber,IHVNDR_VendorID,IHCUST_CustomerID,IHTRYY_TransactionYear,IHTRMM_TransactionMonth,IHTRDD_TransactionDay,IHTQTY_QuantityTransacted
50002,IN,967386,0,199,25,2,7,-2.917
50002,PO,518291,130,0,25,2,20,82.667
50002,PO,518291,130,0,25,2,20,247.000
50002,IA,37855,130,0,25,2,21,0.000
50007,IA,36986,0,0,25,2,4,-21.917
50007,IA,36986,0,0,25,2,4,10.084
50007,IA,36986,0,0,25,2,4,11.833
50007,IA,37025,0,0,25,2,5,-21.917
50007,IA,37025,0,0,25,2,5,4.584
50007,IA,37025,0,0,25,2,5,17.333
50007,IN,967112,0,106,25,2,6,-10.084
50007,IN,967163,0,302,25,2,14,-21.913
50007,IN,967163,0,302,25,2,14,-4.584
50007,IN,967172,0,907,25,2,17,-3.083
50007,PO,518694,183,0,25,2,21,94.667
50007,IA,37990,183,0,25,2,25,0.000
50007,IA,38027,0,0,25,2,25,-17.333
50007,IA,38027,0,0,25,2,25,14.583
50007,IA,38027,0,0,25,2,25,2.750
50009,IA,37296,0,0,25,2,10,-23.083
50009,IA,37296,0,0,25,2,10,12.583
50009,IA,37296,0,0,25,2,10,10.500
50009,IN,967401,0,1024,25,2,20,-12.583
50010,IA,36877,0,0,25,2,3,-21.833
50010,IA,36878,0,0,25,2,3,-21.917
50010,IA,36880,0,0,25,2,3,-21.917
50010,IA,36880,0,0,25,2,3,20.417
50010,IA,36882,0,0,25,2,3,-21.917
50010,IA,36882,0,0,25,2,3,15.334
50010,IN,965024,0,994,25,2,4,-20.417
50010,IN,965024,0,994,25,2,4,-15.334
50013,IN,967015,0,1226,25,2,3,-24.500
50013,IN,967015,0,1226,25,2,3,-24.583
50013,IN,967325,0,317,25,2,6,-20.750
50013,IN,967337,0,1226,25,2,7,-24.417
50013,IN,967337,0,1226,25,2,7,-24.166
50013,IN,967478,0,1226,25,2,11,-24.333
50013,IN,967478,0,1226,25,2,11,-23.917
50013,IN,967764,0,130,25,2,14,-24.500
50013,IN,967764,0,130,25,2,14,-24.416
50013,IN,967764,0,130,25,2,14,-24.250
50013,IN,967764,0,130,25,2,14,-24.083
50013,IN,967817,0,1226,25,2,18,-23.917
50013,IN,967817,0,1226,25,2,18,-23.750
50013,IA,37846,0,0,25,2,20,-22.917
50013,IA,37846,0,0,25,2,20,14.084
50013,IA,37846,0,0,25,2,20,8.833
50013,IN,968037,0,783,25,2,21,-14.084
50013,IN,968312,0,1226,25,2,26,-23.666
50013,IN,968312,0,1226,25,2,26,-23.834
50015,IA,36884,0,0,25,2,3,-6.750
50015,IA,36884,0,0,25,2,3,5.333
50015,IA,36884,0,0,25,2,3,1.333
50015,IA,36885,0,0,25,2,3,-29.000
50015,IA,36885,0,0,25,2,3,12.750
50015,IA,36885,0,0,25,2,3,16.250
50015,IA,36886,0,0,25,2,3,-28.917
50015,IA,36886,0,0,25,2,3,16.750
50015,IA,36886,0,0,25,2,3,12.167
50015,IA,36845,0,0,25,2,3,-29.000
50015,IA,36845,0,0,25,2,3,22.250
50015,IA,36845,0,0,25,2,3,6.750
50015,IN,967071,0,195,25,2,19,-22.250
50015,IN,968238,0,488,25,2,25,-16.250
50017,IA,37591,0,0,25,2,14,-13.500
50017,IA,37591,0,0,25,2,14,3.417
50017,IA,37591,0,0,25,2,14,10.083
50017,IN,966372,0,189,25,2,19,-14.667
50017,IA,37952,0,0,25,2,24,-10.083
50017,IA,37952,0,0,25,2,24,5.416
50017,IA,37952,0,0,25,2,24,4.667
50018,IN,967074,0,189,25,2,3,-6.084
50018,IA,36910,0,0,25,2,3,-11.667
50018,IA,36910,0,0,25,2,3,6.084
50018,IA,36910,0,0,25,2,3,5.583
50020,IA,37604,0,0,25,2,17,-11.917
50020,IA,37604,0,0,25,2,17,1.000
50020,IA,37604,0,0,25,2,17,10.917
50020,IN,967761,0,606,25,2,17,-1.000
50020,IA,37951,0,0,25,2,24,-10.917
50020,IA,37951,0,0,25,2,24,8.584
50020,IA,37951,0,0,25,2,24,2.333
50020,IA,38019,0,0,25,2,25,-13.833
50020,IA,38019,0,0,25,2,25,2.833
50020,IA,38019,0,0,25,2,25,11.000
50024,IA,37479,0,0,25,2,13,-19.500
50024,IA,37479,0,0,25,2,13,14.083
50024,IA,37479,0,0,25,2,13,5.417
50024,IN,968264,0,236,25,2,25,-12.083
50025,IN,966269,0,381,25,2,10,-3.000
50025,IN,966269,0,381,25,2,10,-1.750
50025,IA,37593,0,0,25,2,14,-2.000
50025,IA,37593,0,0,25,2,14,1.250
50025,IA,37593,0,0,25,2,14,0.750
50025,IN,966628,0,753,25,2,21,-0.750
50025,IN,966437,0,753,25,2,21,-1.250
50027,IN,965943,0,227,25,2,3,-5.750
50027,IN,966999,0,189,25,2,24,-3.250
50027,IA,38233,0,0,25,2,28,-19.083
50027,IA,38233,0,0,25,2,28,3.916
50027,IA,38233,0,0,25,2,28,15.167
50029,CR,967751,0,503,25,2,14,1.250
50029,CR,967751,0,503,25,2,14,1.250
50029,IN,966204,0,157,25,2,21,-16.500
50029,IN,966204,0,157,25,2,21,-11.501
50029,IA,37977,0,0,25,2,24,-8.333
50029,IA,37977,0,0,25,2,24,6.000
50029,IA,37977,0,0,25,2,24,2.333
50029,IA,37979,0,0,25,2,24,-6.000
50029,IA,37979,0,0,25,2,24,6.000
50029,PO,518483,130,0,25,2,24,16.583
50029,PO,518483,130,0,25,2,24,18.167
50029,PO,518483,130,0,25,2,24,60.250
50029,PO,518483,130,0,25,2,24,15.750
50029,PO,518483,130,0,25,2,24,18.750
50029,PO,518483,130,0,25,2,24,20.167
50029,IA,38090,130,0,25,2,26,0.000
50035,IA,37095,0,0,25,2,6,-12.917
50035,IA,37095,0,0,25,2,6,1.500
50035,IA,37095,0,0,25,2,6,11.417
50035,IA,37370,0,0,25,2,11,-27.083
50035,IA,37370,0,0,25,2,11,21.333
50035,IA,37370,0,0,25,2,11,5.750
