"LIBRARYNAME","TABLENAME","APPROXIMATEROWCOUNT"
"MW4FILE","$DSPFDA","1496"
"MW4FILE","$RUNQRYEPF","0"
"MW4FILE","##APAUTOWF","0"
"MW4FILE","##R856PF","0"
"MW4FILE","##SURCCPF","0"
"MW4FILE","##SURCEPF","0"
"MW4FILE","##SURCIPF","0"
"MW4FILE","#3ITEMHCMT","0"
"MW4FILE","#3ITEMHIST","0"
"MW4FILE","ACHIN","0"
"MW4FILE","ACHINFO","199"
"MW4FILE","ADDCDSUR","1"
"MW4FILE","ADDCFTAX","4"
"MW4FILE","ADDCHLG","0"
"MW4FILE","ADDCHRG","32"
"MW4FILE","ADDCPTAX","3"
"MW4FILE","ADDCTRAN","33"
"MW4FILE","ADDHSTCT","1500"
"MW4FILE","ADJITEM","0"
"MW4FILE","ADMDETL","0"
"MW4FILE","ADMHEAD","0"
"MW4FILE","ADMLOCN","0"
"MW4FILE","ADMMTINV","0"
"MW4FILE","ADMMTPOS","0"
"MW4FILE","ADMPRTRS","0"
"MW4FILE","AIAGTAG1","0"
"MW4FILE","ALTDIST","0"
"MW4FILE","ALTITEM","0"
"MW4FILE","APADJ","0"
"MW4FILE","APBANKCD","8"
"MW4FILE","APBUYD","0"
"MW4FILE","APCHECKCSV","0"
"MW4FILE","APCHKH","26985"
"MW4FILE","APCHKPFH","0"
"MW4FILE","APCHKPFO","0"
"MW4FILE","APCHKPF2","0"
"MW4FILE","APCHKR","10"
"MW4FILE","APCRM","0"
"MW4FILE","APDBWRK1","0"
"MW4FILE","APDEBD","81"
"MW4FILE","APDEBH","79"
"MW4FILE","APDEFALT","0"
"MW4FILE","APDIST","165183"
"MW4FILE","APDTARC","0"
"MW4FILE","APEDITR","202"
"MW4FILE","APEDITRO","0"
"MW4FILE","APEMPA","0"
"MW4FILE","APESTAT","0"
"MW4FILE","APFRT","0"
"MW4FILE","APHCOD","2"
"MW4FILE","APHIST","151795"
"MW4FILE","APINV","9847"
"MW4FILE","APLETR","0"
"MW4FILE","APOPEN","151286"
"MW4FILE","APPRC","128"
"MW4FILE","APTRANS","0"
"MW4FILE","APVDSC","0"
"MW4FILE","APVEND","730"
"MW4FILE","APVENGL","1"
"MW4FILE","APVHEXC","2"
"MW4FILE","APVNDHST","731"
"MW4FILE","APVOID","316"
"MW4FILE","APVPARN","0"
"MW4FILE","APWK856","1"
"MW4FILE","AP758CSV","0"
"MW4FILE","AP800CSV","0"
"MW4FILE","AP800DCSV","0"
"MW4FILE","AP801BCSV","0"
"MW4FILE","AP801CSV","0"
"MW4FILE","AP801RCSV","0"
"MW4FILE","AP801VCSV","0"
"MW4FILE","AP801WF","166"
"MW4FILE","AP803BCSV","0"
"MW4FILE","AP803CSV","135"
"MW4FILE","AP803RCSV","0"
"MW4FILE","AP803VCSV","0"
"MW4FILE","AP803WF","789"
"MW4FILE","AP804BCSV","0"
"MW4FILE","AP804CSV","0"
"MW4FILE","AP804RCSV","0"
"MW4FILE","AP804VCSV","0"
"MW4FILE","AP804WF","0"
"MW4FILE","AP815CSV","0"
"MW4FILE","AP850CSV","0"
"MW4FILE","AP867CSV","0"
"MW4FILE","AP870CSV","0"
"MW4FILE","AP872CSV","0"
"MW4FILE","AP873CSV","0"
"MW4FILE","AP899PF","0"
"MW4FILE","ARBOLCM","8"
"MW4FILE","ARBTCH","20236"
