BDRECD,BDDIST,BDPONO,BDLINE,BDRLIN,BDCOMP,BDVNDR,BDTYPE,BDITEM,BDCRTD,BDWDTH,BDLNTH,BDDSPW,BDDSPL,BDWGTF,BDUNTW,BDCLS3,BDSBCL,BDICOD,BDTCOD,BDDEXP,BDCSMO,BDONOM,BDOMIN,BDOMAX,BDMSCD,BDEQYN,BDEQPD,BDOOQ,BDOUOM,BDOQOO,BDIUOM,BDTACD,BDCQTY,BDQUOM,BDCQOO,BDTLB,BDTPC,BDTFT,BDTSFT,BDTMTR,BDTKG,BDTIQR,BDSQTY,BDMCST,BDCUOM,BDEMCS,BDFCST,BDFUOM,BDEFCS,BDECST,BDEUOM,BDEECS,BDEACS,BDEWCS,BDSMD,BDSMAN,BDCDIS,BDCUST,BDLOD,BDLOR#,BDLTYP,BDMLIN,BDULIN,BDRESV,BDRIV,BDPOCC,BDPOYY,BDPOMM,BDPODD,BDPRCC,BDPRYY,BDPRMM,BDPRDD,BDRPCC,BDRPYY,BDRPMM,BDRPDD,BDRLCC,BDRLYY,BDRLMM,BDRLDD,BDSHCC,BDSHYY,BDSHMM,BDSHDD,BDEACC,BDEAYY,BDEAMM,BDEADD,BDINTR,BDADCH,BDWOCH,BDVQTY,BDVUOM,BDRCCC,BDRCYY,BDRCMM,BDRCDD,BDCNCC,BDCNYY,BDCNMM,BDCNDD,BDRCBY,BDINBY,BDRPC,BDFRTR,BDFRV,BDBOL,BDCWGT,BDRCV,BDMILL,BDVESL,BDVOYG,BDCTRY,BDPORT,BDBDIS,BDBTCH,BDPRCD,BDASTS,BDOBOL,BDSPEC,BDXSEL,BDXAMT,BDXCEQ,BDXEEC,BDXCFR,BDXEFC,BDPFXF,BDXEAC,BDXEWC,BDXECC,BDXEYY,BDXEMM,BDXEDD,BDPPCT,BDRPGM,BDFIRM,BDACKN,BDIDST,BDFRTF,BDLDST,BDLOAD,BDDDTC,BDTRCK,BDTRDT,BDCRE,BDTRF,BDCEN,BDFLG1,BDFLG2,BDTOLP,BDTOLM,BDALOY,BDTEMP,BDMORD,BDBLNK,BDBLIN,BDREL#,BDRDAT,BDQQTY,BDINUS,BDFLG3,BDFLG4
C,1,500034,1,0,1,114,M,50078,"4.500 3.250 .625 4130 LN80 QT      ",0.0000,240.0000,"         ",19/24'R/L,2.15550072,0.000,ATH,"        ",F,T,I,"STB01                              ",0.0000,0.0000,0.0000,"                                   ",N,"               ",10000.000,"LB ",380.000,"FT ",A,0.000,"LB ",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.2800,"LB ",0.00,6.6700,CWT,0.00,0.0000,"   ",0.00,0.00,0.00,0,0,0,0,0,0," ",0,0,0.000,0,20,13,8,12,20,13,11,1,20,13,11,1,0,0,0,0,20,13,10,22,20,0,0,0,N,N,N,0.000,"   ",0,0,0,0,0,0,0,0,"               ","               "," ",3,0,"               ",0.000,0,"   ",0,"          ",USA,0,0,0," ",V,"               ","               ",0.0000,0.00,0.0000,0.00,0.0000,0.00," ",0.00,0.00,0,0,0,0,"    ","               ",Y,N,0," ",0,0,Y,N,N," ","               ","               ",1," ",10,3,"        ","      ","            ",N,0,0,0,0.000," "," "," "
C,1,500037,1,0,1,114,M,50062,"2.394 1.687 .354 4130 P110 QT      ",0.0000,240.0000,"         ","30/34""R/L",0.64198143,0.000,ATH,"        ",F,T,I,"STB02                              ",0.0000,0.0000,0.0000,"                                   ",N,"               ",100000.000,"LB ",1125960.000,"FT ",A,0.000,"LB ",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.2300,"LB ",0.00,6.6700,CWT,0.00,0.0000,"   ",0.00,0.00,0.00,0,0,0,0,0,0," ",0,0,0.000,0,20,13,8,12,20,13,11,1,20,13,11,1,0,0,0,0,20,13,10,1,20,0,0,0,N,N,N,0.000,"   ",0,0,0,0,0,0,0,0,"               ","               "," ",3,0,"               ",0.000,0,"   ",0,"          ",USA,0,0,0," ",V,"               ","               ",0.0000,0.00,0.0000,0.00,0.0000,0.00," ",0.00,0.00,0,0,0,0,"    ","               ",Y,N,0," ",0,0,Y,N,N," ","               ","               ",1," ",10,3,"        ","      ","            ",N,0,0,0,0.000," "," "," "
C,1,500038,1,0,1,114,M,50063,"3.249 2.255 .497 4130 P110 QT      ",0.0000,240.0000,"         ",30/34'R/L,1.21731021,0.000,ATH,"        ",F,T,I,"STB02                              ",0.0000,0.0000,0.0000,"                                   ",N,"               ",80000.000,"LB ",42740.000,"FT ",A,0.000,"LB ",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.2300,"LB ",0.00,6.6700,CWT,0.00,0.0000,"   ",0.00,0.00,0.00,0,0,0,0,0,0," ",0,0,0.000,0,20,13,8,12,20,13,11,1,20,13,11,1,0,0,0,0,20,13,10,16,20,0,0,0,N,N,N,0.000,"   ",0,0,0,0,0,0,0,0,"               ","               "," ",3,0,"               ",0.000,0,"   ",0,"          ",USA,0,0,0," ",V,"               ","               ",0.0000,0.00,0.0000,0.00,0.0000,0.00," ",0.00,0.00,0,0,0,0,"    ","               ",Y,N,0," ",0,0,Y,N,N," ","               ","               ",1," ",10,3,"        ","      ","            ",N,0,0,0,0.000," "," "," "
C,1,500040,1,0,1,114,M,50076,"4.500 2.962 .769 4130 P110 QT      ",0.0000,240.0000,"         ","20/24'RL ",2.55357158,0.000,ATH,"        ",F,T,I,"STB02                              ",0.0000,0.0000,0.0000,"                                   ",N,"               ",20000.000,"LB ",660.000,"FT ",A,0.000,"LB ",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.2300,"LB ",0.00,6.6700,CWT,0.00,0.0000,"   ",0.00,0.00,0.00,0,0,0,0,0,0," ",0,0,0.000,0,20,13,8,12,20,13,11,1,20,13,11,1,0,0,0,0,20,13,10,22,20,0,0,0,N,N,N,0.000,"   ",0,0,0,0,0,0,0,0,"               ","               "," ",3,0,"               ",0.000,0,"   ",0,"          ",USA,0,0,0," ",V,"               ","               ",0.0000,0.00,0.0000,0.00,0.0000,0.00," ",0.00,0.00,0,0,0,0,"    ","               ",Y,N,0," ",0,0,Y,N,N," ","               ","               ",1," ",10,3,"        ","      ","            ",N,0,0,0,0.000," "," "," "
C,1,500043,1,0,1,114,M,50082,"4.750 2.750 1.000 4140 LN80 QT     ",0.0000,240.0000,"         ",20'/24'RL,3.33754950,0.000,ATH,"        ",F,T,I,"STB05                              ",0.0000,0.0000,0.0000,"                                   ",N,"               ",20000.000,"LB ",1018.251,"FT ",A,0.000,"LB ",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.2800,"LB ",0.00,6.6700,CWT,0.00,0.0000,"   ",0.00,0.00,0.00,0,0,0,0,0,0," ",0,0,0.000,0,20,13,8,12,20,13,11,1,20,13,11,1,0,0,0,0,20,13,10,18,20,0,0,0,N,N,N,0.000,"   ",0,0,0,0,0,0,0,0,"               ","               "," ",3,0,"               ",0.000,0,"   ",0,"          ",USA,0,0,0," ",V,"               ","               ",0.0000,0.00,0.0000,0.00,0.0000,0.00," ",0.00,0.00,0,0,0,0,"    ","               ",Y,N,0," ",0,0,Y,N,N," ","               ","               ",1," ",10,3,"        ","      ","            ",N,0,0,0,0.000," "," "," "
C,1,500044,1,0,1,114,M,50069,"3.750 2.250 .750 4140 P110 QT      ",0.0000,240.0000,"         ",20'/24'RL,2.00252970,0.000,ATH,"        ",F,T,I,"STB06                              ",0.0000,0.0000,0.0000,"                                   ",N,"               ",20000.000,"LB ",840.000,"FT ",A,0.000,"LB ",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.2300,"LB ",0.00,6.6700,CWT,0.00,0.0000,"   ",0.00,0.00,0.00,0,0,0,0,0,0," ",0,0,0.000,0,20,13,8,12,20,13,11,1,20,13,11,1,0,0,0,0,20,13,10,18,20,0,0,0,N,N,N,0.000,"   ",0,0,0,0,0,0,0,0,"               ","               "," ",3,0,"               ",0.000,0,"   ",0,"          ",USA,0,0,0," ",V,"               ","               ",0.0000,0.00,0.0000,0.00,0.0000,0.00," ",0.00,0.00,0,0,0,0,"    ","               ",Y,N,0," ",0,0,Y,N,N," ","               ","               ",1," ",10,3,"        ","      ","            ",N,0,0,0,0.000," "," "," "
C,1,500037,2,0,1,114,M,50062,"2.394 1.687 .354 4130 P110 QT      ",0.0000,240.0000,"         ","30/34""R/L",0.64198143,0.000,ATH,"        ",F,T,I,"STB02                              ",0.0000,0.0000,0.0000,"                                   ",N,"               ",100000.000,"LB ",100000.000,"FT ",A,0.000,"LB ",0.000,0.000,0.000,0.000,0.000,0.000,0.000,14252.584,0.000,1.2300,"LB ",0.00,0.0000,CWT,0.00,0.0000,"   ",0.00,0.00,0.00,0,0,0,0,0,0," ",0,0,0.000,0,20,13,8,12,20,13,11,1,20,13,11,1,0,0,0,0,20,13,10,1,0,0,0,0,N,N,N,0.000,"   ",20,13,10,8,0,0,0,0,"               ","               "," ",3,0,"               ",0.000,0,"   ",0,"          ",USA,0,0,0," ",V,"               ","               ",0.0000,0.00,0.0000,0.00,0.0000,0.00," ",0.00,0.00,0,0,0,0,"    ","               ",Y,N,0," ",0,0,Y,N,N," ","               ","               ",1," ",10,3,"        ","      ","            ",N,1,6,20131008,0.000," "," "," "
C,1,500038,2,0,1,114,M,50063,"3.249 2.255 .497 4130 P110 QT      ",0.0000,240.0000,"         ",30/34'R/L,1.21731021,0.000,ATH,"        ",F,T,I,"STB02                              ",0.0000,0.0000,0.0000,"                                   ",N,"               ",40000.000,"LB ",40000.000,"FT ",A,0.000,"LB ",0.000,0.000,0.000,0.000,0.000,0.000,0.000,3114.667,0.000,1.2300,"LB ",0.00,6.6700,CWT,0.00,0.0000,"   ",0.00,0.00,0.00,0,0,0,0,0,0," ",0,0,0.000,0,20,13,8,12,20,13,11,1,20,13,11,1,0,0,0,0,20,13,10,16,0,0,0,0,N,N,N,0.000,"   ",20,13,10,21,0,0,0,0,"               ","               "," ",3,0,"               ",0.000,0,"   ",0,"          ",USA,0,0,0," ",V,"               ","               ",0.0000,0.00,0.0000,0.00,0.0000,0.00," ",0.00,0.00,0,0,0,0,"    ","               ",Y,N,0," ",0,0,Y,N,N," ","               ","               ",1," ",10,3,"        ","      ","            ",N,1,2,20131021,0.000," "," "," "
C,1,500044,2,0,1,114,M,50069,"3.750 2.250 .750 4140 P110 QT      ",0.0000,240.0000,"         ",20'/24'RL,2.00252970,0.000,ATH,"        ",F,T,I,"STB06                              ",0.0000,0.0000,0.0000,"                                   ",N,"               ",867.333,"LB ",867.333,"FT ",A,0.000,"LB ",0.000,0.000,0.000,0.000,0.000,0.000,0.000,867.333,0.000,1.2300,"LB ",0.00,6.6700,CWT,0.00,0.0000,"   ",0.00,0.00,0.00,0,0,0,0,0,0," ",0,0,0.000,0,20,13,8,12,20,13,11,1,20,13,11,1,0,0,0,0,20,13,10,18,0,0,0,0,N,N,N,0.000,"   ",20,13,10,22,0,0,0,0,"               ","               "," ",3,0,"               ",0.000,0,"   ",0,"          ",USA,0,0,0," ",V,"               ","               ",0.0000,0.00,0.0000,0.00,0.0000,0.00," ",0.00,0.00,0,0,0,0,"    ","               ",Y,N,0," ",0,0,Y,N,N," ","               ","               ",1," ",10,3,"        ","      ","            ",N,1,1,20131022,0.000," "," "," "
C,1,500043,2,0,1,114,M,50082,"4.750 2.750 1.000 4140 LN80 QT     ",0.0000,240.0000,"         ",20'/24'RL,3.33754950,0.000,ATH,"        ",F,T,I,"STB05                              ",0.0000,0.0000,0.0000,"                                   ",N,"               ",538.251,"LB ",538.251,"FT ",A,0.000,"LB ",0.000,0.000,0.000,0.000,0.000,0.000,0.000,538.250,0.000,1.2800,"LB ",0.00,0.0000,CWT,0.00,0.0000,"   ",0.00,0.00,0.00,0,0,0,0,0,0," ",0,0,0.000,0,20,13,8,12,20,13,11,1,20,13,11,1,0,0,0,0,20,13,10,18,0,0,0,0,N,N,N,0.000,"   ",20,13,10,23,0,0,0,0,"               ","               "," ",3,0,"               ",0.000,0,"   ",0,"          ",USA,0,0,0," ",V,"               ","               ",0.0000,0.00,0.0000,0.00,0.0000,0.00," ",0.00,0.00,0,0,0,0,"    ","               ",Y,N,0," ",0,0,Y,N,N," ","               ","               ",1," ",10,3,"        ","      ","            ",N,1,1,20131023,0.000," "," "," "
C,1,500040,2,0,1,114,M,50076,"4.500 2.962 .769 4130 P110 QT      ",0.0000,240.0000,"         ","20/24'RL ",2.55357158,0.000,ATH,"        ",F,T,I,"STB02                              ",0.0000,0.0000,0.0000,"                                   ",N,"               ",633.334,"LB ",633.334,"FT ",A,0.000,"LB ",0.000,0.000,0.000,0.000,0.000,0.000,0.000,633.333,0.000,1.2300,"LB ",0.00,6.6700,CWT,0.00,0.0000,"   ",0.00,0.00,0.00,0,0,0,0,0,0," ",0,0,0.000,0,20,13,8,12,20,13,11,1,20,13,11,1,0,0,0,0,20,13,10,22,0,0,0,0,N,N,N,0.000,"   ",20,13,10,24,0,0,0,0,"               ","               "," ",3,0,"               ",0.000,0,"   ",0,"          ",USA,0,0,0," ",V,"               ","               ",0.0000,0.00,0.0000,0.00,0.0000,0.00," ",0.00,0.00,0,0,0,0,"    ","               ",Y,N,0," ",0,0,Y,N,N," ","               ","               ",1," ",10,3,"        ","      ","            ",N,1,1,20131024,0.000," "," "," "
C,1,500034,2,0,1,114,M,50078,"4.500 3.250 .625 4130 LN80 QT      ",0.0000,240.0000,"         ",19/24'R/L,2.15550072,0.000,ATH,"        ",F,T,I,"STB01                              ",0.0000,0.0000,0.0000,"                                   ",N,"               ",411.334,"LB ",411.334,"FT ",A,0.000,"LB ",0.000,0.000,0.000,0.000,0.000,0.000,0.000,411.333,0.000,1.2800,"LB ",0.00,6.6700,CWT,0.00,0.0000,"   ",0.00,0.00,0.00,0,0,0,0,0,0," ",0,0,0.000,0,20,13,8,12,20,13,11,1,20,13,11,1,0,0,0,0,20,13,10,22,0,0,0,0,N,N,N,0.000,"   ",20,13,10,24,0,0,0,0,"               ","               "," ",3,0,"               ",0.000,0,"   ",0,"          ",USA,0,0,0," ",V,"               ","               ",0.0000,0.00,0.0000,0.00,0.0000,0.00," ",0.00,0.00,0,0,0,0,"    ","               ",Y,N,0," ",0,0,Y,N,N," ","               ","               ",1," ",10,3,"        ","      ","            ",N,1,1,20131024,0.000," "," "," "
