TableName,AS400TableName,SQLServer_RowCount,AS400_RowCount,Difference,Status
z_Item_Transaction_History_____ITEMHIST,ITEMHIST,0,720601.0,720601.0,Mismatch
z_Quote_/_Order_History_Header_File_____OEHISTRY,OEHISTRY,0,298640.0,298640.0,Mismatch
z_Quote_/_Order_Detail_History_File_____OEHISTRD,OEHISTRD,0,292918.0,292918.0,Mismatch
z_Tag_Master_File_____ITEMTAG,ITEMTAG,0,288492.0,288492.0,Mismatch
z_Item_Summary_MTD-Inventory_reports_____ITEMSMT,ITEMSMT,0,179630.0,179630.0,Mismatch
z_Order_Profile_File_____OEPROFIL,OEPROFIL,0,153426.0,153426.0,Mismatch
z_Open_Order_File_____OEOPNORD,OEOPNORD,0,153420.0,153420.0,Mismatch
z_Order_Detail_File_____OEDETAIL,OEDETAIL,0,150889.0,150889.0,Mismatch
z_A/R_Detail_File_____ARDETAL,ARDETAL,0,147556.0,147556.0,Mismatch
z______ITEMLIST,ITEMLIST,179308,44827.0,-134481.0,Mismatch
z_Tolerance_Details_for_Main_Lines_____TLDETAIL,TLDETAIL,0,112003.0,112003.0,Mismatch
z_Image_PDF_____IMAGEPDF,IMAGEPDF,0,107968.0,107968.0,Mismatch
z_Credit-Held_Order_Release_File_____OECRRELS,OECRRELS,0,48486.0,48486.0,Mismatch
z______OECHANGE,OECHANGE,60438,30261.0,-30177.0,Mismatch
z_Item_Master_File_____ITEMMASTXX,ITEMMASTXX,0,30170.0,30170.0,Mismatch
z______AROEHITS,AROEHITS,27640,6911.0,-20729.0,Mismatch
z_Item_Summary_YTD-Inventory_reports_____ITEMSYT,ITEMSYT,0,19369.0,19369.0,Mismatch
z_S/A_Gross_Profit_Adjustment_Physical_file_____SAGPADJ,SAGPADJ,0,18854.0,18854.0,Mismatch
z_Item_on_Hand_File_____ITEMONHDXX,ITEMONHDXX,0,10234.0,10234.0,Mismatch
z______POHSTHDR,POHSTHDR,19092,9566.0,-9526.0,Mismatch
z______POHSTDET,POHSTDET,19092,9566.0,-9526.0,Mismatch
z_General_Ledger_Transaction_File_____GLTRANS,GLTRANS,2932326,2937500.0,5174.0,Mismatch
z_Order_Tracking_File_____ORDTRHST,ORDTRHST,2828298,2833163.0,4865.0,Mismatch
z______ADDHSTCT,ADDHSTCT,5984,1500.0,-4484.0,Mismatch
z_Customer_Ship_To_Address_File_____SHIPADR,SHIPADR,0,3292.0,3292.0,Mismatch
z_Item_Master_File_____ITEMMAST,ITEMMAST,0,2608.0,2608.0,Mismatch
z_Item_on_Hand_File_____ITEMONHD,ITEMONHD,0,2607.0,2607.0,Mismatch
z_Salesman_Recap_-_Calc_d_Sales_Figures_(Workfile)_____SLMNRCAP,SLMNRCAP,0,2102.0,2102.0,Mismatch
z_M/P_Final_Header_____MPHSTHDR,MPHSTHDR,0,1865.0,1865.0,Mismatch
z_Item_Master_File_____ITEMBG,ITEMBG,0,1781.0,1781.0,Mismatch
z_Output_file_for_DSPFD_TYPE(*MBRLIST)_____$DSPFDA,$DSPFDA,0,1496.0,1496.0,Mismatch
z_Line_Related_Comments_____LINECMNT,LINECMNT,929721,931195.0,1474.0,Mismatch
z_Customer_Master_History_File_____ARCUSHST,ARCUSHST,0,1279.0,1279.0,Mismatch
z_Customer_Master_File_____ARCUST,ARCUST,0,1278.0,1278.0,Mismatch
z_***_remove_next_rel_____CLIMITA,CLIMITA,1416,236.0,-1180.0,Mismatch
z_Customer_Master_File_____MWARCUST,MWARCUST,0,980.0,980.0,Mismatch
z_Tag_Location_Movement_History_____TAGLOCMV,TAGLOCMV,506821,507655.0,834.0,Mismatch
z_Vendor_Ship_To_Address_File_____VENDSHIP,VENDSHIP,0,789.0,789.0,Mismatch
z_Customer_Ship_To_Instruction_File_____SHPINST,SHPINST,0,731.0,731.0,Mismatch
z_Vendor_Master_File_____APVEND,APVEND,0,730.0,730.0,Mismatch
z_TAGTRAN_--_Tag_Status_transaction_____TAGTRAN,TAGTRAN,302733,303458.0,725.0,Mismatch
z_IATRANS_-_History_(Save_Batch)_____IATRANHS,IATRANHS,491177,491894.0,717.0,Mismatch
z_Order_Ship_Instructions_____OESHPINS,OESHPINS,185370,185971.0,601.0,Mismatch
z_Image_PDF_____IMAGEPDFB4,IMAGEPDFB4,0,494.0,494.0,Mismatch
z_Material_Processing_Order_Header_____MPHDRORD,MPHDRORD,0,454.0,454.0,Mismatch
z_SPO_Tracking_File_____SPOTRCK,SPOTRCK,383909,384352.0,443.0,Mismatch
z_Item_Tag_User_Defined_fields_____ITEMTUD,ITEMTUD,195732,196121.0,389.0,Mismatch
z_Customer_Number_for_TS_to_be_01_____ARCUST_01,ARCUST01,383,0.0,-383.0,Mismatch
z_line_comment_changes_____LINECCHG,LINECCHG,12404,12784.0,380.0,Mismatch
z_A/P_History_____APHIST,APHIST,151428,151795.0,367.0,Mismatch
z_outbound_820_ach_detail_____X820OAD,X820OAD,13587,13945.0,358.0,Mismatch
z_Used_Line_File_____USEDLINE,USEDLINE,205443,205784.0,341.0,Mismatch
z_Used_line_pallet_info_____USEDBLD,USEDBLD,205329,205664.0,335.0,Mismatch
z______USEDSEQ,USEDSEQ,205329,205664.0,335.0,Mismatch
z_Service_Purchase_Order_Detail_File_____SPDETAIL,SPDETAIL,345841,346168.0,327.0,Mismatch
z_A/R_Cash_Receipts_G/L_Entries_____ARGLTR,ARGLTR,339380,339704.0,324.0,Mismatch
z_Shipments_File_____SHIPMAST,SHIPMAST,149790,150076.0,286.0,Mismatch
z_A/P_G/L_Distribution_File_____APDIST,APDIST,164923,165183.0,260.0,Mismatch
z_MW_Email_Log_File_____EMAILLOG,EMAILLOG,6769,7028.0,259.0,Mismatch
z_A/P_Open_Payable_File_____APOPEN,APOPEN,151046,151286.0,240.0,Mismatch
z_Picker_Detail_File_____PICKDTL,PICKDTL,147435,147666.0,231.0,Mismatch
z_Order_Tracking_File_____ORDTRCK,ORDTRCK,150592,150814.0,222.0,Mismatch
z_Sales_Description_Override_____SLSDSCOV,SLSDSCOV,164759,164978.0,219.0,Mismatch
z_Inventory_Restock_File_____RESTOCK,RESTOCK,113428,113630.0,202.0,Mismatch
z_Item_Hist_Comments_(From_IA_Only)_____ITEMHCMT,ITEMHCMT,106138,106322.0,184.0,Mismatch
z_Warehouse_Order_Tracking_Code_File_____WHORDTRC,WHORDTRC,0,173.0,173.0,Mismatch
z_Three_Position_Item_Class_File_____ITEMCLS3,ITEMCLS3,0,171.0,171.0,Mismatch
z_A/R_History_File_____CRHIST,CRHIST,148390,148537.0,147.0,Mismatch
z_District_Class_File_____ITEMCLSD,ITEMCLSD,0,144.0,144.0,Mismatch
z_PC_Tracking_File_____PCTRCK,PCTRCK,41306,41412.0,106.0,Mismatch
z_Employee_Quote_File_____EMPQUOTE,EMPQUOTE,0,99.0,99.0,Mismatch
z_RECONHST_--Reconciliation_History_____RECONHST,RECONHST,91847,91945.0,98.0,Mismatch
z_PO_Tracking_History_File_____POTRKHST,POTRKHST,111920,112014.0,94.0,Mismatch
z_S/A_Item_Summary_MTD-Inventory_reports_____SLSASMT,SLSASMT,57984,58077.0,93.0,Mismatch
z_PO_Company_SMO_File_____POCMPSMO,POCMPSMO,45180,45270.0,90.0,Mismatch
z_Charge_History_File_____CHGHST,CHGHST,68272,68356.0,84.0,Mismatch
z_A/P_Debit_Memo_Print_Workfile_-_Detail_____DBDWRK,DBDWRK,162,81.0,-81.0,Mismatch
z_A/P_Debit_Detail_File_____APDEBD,APDEBD,162,81.0,-81.0,Mismatch
z_A/P_Debit_Memo_Print_Workfile_-_Header_____DBHWRK,DBHWRK,158,79.0,-79.0,Mismatch
z_A/P_Debit_Header_File_____APDEBH,APDEBH,158,79.0,-79.0,Mismatch
z_Process_Charges__-_Transactions_____PRCTCHRG,PRCTCHRG,68320,68388.0,68.0,Mismatch
z_Credit_Comment_File_____CRCOMMNT,CRCOMMNT,22245,22313.0,68.0,Mismatch
z_A/R_Cash_Receipts_____ARCASH,ARCASH,46067,46126.0,59.0,Mismatch
z_Process_Charges__-_Header_____PRCHCHRG,PRCHCHRG,38679,38732.0,53.0,Mismatch
z_Service_Purchase_Order_Header_File_____SPHEADER,SPHEADER,54324,54377.0,53.0,Mismatch
z_A/P_Check_History_____APCHKH,APCHKH,26933,26985.0,52.0,Mismatch
z_outbound_820_ach_vendor_____X820OAB,X820OAB,2073,2119.0,46.0,Mismatch
z_Daily_Flash_Report_____FLASHRPT,FLASHRPT,40348,40392.0,44.0,Mismatch
z_Shipment_Summary_File_____SHSUMM,SHSUMM,35875,35919.0,44.0,Mismatch
z_Customer_Class_Summary_file_MTD_____CCLSMT,CCLSMT,35435,35478.0,43.0,Mismatch
z_Process_Charges__-_Test_Quantity_____PRCHTQTY,PRCHTQTY,34885,34924.0,39.0,Mismatch
z_A/R_Batch_Header_for_A/R_Detail_File_____ARBTCH,ARBTCH,20198,20236.0,38.0,Mismatch
z_Rcptcost_-_PO_receipt_cost_history_____RCPTCOST,RCPTCOST,36212,36249.0,37.0,Mismatch
z_Daily_invoicing_analysis_____WFOE895,WFOE895,104,70.0,-34.0,Mismatch
z_Currency_Exchange_Transation_File_____EXHTRANS,EXHTRANS,44249,44282.0,33.0,Mismatch
z_List_/_Heat_Number_____LISTHEAT,LISTHEAT,19602,19627.0,25.0,Mismatch
z_Sheet/Split_Coil_Analysis_File_____SHEETANL,SHEETANL,19973,19994.0,21.0,Mismatch
z_Purchase_Order_Receipt_History_____RCPTHIST,RCPTHIST,15446,15466.0,20.0,Mismatch
