Cage_Code_____VCAGE,FK/Code (Potential),nvarchar,(MAX),730,1,0,0.00%,0,"      (730)","     ,      ,      ,      ,      ",1
County_Code_____VCNTY,FK/Code (Potential),nvarchar,(MAX),730,1,0,0.00%,0,"   (730)","  ,   ,   ,   ,   ",1
Federal_ID_Number_____VFEDID,FK/Code (Potential),nvarchar,(MAX),730,482,0,0.00%,0,N/A,"208216282.0, 161620809.0, 760396056.0, 852876498.0, 760163468.0",1
Language_Code_____VLANG,FK/Code (Potential),nvarchar,(MAX),730,1,0,0.00%,0,"    (730)","   ,    ,    ,    ,    ",1
PAYMENT_CODE_____VVPAYM,FK/Code (Potential),nvarchar,(MAX),730,1,0,0.00%,0,0.0 (730),"0.0, 0.0, 0.0, 0.0, 0.0",1
Record_Code_____VRECD,FK/Code (Potential),nvarchar,(MAX),730,2,0,0.00%,0,"A (507), I (223)","A, A, A, A, A",1
SCAC_code_____VSCAC,FK/Code (Potential),nvarchar,(MAX),730,23,0,0.00%,0,"                  (708), AAC               (1), ACT               (1), CTS               (1), CUS               (1), DGM               (1), DMM               (1), DOW               (1), FJW               (1), G&S               (1)","                 ,                  ,                  ,                  ,                  ",1
State_Code_____VSTATE,FK/Code (Potential),nvarchar,(MAX),730,41,0,0.00%,0,"TX (428), .  (61), IL (49), LA (31), PA (15), CA (14), AB (11), OH (11), GA (8),    (7)","TX, TX, TX, IL, TX",1
Taxation_ID_Number_____VTAXID,FK/Code (Potential),nvarchar,(MAX),730,1,0,0.00%,0,"                          (730)","                         ,                          ,                          ,                          ,                          ",1
VENDOR_DESIGNATION_CODE_____VDECO,FK/Code (Potential),nvarchar,(MAX),730,1,0,0.00%,0,"   (730)","  ,   ,   ,   ,   ",1
Vendor_Parent_Code_____VPCODE,FK/Code (Potential),nvarchar,(MAX),730,1,0,0.00%,0,"     (730)","    ,     ,     ,     ,     ",1
ZIP_CODE_12_POS_____VZIP,FK/Code (Potential),nvarchar,(MAX),730,429,0,0.00%,0,N/A,"77040       , 77032       , .           , 77530       , 77386       ",1
_____VFLAG3,Category/Code (Low Distinct),nvarchar,(MAX),730,1,0,0.00%,0,"  (730)"," ,  ,  ,  ,  ",7
_____VFLAG5,Category/Code (Low Distinct),nvarchar,(MAX),730,1,0,0.00%,0,"  (730)"," ,  ,  ,  ,  ",7
_____VFLAG6,Category/Code (Low Distinct),nvarchar,(MAX),730,1,0,0.00%,0,"  (730)"," ,  ,  ,  ,  ",7
1099_Required_____VR1099,Boolean (Likely),nvarchar,(MAX),730,2,0,0.00%,0,"N (623), Y (107)","N, N, N, N, N",7
A/R_Customer_Number_____VCCUST,Category/Code (Low Distinct),nvarchar,(MAX),730,1,0,0.00%,0,0.0 (730),"0.0, 0.0, 0.0, 0.0, 0.0",7
ALLOW_NON-INV_RCPT_ENTRY_____VNIRCE,Category/Code (Low Distinct),nvarchar,(MAX),730,1,0,0.00%,0,N (730),"N, N, N, N, N",7
Century_Vendor_Added_____VADDCC,Boolean (Likely),nvarchar,(MAX),730,2,0,0.00%,0,"20.0 (729), 19.0 (1)","20.0, 20.0, 20.0, 20.0, 20.0",7
COMPANY_NUMBER_____VCOMP,Category/Code (Low Distinct),nvarchar,(MAX),730,1,0,0.00%,0,1.0 (730),"1.0, 1.0, 1.0, 1.0, 1.0",7
Country_____VCNTRY,Quantity (Name Suggests),nvarchar,(MAX),730,9,0,0.00%,0,"USA (693), CAN (27), I   (2), SGP (2), VRC (2), BR  (1), D   (1), E   (1), N   (1)","USA, USA, USA, N  , USA",7
County_Name_____VCONM,Quantity (Name Suggests),nvarchar,(MAX),730,2,0,0.00%,0,"                          (727), USA                       (3)","                         ,                          ,                          ,                          ,                          ",7
