COLUMN,UseforDiagram,TYPE,DISTINCT VALUES,VALUES INFO,SAMPLE DATA,TOTAL ROWS,ISUNIQUE,DB DATA TYPE,DB TYPE DETAILS,NULL COUNT,SORTORDER,TableName,NULL PCT
Transaction_#_____IHTRN#,1,FK,"251,524",1.0 (722325),"849123.0, 77461.0, 970300.0, 24166.0, 54925.0","722,325",0,nvarchar,(MAX),0,8,z_Item_Transaction_History_____ITEMHIST,0.00%
Document_#_____IHDOC#,1,FK,"92,139","3.0 (72886), 2.0 (66971), 4.0 (64941), 1.0 (62664), 6.0 (60605), 5.0 (60567), 8.0 (60147), 10.0 (59486), 7.0 (55266), 9.0 (54671)","84371.0, 37038.0, 0.0, 0.0, 0.0","722,325",0,nvarchar,(MAX),0,8,z_Item_Transaction_History_____ITEMHIST,0.00%
PO_Rcpt_List#_____IHLIST,1,FK,"61,062","0.0 (388087), 1.0 (334120), 3.0 (63), 2.0 (55)","0145792,        , 0142420,        ,        ","722,325",0,nvarchar,(MAX),0,8,z_Item_Transaction_History_____ITEMHIST,0.00%
ITEM_NUMBER_____IHITEM,1,FK,"2,458",1.0 (722325),"50608, 50156, 50229, 50076, 99999","722,325",0,nvarchar,(MAX),0,8,z_Item_Transaction_History_____ITEMHIST,0.00%
Transaction_Type_____IHTRNT,1,Category/Code,7,"IA (336352), IN (205395), RE (111044), PO (59739), OR (5016), OW (4317), CR (462)","IA, IN, IN, IN, OR","722,325",0,nvarchar,(MAX),0,7,z_Item_Transaction_History_____ITEMHIST,0.00%
Trans_Subtype_____IHSTYP,1,Category/Code,8,"  (378860), Q (328366), B (7113), I (6238), A (1000), X (729), D (16), F (3)"," ,  , Q,  , Q","722,325",0,nvarchar,(MAX),0,7,z_Item_Transaction_History_____ITEMHIST,0.00%
Transport_ID_____IHTID,1,FK,1,-722325,"               ,                ,                ,                ,                ","722,325",0,nvarchar,(MAX),0,2,z_Item_Transaction_History_____ITEMHIST,0.00%
Debit_Memo#_____IHDMEM,1,Category/Code,17,"0.0 (722309), 100162.0 (1), 100163.0 (1), 100164.0 (1), 100165.0 (1), 100166.0 (1), 100167.0 (1), 100168.0 (1), 100169.0 (1), 100170.0 (1)","0.0, 0.0, 0.0, 0.0, 0.0","722,325",0,nvarchar,(MAX),0,7,z_Item_Transaction_History_____ITEMHIST,0.00%
Vendor_#_____IHVNDR,1,FK,170,-722325,"0.0, 0.0, 0.0, 0.0, 0.0","722,325",0,nvarchar,(MAX),0,8,z_Item_Transaction_History_____ITEMHIST,0.00%
Assoc_PO_Number_____IHPONM,1,FK,"14,687","0.0 (386967), 1.0 (335358)","508926.0, 512192.0, 0.0, 500797.0, 0.0","722,325",0,nvarchar,(MAX),0,8,z_Item_Transaction_History_____ITEMHIST,0.00%
