Application_Code_____GLAPPL,0,8,"IN (710514), IA (615607), IU (559816), AP (375505), CR (308988), CD (306663), PO (43588), MP (24126)","IN, IA, IU, PO, CR",FK/Code,nvarchar,(MAX),2944807,0,0.00%,2
Credit_/_Debit_Code_____GLCRDB,0,2,"C (1491999), D (1452808)","D, C, C, D, D",FK/Code,nvarchar,(MAX),2944807,0,0.00%,2
Record_Code_____GLRECD,0,2,"E (2918629), A (26178)","E, E, E, E, E",FK/Code,nvarchar,(MAX),2944807,0,0.00%,2
G/L_Posting_Period_____GLPERD,0,13,"3.0 (292951), 1.0 (271885), 4.0 (265516), 2.0 (265177), 5.0 (247040), 6.0 (244822), 8.0 (244479), 10.0 (238907), 7.0 (231341), 11.0 (220159)","4.0, 11.0, 4.0, 1.0, 3.0",Category/Code,nvarchar,(MAX),2944807,0,0.00%,7
Reference_Month_____GLRFMM,0,13,"0.0 (1582505), 3.0 (134340), 4.0 (124632), 1.0 (122438), 2.0 (117996), 5.0 (115572), 8.0 (115257), 6.0 (112784), 10.0 (111186), 7.0 (107881)","0.0, 4.0, 0.0, 0.0, 0.0",Category/Code,nvarchar,(MAX),2944807,0,0.00%,7
Posting_Month_____GLPMM,0,12,"3.0 (293152), 1.0 (270046), 4.0 (266557), 2.0 (264813), 5.0 (247549), 8.0 (245991), 6.0 (244532), 10.0 (237930), 7.0 (231105), 11.0 (221456)","8.0, 8.0, 6.0, 7.0, 3.0",Category/Code,nvarchar,(MAX),2944807,0,0.00%,7
System_Month_____GLSMM,0,12,"3.0 (293217), 1.0 (268187), 4.0 (267315), 2.0 (264767), 8.0 (247567), 5.0 (246417), 6.0 (244926), 10.0 (238069), 7.0 (230042), 11.0 (220778)","10.0, 3.0, 1.0, 12.0, 7.0",Category/Code,nvarchar,(MAX),2944807,0,0.00%,7
Posting_Year_____GLPYY,0,11,"22.0 (554786), 23.0 (442166), 21.0 (400506), 24.0 (395773), 19.0 (385593), 18.0 (377693), 20.0 (262809), 25.0 (125470), 12.0 (5), 30.0 (4)","22.0, 20.0, 18.0, 21.0, 24.0",Category/Code,nvarchar,(MAX),2944807,0,0.00%,7
Reference_Year_____GLRFYY,0,10,"0.0 (1582505), 22.0 (254546), 23.0 (208265), 21.0 (184144), 24.0 (182496), 19.0 (179873), 18.0 (173054), 20.0 (123710), 25.0 (56126), 17.0 (88)","0.0, 24.0, 21.0, 23.0, 18.0",Category/Code,nvarchar,(MAX),2944807,0,0.00%,7
G/L_Posting_Year_____GLPPYY,0,8,"22.0 (554961), 23.0 (441720), 21.0 (400615), 24.0 (395843), 19.0 (385468), 18.0 (378186), 20.0 (263138), 25.0 (124876)","23.0, 22.0, 20.0, 23.0, 25.0",Category/Code,nvarchar,(MAX),2944807,0,0.00%,7
Order_Type_____GLTYPE,0,8,"  (2305074), Q (601412), O (24126), I (11124), A (1848), X (1196), D (23), F (4)"," , Q,  ,  ,  ",Category/Code,nvarchar,(MAX),2944807,0,0.00%,7
System_Year_____GLSYY,0,8,"22.0 (556279), 23.0 (441929), 21.0 (399221), 24.0 (395708), 19.0 (386724), 18.0 (376293), 20.0 (262792), 25.0 (125861)","19.0, 19.0, 20.0, 25.0, 18.0",Category/Code,nvarchar,(MAX),2944807,0,0.00%,7
Lock_Box_Number_____GLLOCK,0,6,"0.0 (2635819), 3.0 (261422), 6.0 (45290), 1.0 (2212), 2.0 (44), 4.0 (20)","0.0, 0.0, 0.0, 0.0, 0.0",Category/Code,nvarchar,(MAX),2944807,0,0.00%,7
Transaction_Type_____GLTRNT,0,6,"OE (1605070), IA (615607),    (596112), PO (79499), MP (24715), CM (23804)","IA,   , OE, IA, OE",Category/Code,nvarchar,(MAX),2944807,0,0.00%,7
Batch_District_____GLBDIS,0,2,"0.0 (1965714), 1.0 (979093)","0.0, 0.0, 1.0, 0.0, 1.0",Category/Code,nvarchar,(MAX),2944807,0,0.00%,7
