COLUMN,TYPE,DISTINCT VALUES,SAMPLE DATA,VALUES INFO (TOP N / RANGE / SINGLE),DB DATA TYPE,DB TYPE DETAILS,TOTAL ROWS,NULL COUNT,WHITESPACE-ONLY COUNT,NUL PCT,WHITESPACE PCT,IS UNIQUE / FLAG,SORTORDER
Transaction_#_____ODORDR,Text,151231,Distinct: 151231,"924220.0, 866500.0, 913186.0, 932453.0, 948055.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
INBOUND_ORDER_NUMBER_____ODIBOR,Text,7229,Distinct: 7229,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
Order_Type_____ODTYPE,Category/Code (Low Distinct),5,"A (138185), B (7211), C (5452), Q (393), I (1)","A, A, A, A, A",nvarchar,(MAX),151243,0,1,0.00%,0.00%,0,3
ITEM_NUMBER_____ODITEM,Text,2154,Distinct: 2154,"51183, 50178, 51428, 50013, 51102",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
CRT_DESCRIPTION_____ODCRTD,Text,5644,Distinct: 5644,"5.000 ROUND BAR                    , 11.000 OD 2.750 ID 4.125 WALL      , 5.000 OD 2.250 ID 1.375 WALL       , 14.375 OD 12.375 ID 1.000 WALL     , 3.250 ROUND BAR                    ",nvarchar,(MAX),151243,0,1,0.00%,0.00%,0,4
CUSTOMER_NUMBER_____ODCUST,Text,1134,Distinct: 1134,"513.0, 227.0, 189.0, 378.0, 754.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
CUSTOMER_PART_NUMBER_____ODCPRT,Text,35918,Distinct: 35918,"R-4340D-05.250           , 120030302                , 955249                   ,                          , RS 6.750 BW              ",nvarchar,(MAX),151243,0,70079,0.00%,46.34%,0,4
CUSTOMER_REFERENCE_____ODCREF,Text,95949,Distinct: 95949,"VERBAL ARIANA            , 838848                   , 2945                     , PO13236 ITEM 4           , 0088277-00               ",nvarchar,(MAX),151243,0,5594,0.00%,3.70%,0,4
3_POSITION_CLASS_____ODCLAS,Text,24,Distinct: 24,"ATH, ABH, ATH, ABH, ATH",nvarchar,(MAX),151243,0,1,0.00%,0.00%,0,4
ADJUSTED_BOOK_PRICE_____ODJPRC,Text,5256,Distinct: 5256,"1.7, 1.6899999999999999, 1.8, 2.1000000000000001, 2.1000000000000001",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
ADJUSTED_BOOK_PRICE_EXT_____ODJEXT,Text,63456,Distinct: 63456,"0.0, 347.20999999999998, 0.0, 489.38999999999999, 570.72000000000003",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
AVG_COST_EXT_____ODACSX,Text,94300,Distinct: 94300,"139.00999999999999, 73.489999999999995, 282.75999999999999, 24251.139999999999, 8174.6599999999999",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
BASE/BOOK_PRICE_____ODBPRC,Text,5256,Distinct: 5256,"0.0, 2.25, 1.3, 175.75, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
BASE/BOOK_PRICE_EXT_____ODBEXT,Text,63456,Distinct: 63456,"317.94999999999999, 648.71000000000004, 222.75, 702.88999999999999, 74.640000000000001",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
CALCULATING_LENGTH_____ODLENG,Text,7089,Distinct: 7089,"328.0, 15.0, 31.0, 9.0, 31.25",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
COSTING_METHOD_COST_EXT_____ODCSTX,Text,94035,Distinct: 94035,"243.99000000000001, 999.72000000000003, 777.15999999999997, 200.56999999999999, 128.69999999999999",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
COSTING_METHOD_UNIT_COST_____ODUCST,Text,87951,Distinct: 87951,"39.533900000000003, 129.33619999999999, 0.0, 189.64580000000001, 13.4244",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
Display_Length_____ODDSPL,Text,10740,Distinct: 10740,"40.25    , 12.25    , 13       ,    32.000, 240      ",nvarchar,(MAX),151243,0,29,0.00%,0.02%,0,4
Display_Width_____ODDSPW,Text,31,Distinct: 31,"         ,          ,          ,          ,          ",nvarchar,(MAX),151243,0,108021,0.00%,71.42%,0,4
EXCHANGE_$_AMT_____ODXAMT,Text,9126,Distinct: 9126,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
EXCHANGE_PRICE_____ODXSEL,Text,6206,Distinct: 6206,"0.0, 0.0, 0.0, 5.6399999999999997, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
FREIGHT____OUT__COST_____ODFRTO,Text,44,Distinct: 44,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
Inner_Diameter_____ODIND,Text,1350,Distinct: 1350,"0.0, 3.75, 5.5, 0.0, 1.75",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
INVENTORY_RESERVE_QUANTITY_____ODINVR,Text,17361,Distinct: 17361,"1.292, 2.0630000000000002, 2.7080000000000002, 2.2080000000000002, 10.167",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
MATERIAL_WEIGHT_____ODMLBS,Text,11567,Distinct: 11567,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
NEGOTIATED_SELL_$_EXT_____ODSLSX,Text,63396,Distinct: 63396,"8371.9099999999999, 2931.3200000000002, 1770.1300000000001, 2205.0, 2925.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
NEGOTITED_SELL_PRICE_____ODUSEL,Text,30968,Distinct: 30968,"2780.0, 6.5122999999999998, 44.0, 1217.0, 40.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
ORDER_QUANTITY_____ODIQTY,Text,11480,Distinct: 11480,"105.0, 30.5, 46.25, 1.0, 10.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
Orig_Cost_Factor_____ODOCST,Text,6909,Distinct: 6909,"0.0, 0.0, 1.5, 0.0, 28.5",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
ORIGINAL_QUANTITY_ORDERED_____ODORQT,Text,4357,Distinct: 4357,"3.0, 1.0, 15.0, 10.0, 100.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
Outside_Diameter_____ODOUTD,Text,854,Distinct: 854,"7.25, 4.0, 6.75, 5.0, 3.75",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
PRORATED_FREIGHT_SALES_____ODFRTS,Text,162,Distinct: 162,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
SALES_DISCOUNT_____ODDISC,Text,4646,Distinct: 4646,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
SCRAP_DEVALUATION_____ODSDEV,Text,678,Distinct: 678,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
SIZE_1_____ODSIZ1,Text,189,Distinct: 189,"3.5, 1.0, 5.25, 6.25, 11.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
SIZE_2_____ODSIZ2,Text,239,Distinct: 239,"3.5, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
SIZE_3_____ODSIZ3,Text,224,Distinct: 224,"0.0, 0.0, 0.0, 0.0, 0.75",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
STOCK_INV.QTY_FOR_PRICING_____ODINVP,Text,17641,Distinct: 17641,"4.8959999999999999, 13.0, 89.75, 1.208, 274.66300000000001",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
Theo._Meters_____ODTMTR,Text,12859,Distinct: 12859,"0.88900000000000001, 22.003, 2.5910000000000002, 0.22900000000000001, 0.876",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
Theo_Kilos_____ODTKG,Text,66803,Distinct: 66803,"178.83000000000001, 253.858, 55.609000000000002, 13.647, 19.378",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
TOTAL_FTS_____ODTFTS,Text,16350,Distinct: 16350,"1.0629999999999999, 0.66700000000000004, 25.082999999999998, 1.0209999999999999, 0.505",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
TOTAL_INCL_1_PRICE_FOR_PROCESS_CHRG_____ODMLPC,Text,15799,Distinct: 15799,"0.0, 372.22000000000003, 417.88999999999999, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
TOTAL_LBS_____ODTLBS,Text,67655,Distinct: 67655,"96.120999999999995, 497.49599999999998, 60.841000000000001, 3645.5230000000001, 555.36800000000005",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
TOTAL_PCS_____ODTPCS,Text,457,Distinct: 457,"2.0, 1.0, 6.0, 28.0, 4.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
TOTAL_PROCESS_SALES_____ODPRCS,Text,15804,Distinct: 15804,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
TOTAL_SQUARE_FT_____ODTSFT,Text,393,Distinct: 393,"0.001, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
Wall_____ODWALL,Text,1585,Distinct: 1585,"1.875, 0.0, 0.0, 0.375, 2.6299999999999999",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
Weight_Factor_____ODWGTF,Text,5363,Distinct: 5363,"11.50237935, 1.50189727, 6.7307248199999998, 12.68268808, 4.50569182",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
WIDTHDRAWN_QUANTITY_____ODWDRW,Text,16951,Distinct: 16951,"26.125, 1.417, 3.2919999999999998, 1.0629999999999999, 1.833",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
WITHDRAWN_COST_EXT_____ODWCST,Text,87937,Distinct: 87937,"83.540000000000006, 19.350000000000001, 171.43000000000001, 141.56999999999999, 143.40000000000001",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,4
CUT_ITEM_Y/N_____ODCUTY,Category/Code (Low Distinct),3,"A (121854), Y (19939), N (793)","A, A,  , A, A",nvarchar,(MAX),151243,0,8657,0.00%,5.72%,0,3
PO_FREIGHT__CHARGE_CST_EXT_____ODPOFR,Category/Code (Low Distinct),5,"0.0 (151219), 0.01 (21), 0.16 (1), 0.23000000000000001 (1), 2.9999999999999999E-2 (1)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,3
PRORATED_WHOLE_ORDER_COST_AMT_____ODWCCS,Category/Code (Low Distinct),7,"0.0 (151237), 0.01 (1), 1.04 (1), -13139.639999999999 (1), -50.0 (1), 6569.8199999999997 (1), -7195.46 (1)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,3
PRORATED_WHOLE_ORDER_SALES_AMT_____ODWCSL,Category/Code (Low Distinct),10,"0.0 (151232), 2926.98 (2), 6569.8199999999997 (2), -1104.5899999999999 (1), -13139.639999999999 (1), -301.60000000000002 (1), -4329.3199999999997 (1), -50.0 (1), -553.34000000000003 (1), -7195.46 (1)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,3
