COLUMN,TYPE,DISTINCT VALUES,SAMPLE DATA,VALUES INFO (TOP N / RANGE / SINGLE),DB DATA TYPE,DB TYPE DETAILS,TOTAL ROWS,NULL COUNT,WHITESPACE-ONLY COUNT,NUL PCT,WHITESPACE PCT,IS UNIQUE / FLAG,SORTORDER
Transaction_#_____DXORDR,Text,165315,Distinct: 165315,"881964.0, 816695.0, 920764.0, 922752.0, 891637.0",nvarchar,(MAX),165327,0,0,0.00%,0.00%,0,4
Item_Print_Descr_Two_____DXDSC2,Text,8447,Distinct: 8447,"FLUID CYLINDER FORGING        , HF 4130 LN80 QT               , HF 4130M 125 KSI QT           , HF 4140 110KSI NQT            , HF  4130 75 KSI NQT++         ",nvarchar,(MAX),165327,0,8,0.00%,0.00%,0,4
Item_Print_Desc_Three_____DXDSC3,Text,146,Distinct: 146,"                              ,                               ,                               ,                               ,                               ",nvarchar,(MAX),165327,0,164822,0.00%,99.69%,0,4
Item_Print_Descr_Four_____DXDSC4,Category/Code (Low Distinct),3,"(PIN X PIN)                    (2), UNDER PO# 12760331             (1), WILL TAPER TO 3"" ID            (1)","                              ,                               ,                               ,                               ,                               ",nvarchar,(MAX),165327,0,165323,0.00%,100.00%,0,3
Item_Print_Descr_Five_____DXDSC5,Category/Code (Low Distinct),4,"012345678901234567890123456789 (5), .                              (1), `                              (1), 4.6                            (1)","                              ,                               ,                               ,                               ,                               ",nvarchar,(MAX),165327,0,165319,0.00%,100.00%,0,3
Item_Print_Descr_Six_____DXDSC6,Single Value,1,0                              (3),"                              ,                               ,                               ,                               ,                               ",nvarchar,(MAX),165327,0,165324,0.00%,100.00%,0,7
Order_Type_____DXTRNT,Category/Code (Low Distinct),4,"OE (155642), BD (9197), QE (408), PO (80)","OE, OE, OE, OE, OE",nvarchar,(MAX),165327,0,0,0.00%,0.00%,0,3
Order_Type_____DXTYPE,Category/Code (Low Distinct),3,"A (155645), B (9276), Q (406)","A, A, A, A, A",nvarchar,(MAX),165327,0,0,0.00%,0.00%,0,3
L/M_Century_____DXLMCC,Date (Suffix),1,20.0 (165327),"20.0, 20.0, 20.0, 20.0, 20.0",nvarchar,(MAX),165327,0,0,0.00%,0.00%,0,11
L/M_Day_____DXLMDD,Date (Suffix),31,Distinct: 31,"28.0, 10.0, 30.0, 14.0, 21.0",nvarchar,(MAX),165327,0,0,0.00%,0.00%,0,11
L/M_Month_____DXLMMM,Date (Suffix),12,"3.0 (15669), 1.0 (15032), 2.0 (14501), 10.0 (14270), 4.0 (13973), 8.0 (13872), 6.0 (13695), 5.0 (13618), 9.0 (13044), 7.0 (12709)","12.0, 3.0, 5.0, 3.0, 7.0",nvarchar,(MAX),165327,0,0,0.00%,0.00%,0,11
L/M_Year_____DXLMYY,Date (Suffix),13,"22.0 (25067), 23.0 (19808), 24.0 (18631), 21.0 (18630), 18.0 (16347), 19.0 (16196), 17.0 (13315), 20.0 (11704), 16.0 (7899), 14.0 (6362)","23.0, 23.0, 17.0, 25.0, 24.0",nvarchar,(MAX),165327,0,0,0.00%,0.00%,0,11
Record_Code_____DXRECD,FK/Code (Potential),1,A (165327),"A, A, A, A, A",nvarchar,(MAX),165327,0,0,0.00%,0.00%,0,2
MAIN_LINE_____DXMLIN,Category/Code (Low Distinct),13,"1.0 (164562), 2.0 (517), 3.0 (154), 4.0 (52), 5.0 (24), 6.0 (7), 7.0 (4), 8.0 (2), 10.0 (1), 11.0 (1)","1.0, 1.0, 1.0, 1.0, 1.0",nvarchar,(MAX),165327,0,0,0.00%,0.00%,0,3
L/M_User_____DXLMUS,Text,34,Distinct: 34,"MBERGERO  , KDURAN    , SCHARTRAND, AVELASQU  , TRANDAZZ  ",nvarchar,(MAX),165327,0,0,0.00%,0.00%,0,4
Tran._District_#_____DXDIST,Single Value,1,1.0 (165327),"1.0, 1.0, 1.0, 1.0, 1.0",nvarchar,(MAX),165327,0,0,0.00%,0.00%,0,7
