GLPYY,GLTRNT,GLTRN#,GLBTCH,GLREF,GLAMTQ
25,"  ",0,0,"               ",-22749.48
25,"  ",0,0,"               ",-9966.90
25,"  ",0,0,"               ",-7566.22
25,"  ",0,0,"               ",-7310.92
25,"  ",0,0,"               ",-7265.04
25,"  ",0,0,"               ",-6445.70
25,"  ",0,0,"               ",-6026.40
25,"  ",0,0,"               ",-4744.11
25,"  ",0,0,"               ",-3690.00
25,"  ",0,0,"               ",-3547.11
25,"  ",0,0,"               ",-3424.29
25,"  ",0,0,"               ",-2927.17
25,"  ",0,0,"               ",-2722.01
25,"  ",0,0,"               ",-2232.30
25,"  ",0,0,"               ",-2174.94
25,"  ",0,0,"               ",-2089.30
25,"  ",0,0,"               ",-1987.20
25,"  ",0,0,"               ",-1948.16
25,"  ",0,0,"               ",-1726.08
25,"  ",0,0,"               ",-1647.76
25,"  ",0,0,"               ",-1620.00
25,"  ",0,0,"               ",-1590.68
25,"  ",0,0,"               ",-1531.30
25,"  ",0,0,"               ",-1490.85
25,"  ",0,0,"               ",-1474.00
25,"  ",0,0,"               ",-1441.18
25,"  ",0,0,"               ",-1435.00
25,"  ",0,0,"               ",-1325.90
25,"  ",0,0,"               ",-1274.96
25,"  ",0,0,"               ",-1210.76
25,"  ",0,0,"               ",-1200.00
25,"  ",0,0,"               ",-1187.53
25,"  ",0,0,"               ",-1140.10
25,"  ",0,0,"               ",-1117.33
25,"  ",0,0,"               ",-1114.25
25,"  ",0,0,"               ",-1046.05
25,"  ",0,0,"               ",-1015.72
25,"  ",0,0,"               ",-1010.50
25,"  ",0,0,"               ",-1003.56
25,"  ",0,0,"               ",-914.00
25,"  ",0,0,"               ",-907.94
25,"  ",0,0,"               ",-907.00
25,"  ",0,0,"               ",-897.75
25,"  ",0,0,"               ",-897.50
25,"  ",0,0,"               ",-895.29
25,"  ",0,0,"               ",-886.91
25,"  ",0,0,"               ",-882.72
25,"  ",0,0,"               ",-863.00
25,"  ",0,0,"               ",-862.02
25,"  ",0,0,"               ",-846.68
25,"  ",0,0,"               ",-820.75
25,"  ",0,0,"               ",-810.00
25,"  ",0,0,"               ",-798.86
25,"  ",0,0,"               ",-796.67
25,"  ",0,0,"               ",-792.60
25,"  ",0,0,"               ",-780.00
25,"  ",0,0,"               ",-775.50
25,"  ",0,0,"               ",-769.08
25,"  ",0,0,"               ",-760.00
25,"  ",0,0,"               ",-754.98
25,"  ",0,0,"               ",-753.20
25,"  ",0,0,"               ",-745.98
25,"  ",0,0,"               ",-744.79
25,"  ",0,0,"               ",-742.65
25,"  ",0,0,"               ",-741.92
25,"  ",0,0,"               ",-735.50
25,"  ",0,0,"               ",-725.30
25,"  ",0,0,"               ",-715.00
25,"  ",0,0,"               ",-714.99
25,"  ",0,0,"               ",-699.18
25,"  ",0,0,"               ",-696.38
25,"  ",0,0,"               ",-689.30
25,"  ",0,0,"               ",-685.78
25,"  ",0,0,"               ",-678.89
25,"  ",0,0,"               ",-655.00
25,"  ",0,0,"               ",-634.98
25,"  ",0,0,"               ",-611.32
25,"  ",0,0,"               ",-595.00
25,"  ",0,0,"               ",-573.80
25,"  ",0,0,"               ",-565.00
25,"  ",0,0,"               ",-562.02
25,"  ",0,0,"               ",-555.20
25,"  ",0,0,"               ",-551.06
25,"  ",0,0,"               ",-543.20
25,"  ",0,0,"               ",-538.00
25,"  ",0,0,"               ",-509.66
25,"  ",0,0,"               ",-509.58
25,"  ",0,0,"               ",-506.67
25,"  ",0,0,"               ",-470.00
25,"  ",0,0,"               ",-434.60
25,"  ",0,0,"               ",-433.33
25,"  ",0,0,"               ",-424.60
25,"  ",0,0,"               ",-415.00
25,"  ",0,0,"               ",-406.00
25,"  ",0,0,"               ",-396.99
25,"  ",0,0,"               ",-384.40
25,"  ",0,0,"               ",-378.54
25,"  ",0,0,"               ",-375.00
25,"  ",0,0,"               ",-364.25
25,"  ",0,0,"               ",-348.19
25,"  ",0,0,"               ",-333.32
25,"  ",0,0,"               ",-328.00
25,"  ",0,0,"               ",-319.20
25,"  ",0,0,"               ",-296.20
25,"  ",0,0,"               ",-277.08
25,"  ",0,0,"               ",-263.25
25,"  ",0,0,"               ",-241.42
25,"  ",0,0,"               ",-228.38
25,"  ",0,0,"               ",-228.20
25,"  ",0,0,"               ",-216.12
25,"  ",0,0,"               ",-195.18
25,"  ",0,0,"               ",-195.00
25,"  ",0,0,"               ",-182.54
25,"  ",0,0,"               ",-174.40
25,"  ",0,0,"               ",-172.00
25,"  ",0,0,"               ",-167.00
25,"  ",0,0,"               ",-165.46
25,"  ",0,0,"               ",-164.20
25,"  ",0,0,"               ",-163.88
25,"  ",0,0,"               ",-158.09
25,"  ",0,0,"               ",-157.50
25,"  ",0,0,"               ",-131.25
25,"  ",0,0,"               ",-125.00
25,"  ",0,0,"               ",-111.00
25,"  ",0,0,"               ",-105.00
25,"  ",0,0,"               ",-74.00
25,"  ",0,0,"               ",-73.00
25,"  ",0,0,"1              ",-0.03
25,"  ",0,0,"1              ",-0.01
25,"  ",0,0,"1              ",0.01
25,"  ",0,0,"1              ",0.03
25,"  ",0,0,"100528718      ",-205.07
25,"  ",0,0,"100528718      ",205.07
25,"  ",0,0,"100529106      ",-429.63
25,"  ",0,0,"100529106      ",429.63
25,"  ",0,0,"100536669      ",-472.45
25,"  ",0,0,"100536669      ",472.45
25,"  ",0,0,"100545314      ",-228.00
25,"  ",0,0,"100545314      ",228.00
25,"  ",0,0,"100545314, 5215",-237.21
25,"  ",0,0,"100545314, 5215",237.21
25,"  ",0,0,"117006         ",-261.69
25,"  ",0,0,"117006         ",261.69
25,"  ",0,0,"13518          ",-389.96
25,"  ",0,0,"13518          ",389.96
25,"  ",0,0,"13519          ",-264.33
25,"  ",0,0,"13519          ",264.33
25,"  ",0,0,"13540          ",-211.64
25,"  ",0,0,"13540          ",211.64
25,"  ",0,0,"13562          ",-129.85
25,"  ",0,0,"13562          ",129.85
25,"  ",0,0,"13593          ",-149.69
25,"  ",0,0,"13593          ",149.69
25,"  ",0,0,"13600          ",-306.33
25,"  ",0,0,"13600          ",306.33
25,"  ",0,0,"13715          ",-95.40
25,"  ",0,0,"13715          ",95.40
25,"  ",0,0,"13739          ",-46.44
25,"  ",0,0,"13739          ",46.44
25,"  ",0,0,"13861          ",-296.64
25,"  ",0,0,"13861          ",296.64
25,"  ",0,0,"13924          ",-218.25
25,"  ",0,0,"13924          ",218.25
25,"  ",0,0,"13937          ",-49.26
25,"  ",0,0,"13937          ",49.26
25,"  ",0,0,"13940          ",-234.46
25,"  ",0,0,"13940          ",234.46
25,"  ",0,0,"13973          ",-123.56
25,"  ",0,0,"13973          ",123.56
25,"  ",0,0,"13977          ",-170.10
25,"  ",0,0,"13977          ",170.10
25,"  ",0,0,"14031          ",-107.06
25,"  ",0,0,"14031          ",107.06
25,"  ",0,0,"14100          ",-63.60
25,"  ",0,0,"14100          ",63.60
25,"  ",0,0,"1681585        ",-184.23
25,"  ",0,0,"1681585        ",184.23
25,"  ",0,0,"1681589        ",-90.83
25,"  ",0,0,"1681589        ",90.83
25,"  ",0,0,"1683712        ",-72.09
25,"  ",0,0,"1683712        ",72.09
25,"  ",0,0,"1688363        ",-95.12
25,"  ",0,0,"1688363        ",95.12
25,"  ",0,0,"1688370        ",-96.14
25,"  ",0,0,"1688370        ",96.14
25,"  ",0,0,"1696548        ",-74.32
25,"  ",0,0,"1696548        ",74.32
25,"  ",0,0,"1696549        ",-242.95
25,"  ",0,0,"1696549        ",242.95
25,"  ",0,0,"1696553        ",-65.25
25,"  ",0,0,"1696553        ",65.25
25,"  ",0,0,"1705584        ",-264.12
25,"  ",0,0,"1705584        ",264.12
25,"  ",0,0,"1706469,1706079",-494.28
25,"  ",0,0,"1706469,1706079",494.28
25,"  ",0,0,"1708223,1708448",-684.54
25,"  ",0,0,"1708223,1708448",684.54
25,"  ",0,0,"1710336        ",-235.55
25,"  ",0,0,"1710336        ",235.55
25,"  ",0,0,"1711730,11987  ",-675.31
25,"  ",0,0,"1711730,11987  ",675.31
25,"  ",0,0,"1711988        ",-93.26
25,"  ",0,0,"1711988        ",93.26
25,"  ",0,0,"1713019        ",-72.49
25,"  ",0,0,"1713019        ",72.49
25,"  ",0,0,"1713022        ",-98.77
25,"  ",0,0,"1713022        ",98.77
25,"  ",0,0,"1713026        ",-96.73
25,"  ",0,0,"1713026        ",96.73
25,"  ",0,0,"1720147        ",-160.72
25,"  ",0,0,"1720147        ",160.72
25,"  ",0,0,"1721718        ",-160.92
25,"  ",0,0,"1721718        ",160.92
25,"  ",0,0,"1721722        ",-97.89
25,"  ",0,0,"1721722        ",97.89
25,"  ",0,0,"1725794        ",-65.70
25,"  ",0,0,"1725794        ",65.70
25,"  ",0,0,"1726995        ",-209.51
25,"  ",0,0,"1726995        ",209.51
25,"  ",0,0,"1726998        ",-93.81
25,"  ",0,0,"1726998        ",93.81
25,"  ",0,0,"1727003        ",-77.01
25,"  ",0,0,"1727003        ",77.01
25,"  ",0,0,"1728976        ",-198.26
25,"  ",0,0,"1728976        ",198.26
25,"  ",0,0,"1728980        ",-109.28
25,"  ",0,0,"1728980        ",109.28
25,"  ",0,0,"1891858        ",-54.34
25,"  ",0,0,"1891858        ",54.34
25,"  ",0,0,"1891859        ",-206.90
25,"  ",0,0,"1891859        ",206.90
25,"  ",0,0,"1892178        ",-201.61
25,"  ",0,0,"1892178        ",201.61
25,"  ",0,0,"1892183        ",-193.67
25,"  ",0,0,"1892183        ",193.67
25,"  ",0,0,"1898683        ",-197.53
25,"  ",0,0,"1898683        ",197.53
25,"  ",0,0,"1905046        ",-168.54
25,"  ",0,0,"1905046        ",168.54
25,"  ",0,0,"1905427        ",-199.08
25,"  ",0,0,"1905427        ",199.08
25,"  ",0,0,"1912962        ",-103.73
25,"  ",0,0,"1912962        ",103.73
25,"  ",0,0,"1930673        ",-65.48
25,"  ",0,0,"1930673        ",65.48
25,"  ",0,0,"1930676        ",-207.23
25,"  ",0,0,"1930676        ",207.23
25,"  ",0,0,"1931482        ",-452.05
25,"  ",0,0,"1931482        ",452.05
25,"  ",0,0,"1942172        ",-107.37
25,"  ",0,0,"1942172        ",107.37
25,"  ",0,0,"1942173        ",-128.09
25,"  ",0,0,"1942173        ",128.09
25,"  ",0,0,"200004871      ",-51.85
25,"  ",0,0,"200004871      ",51.85
25,"  ",0,0,"310413         ",-184.18
25,"  ",0,0,"310413         ",184.18
25,"  ",0,0,"312589         ",-92.68
25,"  ",0,0,"312589         ",92.68
25,"  ",0,0,"313549         ",-402.16
25,"  ",0,0,"313549         ",402.16
25,"  ",0,0,"313714         ",-321.04
25,"  ",0,0,"313714         ",321.04
25,"  ",0,0,"314255         ",-94.71
25,"  ",0,0,"314255         ",94.71
25,"  ",0,0,"315345         ",-277.10
25,"  ",0,0,"315345         ",277.10
25,"  ",0,0,"315374         ",-407.19
25,"  ",0,0,"315374         ",407.19
25,"  ",0,0,"315409         ",-379.31
25,"  ",0,0,"315409         ",379.31
25,"  ",0,0,"316563         ",-38.58
25,"  ",0,0,"316563         ",38.58
25,"  ",0,0,"317175         ",-240.79
25,"  ",0,0,"317175         ",240.79
25,"  ",0,0,"317696         ",-81.90
25,"  ",0,0,"317696         ",81.90
25,"  ",0,0,"319012         ",-129.96
25,"  ",0,0,"319012         ",129.96
25,"  ",0,0,"319023         ",-245.11
25,"  ",0,0,"319023         ",245.11
25,"  ",0,0,"320714         ",-50.57
25,"  ",0,0,"320714         ",50.57
25,"  ",0,0,"321736         ",-305.55
25,"  ",0,0,"321736         ",305.55
25,"  ",0,0,"406545952      ",-32.67
25,"  ",0,0,"406545952      ",32.67
25,"  ",0,0,"471210         ",-5660.91
25,"  ",0,0,"471210         ",-5580.48
25,"  ",0,0,"471210         ",-3393.90
25,"  ",0,0,"471210         ",3393.90
25,"  ",0,0,"471210         ",5580.48
25,"  ",0,0,"471210         ",5660.91
25,"  ",0,0,"472047         ",-3579.12
25,"  ",0,0,"472047         ",3579.12
25,"  ",0,0,"472797         ",-3148.00
25,"  ",0,0,"472797         ",3148.00
25,"  ",0,0,"473588         ",-1140.37
25,"  ",0,0,"473588         ",1140.37
25,"  ",0,0,"473907         ",-3589.52
25,"  ",0,0,"473907         ",3589.52
25,"  ",0,0,"474629         ",-3448.32
25,"  ",0,0,"474629         ",3448.32
25,"  ",0,0,"474817         ",-1724.80
25,"  ",0,0,"474817         ",1724.80
25,"  ",0,0,"474909         ",-2068.16
25,"  ",0,0,"474909         ",2068.16
25,"  ",0,0,"474909,474817  ",-3560.40
25,"  ",0,0,"474909,474817  ",3560.40
25,"  ",0,0,"476002,476238  ",-3956.00
25,"  ",0,0,"476002,476238  ",3956.00
25,"  ",0,0,"476236, 237    ",-5224.72
25,"  ",0,0,"476236, 237    ",5224.72
25,"  ",0,0,"476237         ",-1309.84
25,"  ",0,0,"476237         ",1309.84
25,"  ",0,0,"476238         ",-2796.00
25,"  ",0,0,"476238         ",2796.00
25,"  ",0,0,"476239         ",-3710.00
25,"  ",0,0,"476239         ",3710.00
25,"  ",0,0,"477006         ",-3449.92
25,"  ",0,0,"477006         ",3449.92
25,"  ",0,0,"477007         ",-2729.20
25,"  ",0,0,"477007         ",2729.20
25,"  ",0,0,"477007,477008  ",-1098.14
25,"  ",0,0,"477007,477008  ",1098.14
25,"  ",0,0,"477008         ",-994.00
25,"  ",0,0,"477008         ",-892.16
25,"  ",0,0,"477008         ",892.16
25,"  ",0,0,"477008         ",994.00
25,"  ",0,0,"477008,477007  ",-1213.60
25,"  ",0,0,"477008,477007  ",1213.60
25,"  ",0,0,"477457         ",-3686.88
25,"  ",0,0,"477457         ",3686.88
25,"  ",0,0,"477622         ",-3649.44
25,"  ",0,0,"477622         ",3649.44
25,"  ",0,0,"477813         ",-3602.40
25,"  ",0,0,"477813         ",3602.40
25,"  ",0,0,"478150         ",-2096.63
25,"  ",0,0,"478150         ",2096.63
25,"  ",0,0,"478283         ",-2226.69
25,"  ",0,0,"478283         ",2226.69
25,"  ",0,0,"478388         ",-2544.32
25,"  ",0,0,"478388         ",2544.32
25,"  ",0,0,"478619         ",-3431.77
25,"  ",0,0,"478619         ",3431.77
25,"  ",0,0,"478721         ",-3794.96
25,"  ",0,0,"478721         ",3794.96
25,"  ",0,0,"478861         ",-3682.27
25,"  ",0,0,"478861         ",3682.27
25,"  ",0,0,"479207         ",-2639.89
25,"  ",0,0,"479207         ",2639.89
25,"  ",0,0,"479303         ",-3075.93
25,"  ",0,0,"479303         ",3075.93
25,"  ",0,0,"479304         ",-2977.07
25,"  ",0,0,"479304         ",2977.07
25,"  ",0,0,"479514         ",-3653.68
25,"  ",0,0,"479514         ",3653.68
25,"  ",0,0,"481396         ",-1219.10
25,"  ",0,0,"481396         ",1219.10
25,"  ",0,0,"481526         ",-1918.80
25,"  ",0,0,"481526         ",1918.80
25,"  ",0,0,"482108         ",-1485.00
25,"  ",0,0,"482108         ",1485.00
25,"  ",0,0,"482244         ",-279.15
25,"  ",0,0,"482244         ",279.15
25,"  ",0,0,"482261         ",-717.84
25,"  ",0,0,"482261         ",717.84
25,"  ",0,0,"484875         ",-819.50
25,"  ",0,0,"484875         ",819.50
25,"  ",0,0,"485590         ",-2014.40
25,"  ",0,0,"485590         ",2014.40
25,"  ",0,0,"528718,813,936 ",-706.54
25,"  ",0,0,"528718,813,936 ",706.54
25,"  ",0,0,"528718,936     ",-446.65
25,"  ",0,0,"528718,936     ",446.65
25,"  ",0,0,"545215         ",-233.51
25,"  ",0,0,"545215         ",233.51
25,"  ",0,0,"6292           ",-93.60
25,"  ",0,0,"6292           ",93.60
25,"  ",0,0,"6297           ",-34.53
25,"  ",0,0,"6297           ",34.53
25,"  ",0,0,"706990         ",-450.40
25,"  ",0,0,"706990         ",450.40
25,"  ",0,1,"         222222",-3979.84
25,"  ",0,1,"         222222",-2807.34
25,"  ",0,1,"         222222",-1740.38
25,"  ",0,1,"         222222",-1593.65
25,"  ",0,1,"         222222",-1227.65
25,"  ",0,1,"         222222",-696.90
25,"  ",0,1,"         222222",2290.55
25,"  ",0,1,"         222222",4034.99
25,"  ",0,1,"         222222",5720.22
25,"  ",0,1,"         253171",-5147.08
25,"  ",0,1,"         253171",-2217.46
25,"  ",0,1,"         253171",7364.54
25,"  ",0,1,"         444444",-15753.47
25,"  ",0,1,"         444444",-600.00
25,"  ",0,1,"         444444",-584.01
25,"  ",0,1,"         444444",-258.45
25,"  ",0,1,"         444444",-60.00
25,"  ",0,1,"         444444",-50.00
25,"  ",0,1,"         444444",-18.00
25,"  ",0,1,"         444444",18.00
25,"  ",0,1,"         444444",50.00
25,"  ",0,1,"         444444",60.00
25,"  ",0,1,"         444444",600.00
25,"  ",0,1,"         444444",842.46
25,"  ",0,1,"         444444",15753.47
25,"  ",0,1,"         555555",-901705.44
25,"  ",0,1,"         555555",-609447.43
25,"  ",0,1,"         555555",-400787.70
25,"  ",0,1,"         555555",-328875.93
25,"  ",0,1,"         555555",-325714.29
25,"  ",0,1,"         555555",-314512.71
25,"  ",0,1,"         555555",-311755.48
25,"  ",0,1,"         555555",-291501.72
25,"  ",0,1,"         555555",-242056.15
25,"  ",0,1,"         555555",-240492.77
25,"  ",0,1,"         555555",-240223.06
25,"  ",0,1,"         555555",-233193.32
25,"  ",0,1,"         555555",-231648.44
25,"  ",0,1,"         555555",-225245.12
25,"  ",0,1,"         555555",-222714.91
25,"  ",0,1,"         555555",-193435.72
25,"  ",0,1,"         555555",-193259.60
25,"  ",0,1,"         555555",-189458.54
25,"  ",0,1,"         555555",-187853.87
25,"  ",0,1,"         555555",-185666.28
25,"  ",0,1,"         555555",-182590.15
25,"  ",0,1,"         555555",-167406.89
25,"  ",0,1,"         555555",-166186.54
25,"  ",0,1,"         555555",-165586.69
25,"  ",0,1,"         555555",-163540.57
25,"  ",0,1,"         555555",-156031.86
25,"  ",0,1,"         555555",-153042.91
25,"  ",0,1,"         555555",-150980.32
25,"  ",0,1,"         555555",-146841.48
25,"  ",0,1,"         555555",-144673.22
25,"  ",0,1,"         555555",-142491.36
25,"  ",0,1,"         555555",-129949.27
25,"  ",0,1,"         555555",-128928.13
25,"  ",0,1,"         555555",-123457.07
25,"  ",0,1,"         555555",-122575.15
25,"  ",0,1,"         555555",-119358.57
25,"  ",0,1,"         555555",-117953.71
25,"  ",0,1,"         555555",-117930.45
25,"  ",0,1,"         555555",-102589.27
25,"  ",0,1,"         555555",-90304.78
25,"  ",0,1,"         555555",-90293.80
25,"  ",0,1,"         555555",-82212.27
25,"  ",0,1,"         555555",-82135.97
25,"  ",0,1,"         555555",-65711.25
25,"  ",0,1,"         555555",-34119.23
25,"  ",0,1,"         555555",-31077.19
25,"  ",0,1,"         555555",-15835.70
25,"  ",0,1,"         555555",15835.70
25,"  ",0,1,"         555555",31077.19
25,"  ",0,1,"         555555",34119.23
25,"  ",0,1,"         555555",65711.25
25,"  ",0,1,"         555555",82135.97
25,"  ",0,1,"         555555",82212.27
25,"  ",0,1,"         555555",90293.80
25,"  ",0,1,"         555555",90304.78
25,"  ",0,1,"         555555",102589.27
25,"  ",0,1,"         555555",117930.45
25,"  ",0,1,"         555555",117953.71
25,"  ",0,1,"         555555",119358.57
25,"  ",0,1,"         555555",122575.15
