QueryName,Order_districtPlusTransaction,Salesman_Name_____SMNAME,Order_Type_____OOTYPE,Customer_DistrictPlusCustomer,Customer_Alpha_Name_____CALPHA,InvoiceDate_OOI,ITEM_NUMBER_____ODITEM,Ship_To_Vendor_#_____BSSVEN,Multiple_SPO_____BSSPS#
"Sales analysis, SPO",1951242,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240426,50633,684.0,1.0
"Sales analysis, SPO",1951242,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240426,50633,218.0,2.0
"Sales analysis, SPO",1951243,BEN HILTON     ,A,100116,STEWART TUBULAR PRODUCTS INC       ,20240419,52067,121.0,1.0
"Sales analysis, SPO",1951243,BEN HILTON     ,A,100116,STEWART TUBULAR PRODUCTS INC       ,20240419,52067,307.0,2.0
"Sales analysis, SPO",1951243,BEN HILTON     ,A,100116,STEWART TUBULAR PRODUCTS INC       ,20240419,52067,119.0,3.0
"Sales analysis, SPO",1951244,BEN HILTON     ,B,100994,HALLIBURTON MFG MALAYSIA           ,20240419,BTUBE,121.0,1.0
"Sales analysis, SPO",1951244,BEN HILTON     ,B,100994,HALLIBURTON MFG MALAYSIA           ,20240419,BTUBE,307.0,2.0
"Sales analysis, SPO",1951244,BEN HILTON     ,B,100994,HALLIBURTON MFG MALAYSIA           ,20240419,BTUBE,119.0,3.0
"Sales analysis, SPO",1951249,DAVID POPHAM   ,A,100307,D & L OIL TOOLS                    ,20240409,50225,465.0,1.0
"Sales analysis, SPO",1951255,LACEY CORTEZ   ,A,100286,OLYMPIAN MACHINE LLC               ,20240508,50156,119.0,1.0
"Sales analysis, SPO",1951257,DARREL THORMER ,B,100194,HUNTING ENERGY SVCS CONNECTION DIV ,20240419,BOBAR,168.0,1.0
"Sales analysis, SPO",1951258,DARREL THORMER ,B,100194,HUNTING ENERGY SVCS CONNECTION DIV ,20240419,BOBAR,168.0,1.0
"Sales analysis, SPO",1951259,DAVID POPHAM   ,B,100223,PACKERS PLUS USA                   ,20240425,BTUBE,168.0,1.0
"Sales analysis, SPO",1951259,DAVID POPHAM   ,B,100223,PACKERS PLUS USA                   ,20240425,BTUBE,119.0,2.0
"Sales analysis, SPO",1951261,DARREL THORMER ,B,100194,HUNTING ENERGY SVCS CONNECTION DIV ,20240419,BOBAR,168.0,1.0
"Sales analysis, SPO",1951266,DAVID POPHAM   ,A,100812,HUNT AND HUNT LTD                  ,20240423,50015,121.0,2.0
"Sales analysis, SPO",1951266,DAVID POPHAM   ,A,100812,HUNT AND HUNT LTD                  ,20240423,50015,218.0,1.0
"Sales analysis, SPO",1951279,BEN HILTON     ,B,100189,HALLIBURTON ENERGY SERVICES        ,20240531,BTUBE,465.0,1.0
"Sales analysis, SPO",1951279,BEN HILTON     ,B,100189,HALLIBURTON ENERGY SERVICES        ,20240531,BTUBE,121.0,2.0
"Sales analysis, SPO",1951282,BEN HILTON     ,B,100189,HALLIBURTON ENERGY SERVICES        ,20240510,BTUBE,465.0,1.0
"Sales analysis, SPO",1951282,BEN HILTON     ,B,100189,HALLIBURTON ENERGY SERVICES        ,20240510,BTUBE,121.0,2.0
"Sales analysis, SPO",1951284,BEN HILTON     ,B,100189,HALLIBURTON ENERGY SERVICES        ,20240510,BTUBE,465.0,1.0
"Sales analysis, SPO",1951284,BEN HILTON     ,B,100189,HALLIBURTON ENERGY SERVICES        ,20240510,BTUBE,121.0,2.0
"Sales analysis, SPO",1951288,CHRIS SITKA    ,A,100235,RYERSON                            ,20240409,51207,473.0,1.0
"Sales analysis, SPO",1951300,DARREL THORMER ,A,100576,REACTIVE DOWNHOLE TOOLS USA INC    ,20240410,51097,168.0,1.0
"Sales analysis, SPO",1951301,BEN HILTON     ,A,101321,LLN GROUP LLC                      ,20240416,51423,121.0,1.0
"Sales analysis, SPO",1951309,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20240501,51823,465.0,1.0
"Sales analysis, SPO",1951309,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20240501,51823,121.0,2.0
"Sales analysis, SPO",1951309,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20240501,51823,180.0,3.0
"Sales analysis, SPO",1951309,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20240501,51823,121.0,4.0
"Sales analysis, SPO",1951309,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20240501,51823,119.0,5.0
"Sales analysis, SPO",1951312,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240411,51996,180.0,1.0
"Sales analysis, SPO",1951314,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240423,52242,684.0,1.0
"Sales analysis, SPO",1951314,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240423,52242,465.0,2.0
"Sales analysis, SPO",1951314,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240423,52242,119.0,3.0
"Sales analysis, SPO",1951317,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240417,51590,465.0,1.0
"Sales analysis, SPO",1951318,BEN HILTON     ,A,100102,HUNTING ENERGY SERVICES            ,20240423,51031,121.0,1.0
"Sales analysis, SPO",1951318,BEN HILTON     ,A,100102,HUNTING ENERGY SERVICES            ,20240423,51031,307.0,2.0
"Sales analysis, SPO",1951318,BEN HILTON     ,A,100102,HUNTING ENERGY SERVICES            ,20240423,51031,119.0,3.0
"Sales analysis, SPO",1951320,MONTY BERGERON ,A,100602,TATCO MACHINE & REPAIR INC         ,20240412,50991,473.0,1.0
"Sales analysis, SPO",1951321,MONTY BERGERON ,A,100602,TATCO MACHINE & REPAIR INC         ,20240417,51110,473.0,1.0
"Sales analysis, SPO",1951327,DARIO CAMACHO  ,B,100181,HP PIPING SOLUTIONS LLC            ,20240408,BTUBE,119.0,1.0
"Sales analysis, SPO",1951334,LACEY CORTEZ   ,A,100138,DIXIE IRON WORKS LTD               ,20240418,51007,218.0,1.0
"Sales analysis, SPO",1951334,LACEY CORTEZ   ,A,100138,DIXIE IRON WORKS LTD               ,20240418,51007,121.0,2.0
