(No column name),Fast_Path_Item_Description_____IMFSP2,ITEM_NUMBER_____IMITEM,Size_1_____IMSIZ1,Size_2_____IMSIZ2,Size_3_____IMSIZ3,Item_Print_Descr_Two_____IMDSC2,Weight_Per_Foot_____IMWPFT,Average_Cost_____IOACST,Qty_On_Hand_____IOQOH,Qty_On_Order_____IOQOO,(No column name),Item_Print_Descr_One_____IMDSC1,PSI_=_PER_SQUARE_INCH_PLI_=_PER_LINEAR_INCH_"___"=_____IMWUOM,Company_SMO_____IMCSMO
ROP Query,AB00.750-00.000 HEX BAR CD 4140 AR                                    ,50782,0.75,0.0,0.0,CD 4140 AR                    ,1.502,0.0,0.0,0.0,0.00.0,.750 HEX BAR                  ,PLI,DEFAULT                            
ROP Query,AB00.750-00.000 HF 4140 110KSI QT                                     ,50806,0.75,0.0,0.0,HF 4140 110KSI QT             ,1.502,0.0,0.0,0.0,0.00.0,.750 ROUND BAR                ,PLI,STB20                              
ROP Query,AB00.750-00.000 HF 4140 AR                                            ,52216,0.75,0.0,0.0,HF 4140 AR                    ,1.502,0.0,0.0,0.0,0.00.0,.750 ROUND BAR                ,PLI,DEFAULT                            
ROP Query,AB01.000-00.000 HF 4130M7  NQT 277/326                                ,52500,1.0,0.0,0.0,HF 4130M7  NQT 277/326        ,2.6699999999999999,0.0,4.0830000000000002,0.0,0.00.0,1.000 ROUND BAR               ,PLI,DEFAULT                            
ROP Query,AB01.000-00.000 HF 4340  ANN                                          ,51490,1.0,0.0,0.0,HF 4340  ANN                  ,2.6699999999999999,4.8703000000000003,0.0,0.0,0.00.0,1.000 ROUND BAR               ,PLI,DEFAULT                            
ROP Query,AB01.000-00.000 HF 4340 48-52 NQT                                     ,50773,1.0,0.0,0.0,HF 4340 48-52 NQT..           ,2.6699999999999999,11.069100000000001,35.25,0.0,0.00.0,1.000 ROUND BAR               ,PLI,STB18                              
ROP Query,AB01.250-00.000 HF 4130 80KSI NQT                                     ,50768,1.25,0.0,0.0,HF 4130 80KSI NQT             ,4.1719999999999997,0.0,0.0,0.0,0.00.0,1.250 ROUND BAR               ,PLI,STB18                              
ROP Query,AB01.250-00.000 HF 4140 110 KSI QT                                    ,51503,1.25,0.0,0.0,HF 4140 110 KSI QT            ,4.1719999999999997,4.7516999999999996,1730.8330000000001,0.0,0.00.0,1.250 ROUND BAR               ,PLI,STB20                              
ROP Query,AB01.250-00.000 HF 4140 110 KSI QT++                                  ,51575,1.25,0.0,0.0,HF 4140 110 KSI QT++          ,4.1719999999999997,3.9218999999999999,0.0,0.0,0.00.0,1.250 ROUND BAR               ,PLI,STB20                              
ROP Query,AB01.250-00.000 HF 4340  NQT 341/401                                  ,52578,1.25,0.0,0.0,HF 4340  NQT 341/401          ,4.1719999999999997,10.2403,219.583,0.0,0.00.0,1.250 ROUND BAR               ,PLI,DEFAULT                            
