Order_districtPlusTransaction,Salesman_Name_____SMNAME,Order_Type_____OOTYPE,Customer_DistrictPlusCustomer,Customer_Alpha_Name_____CALPHA,InvoiceDate_OOI,ITEM_NUMBER_____ODITEM,SIZE_1_____ODSIZ1,SIZE_2_____ODSIZ2,SIZE_3_____ODSIZ3,CRT_DESCRIPTION_____ODCRTD,Item_Print_Descr_Two_____DXDSC2,TOTAL_FTS_____ODTFTS,TOTAL_LBS_____ODTLBS,TOTAL_PCS_____ODTPCS,NEGOTIATED_SELL_$_EXT_____ODSLSX,PRORATED_FREIGHT_SALES_____ODFRTS,COSTING_METHOD_COST_EXT_____ODCSTX,TOTAL_PROCESS_COST_____ODPRCC,TOTAL_ADDTL_CHG_COST_____ODADCC,PRORATED_WHOLE_ORDER_COST_AMT_____ODWCCS,State_____CSTAT,Country_____CCTRY
1968540,DAVID POPHAM   ,A,100557,CITADEL CASING SOLUTIONS LLC       ,20250228,50898,8.75,6.25,1.25,8.750 OD 6.250 ID 1.250 WALL       ,HF 4140 125KSI QT             ,14.208,1422.6300000000001,10.0,3369.0799999999999,0.0,1900.49,0.0,0.0,0.0,TX,USA
1968539,DAVID POPHAM   ,A,100557,CITADEL CASING SOLUTIONS LLC       ,20250228,50898,8.75,6.25,1.25,8.750 OD 6.250 ID 1.250 WALL       ,HF 4140 125KSI QT             ,20.800000000000001,2082.6309999999999,10.0,4932.1000000000004,0.0,2782.25,0.0,0.0,0.0,TX,USA
1968528,MICHAEL BROUSSA,A,101006,AGL MACHINE WORKS                  ,20250228,50060,8.0,4.5,1.75,8.000 OD 4.500 ID 1.750 WALL       ,HF 4140 P110 QT               ,14.896000000000001,1740.0650000000001,10.0,2985.1300000000001,0.0,2797.0100000000002,0.0,0.0,0.0,LA,USA
1968521,DARIO CAMACHO  ,A,100602,TATCO MACHINE & REPAIR INC         ,20250228,50427,11.5,0.0,0.0,11.500 ROUND BAR                   ,HF 4130 75KSI NQT             ,0.79200000000000004,279.548,1.0,430.0,0.0,328.60000000000002,0.0,0.0,0.0,LA,USA
1968520,DARIO CAMACHO  ,A,100602,TATCO MACHINE & REPAIR INC         ,20250228,51328,11.0,0.0,0.0,11.000 ROUND BAR                   ,HF 4130 75 KSI NQT            ,0.79200000000000004,255.768,1.0,450.0,0.0,302.14999999999998,0.0,0.0,0.0,LA,USA
1968506,DARIO CAMACHO  ,A,100321,M&M MACHINE SHOP                   ,20250228,52365,1.75,0.0,0.0,1.750 ROUND BAR                    ,HF 4130 110 KSI QT..          ,1.0,8.1769999999999996,1.0,158.0,0.0,16.280000000000001,0.0,0.0,0.0,TX,USA
1968505,DARIO CAMACHO  ,A,100321,M&M MACHINE SHOP                   ,20250228,50318,3.0,0.0,0.0,3.000 ROUND BAR                    ,HF 4140 110KSI QT             ,1.0,24.030000000000001,1.0,175.0,0.0,23.109999999999999,0.0,0.0,0.0,TX,USA
1968500,BEN HILTON     ,A,101211,CORETRAX AMERICAS LTD              ,20250228,52031,4.5,3.25,0.625,4.500 OD 3.250 ID .625 WALL        ,HF 4130 P110++                ,58.0,1500.229,2.0,3422.0,0.0,2003.3599999999999,0.0,0.0,0.0,TX,USA
1968495,CHRIS SITKA    ,A,100157,NORQUEST INDUSTRIES INC            ,20250228,50410,4.25,2.25,1.0,4.250 OD 2.250 ID 1.000 WALL       ,HF 4140 125KSI QT             ,0.35399999999999998,12.292999999999999,1.0,23.309999999999999,0.0,18.07,0.0,0.0,0.0,AB,CAN
1968483,LACEY CORTEZ   ,A,100277,CONDOR MACHINERY                   ,20250228,50458,4.75,2.75,1.0,4.750 OD 2.750 ID 1.000 WALL       ,HF 4140 125KSI QT             ,6.6669999999999998,267.00400000000002,1.0,683.77999999999997,0.0,371.58999999999997,0.0,0.0,0.0,AB,CAN
