(No column name),ITEM_NUMBER_____ITITEM,TAG_NUMBER_ALPHA_____ITTAG,Tag_Master_Description_____ITTDES,Numeric_Length_____ITLNTH,Tag_Pieces_____ITTPCS,Heat_#_____ITHEAT,Mill_Coil#_____ITV301,Warehouse_Loc_____ITLOCT,Tag_Quantity_____ITTQTY,Reserved_Quantity_____ITRQTY,Fast_Path_Item_Description_____IMFSP2
ROP - TAG query,50002, 343666,5.250 BAR HF 4130 M7               ,105.0,1.0,T0514          ,NA                            ,1971162,8.75,8.75,AB05.250-00.000 HF 4130 M7                                            
ROP - TAG query,50002, 343867,5.250 BAR HF 4130 M7               ,148.0,1.0,T0514          ,NA                            ,1971268,12.333,12.333,AB05.250-00.000 HF 4130 M7                                            
ROP - TAG query,50002, 345110,5.250 BAR HF 4130 M7               ,15.0,1.0,T0514          ,NA                            ,1971268,1.25,1.25,AB05.250-00.000 HF 4130 M7                                            
ROP - TAG query,50002, 344760,5.250 BAR HF 4130 M7               ,217.0,1.0,T0514          ,NA                            ,16S7   ,18.082999999999998,0.0,AB05.250-00.000 HF 4130 M7                                            
ROP - TAG query,50002, 337286,5.250 BAR HF 4130 M7               ,247.0,2.0,T0514          ,NA                            ,16S7   ,41.170000000000002,0.0,AB05.250-00.000 HF 4130 M7                                            
ROP - TAG query,50002, 344023,5.250 BAR HF 4130 M7               ,47.0,1.0,T0514          ,NA                            ,1SB11  ,3.9169999999999998,0.0,AB05.250-00.000 HF 4130 M7                                            
ROP - TAG query,50002, 344022,5.250 BAR HF 4130 M7               ,52.0,1.0,T0514          ,NA                            ,1971339,4.3330000000000002,4.3330000000000002,AB05.250-00.000 HF 4130 M7                                            
ROP - TAG query,50002, 343667,5.250 BAR HF 4130 M7               ,59.0,1.0,T0514          ,NA                            ,1SB9   ,4.9169999999999998,0.0,AB05.250-00.000 HF 4130 M7                                            
ROP - TAG query,50002, 325893,5.250 BAR HF 4130 M7               ,78.0,1.0,X3693          ,NA                            ,1SB31  ,6.5,0.0,AB05.250-00.000 HF 4130 M7                                            
ROP - TAG query,50002, 202034,5.250 BAR HF 4130 M7 ANN           ,30.0,1.0,Y0729          ,2223635                       ,1SB4   ,2.5,0.0,AB05.250-00.000 HF 4130 M7                                            
