(No column name),ITEM_NUMBER_____IHITEM,Transaction_Type_____IHTRNT,Transaction_#_____IHTRN#,Vendor_#_____IHVNDR,CUSTOMER_NUMBER_____IHCUST,Trans_YY_____IHTRYY,Trans_MM_____IHTRMM,Trans_DD_____IHTRDD,Trans_Inv_Qty_____IHTQTY
ROP - Usage query,50002,IN,964853.0,0.0,157.0,25.0,1.0,10.0,-6.6660000000000004
ROP - Usage query,50002,PO,518291.0,130.0,0.0,25.0,2.0,20.0,82.667000000000002
ROP - Usage query,50002,PO,518291.0,130.0,0.0,25.0,2.0,20.0,247.0
ROP - Usage query,50002,IA,37855.0,130.0,0.0,25.0,2.0,21.0,0.0
ROP - Usage query,50002,IN,967386.0,0.0,199.0,25.0,2.0,7.0,-2.9169999999999998
ROP - Usage query,50002,OW,402149.0,121.0,0.0,25.0,3.0,19.0,-164.66399999999999
ROP - Usage query,50002,IN,966245.0,0.0,539.0,25.0,3.0,31.0,-14.25
ROP - Usage query,50002,IN,967725.0,0.0,189.0,25.0,3.0,5.0,-21.0
ROP - Usage query,50002,IA,39911.0,0.0,0.0,25.0,4.0,2.0,-20.667000000000002
ROP - Usage query,50002,IA,39911.0,0.0,0.0,25.0,4.0,2.0,6.8339999999999996
