QueryType,ITEM_NUMBER_____IOITEM,Qty_On_Hand_____IOQOH,Qty_On_Order_____IOQOO,Average_Cost_____IOACST
Item On-Hand Query,50001,0.0,0.0,28.5717
Item On-Hand Query,50002,118.42,270.0,94.664299999999997
Item On-Hand Query,50003,142.166,0.0,83.783799999999999
Item On-Hand Query,50004,0.0,0.0,104.69459999999999
Item On-Hand Query,50005,285.83199999999999,0.0,116.2281
Item On-Hand Query,50006,0.0,0.0,73.623500000000007
Item On-Hand Query,50007,109.25,0.0,100.0442
Item On-Hand Query,50008,0.0,0.0,43.236499999999999
Item On-Hand Query,50009,45.167000000000002,160.667,145.5789
Item On-Hand Query,50010,237.917,0.0,166.60489999999999
