QueryName,Order_districtPlusTransaction,Salesman_Name_____SMNAME,Order_Type_____OOTYPE,Customer_DistrictPlusCustomer,Customer_Alpha_Name_____CALPHA,InvoiceDate_OOI,ITEM_NUMBER_____ODITEM,Ship_To_Vendor_#_____BSSVEN,Multiple_SPO_____BSSPS#
Sales analysis SPO,1951242,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240426,50633,684.0,1.0
Sales analysis SPO,1951242,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240426,50633,218.0,2.0
Sales analysis SPO,1951243,BEN HILTON     ,A,100116,STEWART TUBULAR PRODUCTS INC       ,20240419,52067,307.0,2.0
Sales analysis SPO,1951243,BEN HILTON     ,A,100116,STEWART TUBULAR PRODUCTS INC       ,20240419,52067,119.0,3.0
Sales analysis SPO,1951243,BEN HILTON     ,A,100116,STEWART TUBULAR PRODUCTS INC       ,20240419,52067,121.0,1.0
Sales analysis SPO,1951244,BEN HILTON     ,B,100994,HALLIBURTON MFG MALAYSIA           ,20240419,BTUBE,121.0,1.0
Sales analysis SPO,1951244,BEN HILTON     ,B,100994,HALLIBURTON MFG MALAYSIA           ,20240419,BTUBE,307.0,2.0
Sales analysis SPO,1951244,BEN HILTON     ,B,100994,HALLIBURTON MFG MALAYSIA           ,20240419,BTUBE,119.0,3.0
Sales analysis SPO,1951249,DAVID POPHAM   ,A,100307,D & L OIL TOOLS                    ,20240409,50225,465.0,1.0
Sales analysis SPO,1951255,LACEY CORTEZ   ,A,100286,OLYMPIAN MACHINE LLC               ,20240508,50156,119.0,1.0
