QueryName,ITEM_NUMBER_____IHITEM,Transaction_Type_____IHTRNT,CUSTOMER_NUMBER_____IHCUST,Customer_Alpha_Name_____CALPHA,SalesmanCode
ROP - Usage sum query,50002,IN,199.0,CONROE MACHINE                     ,110
ROP - Usage sum query,50002,IN,189.0,HALLIBURTON ENERGY SERVICES        ,106
ROP - Usage sum query,50002,IN,994.0,HALLIBURTON MFG MALAYSIA           ,199
ROP - Usage sum query,50002,IN,753.0,HALLIBURTON SINGAPORE              ,199
ROP - Usage sum query,50002,IN,157.0,NORQUEST INDUSTRIES INC            ,120
ROP - Usage sum query,50002,IN,539.0,SCHLUMBERGER SINGAPORE             ,199
ROP - Usage sum query,50002,IN,592.0,STEEL ALLOYS & SVCS                ,199
ROP - Usage sum query,50003,IN,561.0,US STEEL OILWELL SERVICES LLC      ,157
ROP - Usage sum query,50005,IN,1350.0,BAKER HUGHES SAUDI ARABIA CO       ,199
ROP - Usage sum query,50005,IN,639.0,GLOBAL MANUFACTURING OF ACADIANA   ,109
