table_name,table_prop_name,table_prop_value,column_name,column_prop_name,column_prop_value
01_AS400_MSSQL_Equivalents,,,AS400_TableName,,
01_AS400_MSSQL_Equivalents,,,TABLEDESCRIPTION,,
01_AS400_MSSQL_Equivalents,,,COLUMN_COUNT,,
01_AS400_MSSQL_Equivalents,,,ROW_COUNT,,
01_AS400_MSSQL_Equivalents,,,MSSQL_TableName,,
z_***_remove_next_rel_____CLIMITA,CLIMITA,z_***_remove_next_rel_____CLIMITA,_____CCUST,,
z_***_remove_next_rel_____CLIMITA,CLIMITA,z_***_remove_next_rel_____CLIMITA,_____CLIMIT,,
z______ADDHSTCT,_ADDHSTCT,z,A=ACTIVE__D=DELETED_____ATRECD,ATRECD,A=ACTIVE__D=DELETED
z______ADDHSTCT,ADDHSTCT,z______ADDHSTCT,A=ACTIVE__D=DELETED_____ATRECD,ATRECD,A=ACTIVE__D=DELETED
z______ADDHSTCT,ADDHSTCT,z______ADDHSTCT,Additional_Charge_Transaction_Type_____ATTRNT,ATTRNT,Additional_Charge_Transaction_Type
z______ADDHSTCT,_ADDHSTCT,z,Additional_Charge_Transaction_Type_____ATTRNT,ATTRNT,Additional_Charge_Transaction_Type
z______ADDHSTCT,_ADDHSTCT,z,Transaction_District_____ATDIST,ATDIST,Transaction_District
z______ADDHSTCT,ADDHSTCT,z______ADDHSTCT,Transaction_District_____ATDIST,ATDIST,Transaction_District
z______ADDHSTCT,ADDHSTCT,z______ADDHSTCT,Transaction_Number_____ATTRN#,ATTRN#,Transaction_Number
z______ADDHSTCT,_ADDHSTCT,z,Transaction_Number_____ATTRN#,ATTRN#,Transaction_Number
z______ADDHSTCT,_ADDHSTCT,z,Transaction_Line_Number_____ATMLIN,ATMLIN,Transaction_Line_Number
z______ADDHSTCT,ADDHSTCT,z______ADDHSTCT,Transaction_Line_Number_____ATMLIN,ATMLIN,Transaction_Line_Number
z______ADDHSTCT,ADDHSTCT,z______ADDHSTCT,Transaction_Used_Line_Number_____ATULIN,ATULIN,Transaction_Used_Line_Number
z______ADDHSTCT,_ADDHSTCT,z,Transaction_Used_Line_Number_____ATULIN,ATULIN,Transaction_Used_Line_Number
z______ADDHSTCT,_ADDHSTCT,z,Transaction_Receipt/_Restock_Line_Number_____ATRLIN,ATRLIN,Transaction_Receipt/_Restock_Line_Number
z______ADDHSTCT,ADDHSTCT,z______ADDHSTCT,Transaction_Receipt/_Restock_Line_Number_____ATRLIN,ATRLIN,Transaction_Receipt/_Restock_Line_Number
z______ADDHSTCT,ADDHSTCT,z______ADDHSTCT,Additional_Charge_Sequence_Number_____ATSEQ#,ATSEQ#,Additional_Charge_Sequence_Number
z______ADDHSTCT,_ADDHSTCT,z,Additional_Charge_Sequence_Number_____ATSEQ#,ATSEQ#,Additional_Charge_Sequence_Number
z______ADDHSTCT,_ADDHSTCT,z,Additional_Charge_Code_____ATACCD,ATACCD,Additional_Charge_Code
z______ADDHSTCT,ADDHSTCT,z______ADDHSTCT,Additional_Charge_Code_____ATACCD,ATACCD,Additional_Charge_Code
z______ADDHSTCT,ADDHSTCT,z______ADDHSTCT,Additional_Charge_Quantity_____ATQTY,ATQTY,Additional_Charge_Quantity
z______ADDHSTCT,_ADDHSTCT,z,Additional_Charge_Quantity_____ATQTY,ATQTY,Additional_Charge_Quantity
z______ADDHSTCT,_ADDHSTCT,z,Quantity_UOM_____ATQUOM,ATQUOM,Quantity_UOM
z______ADDHSTCT,ADDHSTCT,z______ADDHSTCT,Quantity_UOM_____ATQUOM,ATQUOM,Quantity_UOM
z______ADDHSTCT,ADDHSTCT,z______ADDHSTCT,Unit_Price_____ATUPRC,ATUPRC,Unit_Price
z______ADDHSTCT,_ADDHSTCT,z,Unit_Price_____ATUPRC,ATUPRC,Unit_Price
z______ADDHSTCT,_ADDHSTCT,z,Price_UOM_____ATPUOM,ATPUOM,Price_UOM
z______ADDHSTCT,ADDHSTCT,z______ADDHSTCT,Price_UOM_____ATPUOM,ATPUOM,Price_UOM
z______ADDHSTCT,ADDHSTCT,z______ADDHSTCT,Extended_Price_____ATEPRC,ATEPRC,Extended_Price
z______ADDHSTCT,_ADDHSTCT,z,Extended_Price_____ATEPRC,ATEPRC,Extended_Price
z______ADDHSTCT,_ADDHSTCT,z,Unit_Cost_____ATUCST,ATUCST,Unit_Cost
z______ADDHSTCT,ADDHSTCT,z______ADDHSTCT,Unit_Cost_____ATUCST,ATUCST,Unit_Cost
z______ADDHSTCT,ADDHSTCT,z______ADDHSTCT,Cost_UOM_____ATCUOM,ATCUOM,Cost_UOM
z______ADDHSTCT,_ADDHSTCT,z,Cost_UOM_____ATCUOM,ATCUOM,Cost_UOM
