TableName,TableCode,ColumnPK,ColumnCode,TotalRows,Comment,LowestValue,HighestValue,IsError,ErrorMessage
z_A/P_Check_Reconcilement_file_____APCHKR,APCHKR,Check#_____PRCHCK,PRCHCK,10,PK found,10000,9993,0,NULL
z_A/P_Check_Register_Work_File_____APWK856,APWK856,COMPANY_NUMBER_____WHCOMP,WHCOMP,1,PK found,1,1,0,NULL
z_A/P_Debit_Header_File_____APDEBH,APDEBH,Debit_Memo_Number_____V1DEB#,V1DEB#,79,PK found,100101,100182,0,NULL
z_A/P_Debit_Memo_Print_Workfile_-_Header_____DBHWRK,DBHWRK,Debit_Memo_Number_____WHDEB#,WHDEB#,79,PK found,100101,100182,0,NULL
z_A/P_EDI_transaction_selection_____APEDITR,APEDITR,Vendor_____EDVEND,EDVEND,202,PK found,1,905,0,NULL
z_A/P_Handling_Code_File_____APHCOD,APHCOD,Payment_Handling_Code_____ABHCOD,ABHCOD,2,PK found,OD,US,0,NULL
z_A/P_Inventory_Reconciliation_File_____APINV,APINV,TIME_STAMP_____VISTMP,VISTMP,9876,PK found,1.00005E+11,95958123124,0,NULL
z_A/P_Processor_Voucher_Data_File_____APPRC,APPRC,A/P_Invoice#_____VAINV#,VAINV#,159,PK found,4206, 5010HOU0020768,0,NULL
z_A/P_Vendor_History_Exchange_File_____APVHEXC,APVHEXC,Vendor_Number_____VHCVND,VHCVND,4,PK found,276,742,0,NULL
z_A/P_Void_File_-_(Checks_to_be_voided)_____APVOID,APVOID,From_Check_____VVCHKF,VVCHKF,316,PK found,10000,99100720,0,NULL
z_A/R_Customer_Contact_Code_____CONTCODE,CONTCODE,Contact_Type_____CCCTYP,CCCTYP,12,PK found,A,Y,0,NULL
z_A/R_Lock_Box_Code_File_____ARLOCK,ARLOCK,LOCK_BOX_CODE_____C6CODE,C6CODE,8,PK found,1,99,0,NULL
z_A/R_-to-_Frt/Claim_Xref_____FCXREF,FCXREF,Vendor#_____XRVNDR,XRVNDR,571,PK found,104,905,0,NULL
z_Additional_Charge_Code_File_____ADDCHRG,ADDCHRG,Additional_Charge_Code_____ACACCD,ACACCD,32,PK found,232,WRF,0,NULL
z_Additional_Charge_Federal_Tax_File_____ADDCFTAX,ADDCFTAX,Additional_Charge_Code_____AXFCCD,AXFCCD,4,PK found,CHR,TES,0,NULL
z_Additional_Charge_Provincial_Tax_File_____ADDCPTAX,ADDCPTAX,Additional_Charge_Code_____AXPCCD,AXPCCD,3,PK found,CHR,TES,0,NULL
z_AR/Customer_History_Exchange_File_____ARCHEXC,ARCHEXC,Customer_Number_____AXCUST,AXCUST,272,PK found,1006,996,0,NULL
z_Bank_Disbursement_Master_____APBANKCD,APBANKCD,AP_Disbursement_Code_____ABBCDE,ABBCDE,8,PK found,1,8,0,NULL
z_Barcode_Checks_____BCCHECKS,BCCHECKS,Employee#_____BCEMPL,BCEMPL,99,PK found,ABYRD     ,ZLUMSDEN  ,0,NULL
z_Bookings_Information_file_____BOOKINF,BOOKINF,Item_Class_____BKCLS3,BKCLS3,9,PK found,ABH,SBH,0,NULL
z_Buyer_File_____BUYER,BUYER,Buyer_____BBUY#,BBUY#,14,PK found,1,5,0,NULL
z_Chemical_Analysis_____CHEMTAGM,CHEMTAGM,CHEM_SCREEN_MASK__NUMBER_____HTCHSM,HTCHSM,8,PK found,1,8,0,NULL
z_Country_File_____COUNTRY,COUNTRY,Country_____CYCTRY,CYCTRY,171,PK found,A  ,ZW ,0,NULL
z_Credit_Analyst_File_____CRANAL,CRANAL,Credit_Analyst_Number_____CACANO,CACANO,5,PK found,1,6,0,NULL
z_Credit_Application_History_File_____CRAPLHIS,CRAPLHIS,CUSTOMER_NUMBER_____AHCUST,AHCUST,33,PK found,125,892,0,NULL
z_Credit_Memo_Header_File_____CRHEADER,CRHEADER,CREDIT_MEMO_NUMBER_____CRHORD,CRHORD,5450,PK found,812278,971512,0,NULL
z_Credit_Memo_Major_Reason_Code_File_____CMMAJOR,CMMAJOR,Major_Reason_Code_Description_____MJDESC,MJDESC,8,PK found,ADMINISTRATION      ,WAREHOUSE           ,0,NULL
z_Credit_Memo_Major_Reason_Code_File_____CMMINOR,CMMINOR,Minor_Reason_Code_____MNCODE,MNCODE,17,PK found, ,T,0,NULL
z_Credit-Held_Order_Release_File_____OECRRELS,OECRRELS,ORDER_NUMBER_____ORORDR,ORORDR,48601,PK found,800977,971699,0,NULL
z_Currency_Code_____CURRCODE,CURRCODE,Currency_Code_____CNCODE,CNCODE,2,PK found,CAD,USD,0,NULL
z_Customer_A/R_Information_____ARINFO,ARINFO,A/R_Customer_Number_____C8CUST,C8CUST,309,PK found,0,994,0,NULL
z_Customer_Collection_Comments_____COLCMT,COLCMT,CUSTOMER_NUMBER_____C9CUST,C9CUST,2,PK found,568,638,0,NULL
z_Customer_Invoice_Address_File_____CUSINVAD,CUSINVAD,CUSTOMER_NUMBER_____CICUST,CICUST,1278,PK found,1,99999,0,NULL
z_Customer_Master_Add_Code_File_____CUSTADD,CUSTADD,Customer_Add_Code_____CDCACD,CDCACD,7,PK found,A,Y,0,NULL
z_Customer_Master_File_____ARCUST,ARCUST,CUSTOMER_NUMBER_____CCUST,CCUST,1278,PK found,1,99999,0,NULL
z_Customer_Master_File_____ARCUST_B4,ARCUST_B4,CUSTOMER_NUMBER_____CCUST,CCUST,438,PK found,1,99999,0,NULL
z_Customer_Master_File_____MWARCUST,MWARCUST,CUSTOMER_NUMBER_____CCUST,CCUST,980,PK found,1,99999,0,NULL
z_Customer_Master_History_File_____ARCUSHST,ARCUSHST,CUSTOMER_NUMBER_____CHCUST,CHCUST,1279,PK found,0,99999,0,NULL
z_Customer_Number_for_TS_to_be_01_____ARCUST_01,ARCUST_01,CUSTOMER_NUMBER_____CCUST01,CCUST01,383,PK found,1,99999,0,NULL
z_Customer_Number_for_TS_to_be_40_____ARCUST_40,ARCUST_40,CUSTOMER_NUMBER_____CCUST40,CCUST40,55,PK found,107,552,0,NULL
z_Customer_Parent_File_____CUSTPARN,CUSTPARN,Cust_Parent_Code_____CPCODE,CPCODE,8,PK found,AIT ,WTHA,0,NULL
z_Customer_Part_Number_Cross_Reference_____PARTXRF,PARTXRF,CUSTOMER_PART_NUMBER_____IPPART,IPPART,28,PK found,102665(MAT10-6.00X4.00)  ,RS0825001                ,0,NULL
z_Customer_Price_Class_File_____CUSPRCLS,CUSPRCLS,Customer_Price_Class_Code_____PCPRCL,PCPRCL,3,PK found,01,03,0,NULL
z_Customer_Ship_To_Background_Information_____SHIPBCKG,SHIPBCKG,Customer_Number_____SBCUST,SBCUST,2,PK found,264,546,0,NULL
z_Cutting_Code_Header_File____quote#_1747__12/20/90_____CUTTHEAD,CUTTHEAD,Cutting_Code_____CUCTCD,CUCTCD,383,PK found,ABCCUT ,YYYOSPR,0,NULL
z_Daily_invoicing_analysis_____WFOE895,WFOE895,Order_Number_____DLORDR,DLORDR,70,PK found,967017,970996,0,NULL
z_Delivery_Tracking_Performance_File_____DELTRACK,DELTRACK,Transaction_#_____DPORDR,DPORDR,3898,PK found,600082,971555,0,NULL
z_Descrepancy_Reason_Code_File_____ARREAS,ARREAS,DESCREPANCY_REASON_CODE_____R1CODE,R1CODE,9,PK found,0001,DRC4,0,NULL
z_Discrepancy_Code_File_____ARDCRP,ARDCRP,DESCREPANCY_CODE_____C1CODE,C1CODE,12,PK found,*C,BB,0,NULL
z_District_--_Cutting_Code_Tolerances_____CUTTOLD,CUTTOLD,CUTTING_CODE_____CFCUCD,CFCUCD,377,PK found,ABCCUT ,UWROSPR,0,NULL
z_District_Application_Printer_File_____DISTRPRT,DISTRPRT,OUTPUT_QUEUE_____TPOUTQ,TPOUTQ,2,PK found,STBADMIN  ,STBWHS1   ,0,NULL
z_District_Class_File_____ITEMCLSD,ITEMCLSD,3_POSITION_CLASS_____IDCLAS,IDCLAS,144,PK found,ABG,YYY,0,NULL
z_Duty_Rate_____DUTYRATE,DUTYRATE,Shipping_Country_____DUSCTY,DUSCTY,10,PK found,CAN,VRC,0,NULL
z_E/C_Customer_____WEBCUST,WEBCUST,Customer_ID_____ECCID,ECCID,4,PK found,00001     ,STATEMENT ,0,NULL
z_EDI_Process_codes_from_TABLE_66_____EDITAB66,EDITAB66,_____EDSCOD,EDSCOD,189,PK found,01,PN,0,NULL
z_EDICD2__--_EDI_2_position_codes_____EDICD2,EDICD2,_____E2CODE,E2CODE,36,PK found,1,9,0,NULL
z_EDICD2__--_EDI_3_position_codes_____EDICD3,EDICD3,_____E3CODE,E3CODE,395,PK found,1,996,0,NULL
z_EDICD2A__--_EDI_2A_position_codes_____EDICD2A,EDICD2A,35_POSITION_DESCRIPTION_____E2ADSC,E2ADSC,94,PK found,ALLOY                              ,WELD                               ,0,NULL
z_EDICD4__--_EDI_4_position_codes_____EDICD4,EDICD4,_____E4CODE,E4CODE,84,PK found,1,98,0,NULL
z_Email_forms_____EMFORM_B4,EMFORM_B4,Program_____EFPROG,EFPROG,12,PK found,AP711CLF  ,ST651CL   ,0,NULL
z_Employee_File_____EMPLOYE,EMPLOYE,Employee#_____EMEMPL,EMEMPL,99,PK found,ABYRD     ,ZLUMSDEN  ,0,NULL
z_Employee_Parms_file_____EMPPARMS,EMPPARMS,Employee#_____EPEMPL,EPEMPL,99,PK found,ABYRD     ,ZLUMSDEN  ,0,NULL
z_Employee_Quote_File_____EMPQUOTE,EMPQUOTE,Employee#_____EQEMPL,EQEMPL,99,PK found,ABYRD     ,ZLUMSDEN  ,0,NULL
z_Empoyee_validation/password_____EMPVALID,EMPVALID,Employee#_____EMEMPL,EMEMPL,21,PK found,ACRUZ     ,ZLUMSDEN  ,0,NULL
z_Fast_Path_Key_-_used_to_determine_fields_used_____FASTPKEY,FASTPKEY,DESC_____FPDESC,FPDESC,10,PK found,Alloy     ,Width     ,0,NULL
z_Forecast_Rules_partxrf_____FCPARTX,FCPARTX,CUST_PART#_____IPPART,IPPART,3,PK found,108426-000003            ,R-4140C-04.250           ,0,NULL
z_Freight_Reconciliation_File_____FRECONCL,FRECONCL,Record_Code_____FRRECD,FRRECD,0,PK found,A,A,0,NULL
z_Freight_Reconciliation_File_____FRTHST,FRTHST,Record_Code_____FSRECD,FSRECD,0,PK found,A,A,0,NULL
z_G/L_Journal_Batch_Header_File_____GLJRBA,GLJRBA,Batch_Number_____GBBTCH,GBBTCH,1406,PK found,1000,999,0,NULL
z_G/L_Major_Heading_file_____GLMAJHD,GLMAJHD,GL_Major_Heading#_Description_____GMHDCD,GMHDCD,28,PK found,100,999,0,NULL
z_General_Ledger_Account_file_____GLACCT,GLACCT,GL_Account_Number_____GACCT,GACCT,258,PK found,1001100000,9999999999,0,NULL
z_General_Ledger_Master_File_____GLMAST,GLMAST,Account_Number_____GMACCT,GMACCT,258,PK found,1001100000,9999999999,0,NULL
z_IATRANS_-_Inventory_Adj_Transactions_____IATRANS,IATRANS,Batch_Number_____IABAT#,IABAT#,27,PK found,15711,9855,0,NULL
z_IC011_Filing_exceptions_____IC011SLSP,IC011SLSP,FILE_DATE_____EXDATE,EXDATE,353,PK found,09:00.0,51:31.0,0,NULL
z_Image_Index_Criteria_Control_File_____IMGINDX,IMGINDX,IMAGE_TYPE_____IMGTYP,IMGTYP,13,PK found,APIV,TSRP,0,NULL
z_Image_PDF_____IMAGEPDF,IMAGEPDF,IMAGE_NAME_____IMAGENM,IMAGENM,108347,PK found,01847177.pdf                                                                                                                                          ,H01971699.pdf                                                                                                                                         ,0,NULL
z_Image_PDF_____IMAGEPDFB4,IMAGEPDFB4,_____DATENT,DATENT,494,PK found,56:02.0,43:01.0,0,NULL
z_Industry_End_Use_Code_File_____ENDUSE,ENDUSE,Industry_End_Use_Code_____EUEUCD,EUEUCD,139,PK found,1001,7029,0,NULL
z_inferred_relationships,UNKNOWN,relationship_id,UNKNOWN,146400856,PK found,1,146400856,0,NULL
z_Inventory_Mill_File_____INVMILL,INVMILL,Inventory_Mill_Code_____MIMILL,MIMILL,74,PK found,ABS,ZHA,0,NULL
z_Inventory_Reconciliation_File_____IRECONCL,IRECONCL,Purchase_Order_Number_____IRPONO,IRPONO,26,PK found,517436,518974,0,NULL
z_Item_Master_File_____ITEMBG,ITEMBG,ITEM_NUMBER_____IMITEM,IMITEM,1781,PK found,00001,01839,0,NULL
z_Item_Master_File_____ITEMMAST,ITEMMAST,ITEM_NUMBER_____IMITEM,IMITEM,2613,PK found,02099,TSTPC,0,NULL
z_Item_Master_File_____ITEMMASTXX,ITEMMASTXX,ITEM_NUMBER_____IMITEM,IMITEM,30170,PK found,01001,UWCTP,0,NULL
z_Item_on_hand_comment_file_____ITEMONCM,ITEMONCM,ITEM_NUMBER_____I5ITEM,I5ITEM,1079,PK found,00011,U9999,0,NULL
z_Item_on_Hand_File_____ITEMONHD,ITEMONHD,ITEM_NUMBER_____IOITEM,IOITEM,2612,PK found,50001,TSTPC,0,NULL
z_Item_on_Hand_File_____ITEMONHDXX,ITEMONHDXX,ITEM_NUMBER_____IOITEM,IOITEM,10234,PK found,00009,U9999,0,NULL
z_Item_on_Hand_Summary_File_____ITEMONSU,ITEMONSU,Three_Position_Item_Class_____ISCLS3,ISCLS3,28,PK found,ABC,XXX,0,NULL
z_Line_Comment_Code_Constants_____LINECNST,LINECNST,_____LSCODE,LSCODE,14,PK found,B,W,0,NULL
z_M/P_Final_Restock_____MPHSTRSK,MPHSTRSK,New_Tag_Number_____RLNTAG,RLNTAG,7656,PK found,569,127157,0,NULL
z_Machine_File_____MACHINE,MACHINE,Machine_Number_____MAMACH,MAMACH,2,PK found,1,2,0,NULL
z_Manifest_____MNFEST,MNFEST,Transaction_#_____MNORDR,MNORDR,374,PK found,820590,930168,0,NULL
z_MAP_Level_Code_File_____ITEMMPLV,ITEMMPLV,MAP_Level_Code_____MLMPLV,MLMPLV,5,PK found,0,4,0,NULL
z_MASSBPC_-_Mass_maint/base_price_____MASSBPC,MASSBPC,_____MBKEY,MBKEY,5,PK found,2,6,0,NULL
z_Material_Processing_Order_Detail_____MPDETAIL,MPDETAIL,Transaction_#_____MDORDR,MDORDR,455,PK found,400155,402186,0,NULL
z_Material_Processing_Order_Header_____MPHDRORD,MPHDRORD,Transaction_#_____MHORDR,MHORDR,456,PK found,400155,402186,0,NULL
z_Material_Processing_Order_Profile_____MPPROFIL,MPPROFIL,Transaction_#_____MFORDR,MFORDR,456,PK found,400155,402186,0,NULL
z_Material_Rejection_Major_Cause_code_____MAJREJ,MAJREJ,MAJOR_CODE_____RJCOD,RJCOD,17,PK found,CH,WT,0,NULL
z_Material_Rejection_Minor_Cause_codes_____MINREJ,MINREJ,MINOR_REJECT._CODE_____RNCOD,RNCOD,26,PK found,AQ,YS,0,NULL
z_Material_Rejection_Transaction_File_____MRTRANS,MRTRANS,TAG_NUMBER_ALPHA_____MXTAG,MXTAG,21,PK found,30793,163533,0,NULL
z_Metalweb_FMG_interface_____METALFMG,METALFMG,DOC.TYPE_____FMGDOC,FMGDOC,8,PK found,ACK ,WOR ,0,NULL
z_MP_Setup_Control_File_____MPSETUP,MPSETUP,ORDER_NUMBER_____MSORDR,MSORDR,1924,PK found,400008,402186,0,NULL
z_MW_Emall_Type_File_____EMAILTYPE,EMAILTYPE,DOCUMENT_TYPE_____ETYPE,ETYPE,21,PK found,A/R STAT  ,WORK ORDER,0,NULL
z_One_Position_Item_Class_File_____ITEMCLS1,ITEMCLS1,Item_Class_One_____I1CLAS,I1CLAS,16,PK found,A,Y,0,NULL
z_Open_Order_File_____OEOPNORD,OEOPNORD,ORDER_NUMBER_____OOORDR,OOORDR,153764,PK found,100934,99949,0,NULL
z_Order_Profile_File_____OEPROFIL,OEPROFIL,ORDER_NUMBER_____OPORDR,OPORDR,153770,PK found,100934,99949,0,NULL
z_outbound_820_ach_header_____X820OAH,X820OAH,Counter_____EDCNTR,EDCNTR,63,PK found,1,97,0,NULL
z_outbound_820_ach_vendor_____X820OAB,X820OAB,CHECK_#_____EBCHCK,EBCHCK,2174,PK found,99001013,99003398,0,NULL
z_Output_file_for_DSPFD_TYPE(*MBRLIST)_____$DSPFDA,$DSPFDA,Member_____MLNAME,MLNAME,1496,PK found,ADCWHLL0  ,ZONEL0    ,0,NULL
z_Output_file_for_DSPFD_TYPE(*MBRLIST)_____MPMISS,MPMISS,Member_____MLNAME,MLNAME,2,PK found,MPEDIT    ,OEID150149,0,NULL
z_Physical_Analysis_File_____PHYSTAGM,PHYSTAGM,PHYSICAL_SCREEN_MASK_NUMBER_____YTPHSM,YTPHSM,8,PK found,1,8,0,NULL
z_Picker_Detail_File_____PICKDTL,PICKDTL,O/E_ORDER_#_____PIORDR,PIORDR,147991,PK found,600014,971688,0,NULL
z_Port_of_Entry_File_____PORTNTRY,PORTNTRY,PORT_OF_ENTRY_CODE_____PECODE,PECODE,5,PK found,1,5,0,NULL
z_Posting_Period_File_____POSTPRD,POSTPRD,Application_Code_____PPAPPL,PPAPPL,9,PK found,AP,ST,0,NULL
z_Price_Matrix_File_____PMATRX,PMATRX,Product_Class_____MTXCL3,MTXCL3,13,PK found,AB ,ST ,0,NULL
z_Price_Matrix_File_____PMATRX_B4,PMATRX_B4,Product_Class_____MTXCL3,MTXCL3,149,PK found,ABG,YYY,0,NULL
z_Print_Request_File_____PRTREQST,PRTREQST,Order_Number_____PRTORD,PRTORD,5,PK found,400244,400581,0,NULL
z_Purchase_Comments_____PURCCOMM,PURCCOMM,Vendor_#_____A1VEND,A1VEND,7,PK found,119,348,0,NULL
z_Purchase_Order_Comment_File_(Whole_Order)_____POCOMMNT,POCOMMNT,Purchase_Order_Number_____BCPONO,BCPONO,558,PK found,512020,518978,0,NULL
