TableName,TableRowCount,PkFound,ColumnPK,MinRange,MaxRange
_Instructions_____VENDINST, 2 ,PK found,Vendor_Number_____VNVEND,N/A,N/A
z_***_remove_next_rel_____CLIMITA, 236 ,PK found,_____CCUST,    1 003,     998
z______DELCODE, 5 ,PK found,Delivery_Code_____DCCODE,A,X
z______ITEMEXP, 2 ,PK found,ITEM_NUMBER_____IEITEM,    51 357,    51 373
z______ITEMLIST," 44,827 ",PK found,ITEM_NUMBER_____IMITEM,01001,UWCTP
z______POHSTDET," 9,589 ",PK found,P/O_Receiving_Batch/Register_Seq_Number_____BDBTCH,    10 519,    20 353
z______POHSTHDR," 9,589 ",PK found,P/O_Receiving_Batch/Register_Seq_Number_____BHBTCH,    10 519,    20 353
z______USEDSEQ," 206,158 ",PK found,TAG_NUMBER_NUMERIC_____UBSEQ7,    100 000,    99 999
z_A/P_Check_Reconcilement_file_____APCHKR, 10 ,PK found,Check#_____PRCHCK,    10 000,    9 993
z_A/P_Check_Register_Work_File_____APWK856, 1 ,PK found,COMPANY_NUMBER_____WHCOMP,     1,     1
z_A/P_Debit_Header_File_____APDEBH, 79 ,PK found,Debit_Memo_Number_____V1DEB#,    100 101,    100 182
z_A/P_Debit_Memo_Print_Workfile_-_Header_____DBHWRK, 79 ,PK found,Debit_Memo_Number_____WHDEB#,    100 101,    100 182
z_A/P_EDI_transaction_selection_____APEDITR, 202 ,PK found,Vendor_____EDVEND,     1,     905
z_A/P_Handling_Code_File_____APHCOD, 2 ,PK found,Payment_Handling_Code_____ABHCOD,OD,US
z_A/P_Inventory_Reconciliation_File_____APINV," 9,876 ",PK found,TIME_STAMP_____VISTMP,  100 005 042 624,  95 958 123 124
z_A/P_Processor_Voucher_Data_File_____APPRC, 159 ,PK found,A/P_Invoice#_____VAINV#,    4 206,5010HOU0020768
z_A/P_Vendor_History_Exchange_File_____APVHEXC, 4 ,PK found,Vendor_Number_____VHCVND,     276,     870
z_A/P_Void_File_-_(Checks_to_be_voided)_____APVOID, 316 ,PK found,From_Check_____VVCHKF,    10 000,   99 100 720
z_A/R_Customer_Contact_Code_____CONTCODE, 12 ,PK found,Contact_Type_____CCCTYP,A,Y
z_A/R_Lock_Box_Code_File_____ARLOCK, 8 ,PK found,LOCK_BOX_CODE_____C6CODE,     1,     99
z_A/R_-to-_Frt/Claim_Xref_____FCXREF, 571 ,PK found,Vendor#_____XRVNDR,     104,     905
z_Additional_Charge_Code_File_____ADDCHRG, 32 ,PK found,Additional_Charge_Code_____ACACCD,     232,WRF
z_Additional_Charge_Federal_Tax_File_____ADDCFTAX, 4 ,PK found,Additional_Charge_Code_____AXFCCD,CHR,TES
z_Additional_Charge_Provincial_Tax_File_____ADDCPTAX, 3 ,PK found,Additional_Charge_Code_____AXPCCD,CHR,TES
z_AR/Customer_History_Exchange_File_____ARCHEXC, 272 ,PK found,Customer_Number_____AXCUST,    1 000,     996
z_Bank_Disbursement_Master_____APBANKCD, 8 ,PK found,AP_Disbursement_Code_____ABBCDE,     1,     8
z_Barcode_Checks_____BCCHECKS, 99 ,PK found,Employee#_____BCEMPL,ABYRD     ,ZLUMSDEN  
z_Bookings_Information_file_____BOOKINF, 9 ,PK found,Item_Class_____BKCLS3,ABH,SBH
z_Buyer_File_____BUYER, 14 ,PK found,Buyer_____BBUY#,     1,     5
z_Chemical_Analysis_____CHEMTAGM, 8 ,PK found,CHEM_SCREEN_MASK__NUMBER_____HTCHSM,     1,     8
z_Country_File_____COUNTRY, 171 ,PK found,Country_____CYCTRY,A  ,ZW 
z_Credit_Analyst_File_____CRANAL, 5 ,PK found,Credit_Analyst_Number_____CACANO,     1,     6
z_Credit_Application_History_File_____CRAPLHIS, 33 ,PK found,CUSTOMER_NUMBER_____AHCUST,     125,     892
z_Credit_Memo_Header_File_____CRHEADER," 5,450 ",PK found,CREDIT_MEMO_NUMBER_____CRHORD,    812 278,    971 341
z_Credit_Memo_Major_Reason_Code_File_____CMMAJOR, 8 ,PK found,Major_Reason_Code_Description_____MJDESC,ADMINISTRATION      ,WAREHOUSE           
z_Credit_Memo_Major_Reason_Code_File_____CMMINOR, 17 ,PK found,Minor_Reason_Code_____MNCODE, ,T
z_Credit-Held_Order_Release_File_____OECRRELS," 48,601 ",PK found,ORDER_NUMBER_____ORORDR,    800 977,    971 387
z_Currency_Code_____CURRCODE, 2 ,PK found,Currency_Code_____CNCODE,CAD,USD
z_Customer_A/R_Information_____ARINFO, 309 ,PK found,A/R_Customer_Number_____C8CUST,     ,     994
z_Customer_Collection_Comments_____COLCMT, 2 ,PK found,CUSTOMER_NUMBER_____C9CUST,     568,     638
z_Customer_Invoice_Address_File_____CUSINVAD," 1,278 ",PK found,CUSTOMER_NUMBER_____CICUST,     1,    99 999
z_Customer_Master_Add_Code_File_____CUSTADD, 7 ,PK found,Customer_Add_Code_____CDCACD,A,Y
z_Customer_Master_File_____ARCUST," 1,278 ",PK found,CUSTOMER_NUMBER_____CCUST,     1,    99 999
z_Customer_Master_File_____ARCUST_B4, 438 ,PK found,CUSTOMER_NUMBER_____CCUST,     1,    99 999
z_Customer_Master_File_____MWARCUST, 980 ,PK found,CUSTOMER_NUMBER_____CCUST,     1,    99 999
z_Customer_Master_History_File_____ARCUSHST," 1,279 ",PK found,CUSTOMER_NUMBER_____CHCUST,     ,    99 999
z_Customer_Number_for_TS_to_be_01_____ARCUST_01, 383 ,PK found,CUSTOMER_NUMBER_____CCUST01,     1,    99 999
z_Customer_Number_for_TS_to_be_40_____ARCUST_40, 55 ,PK found,CUSTOMER_NUMBER_____CCUST40,     107,     552
z_Customer_Parent_File_____CUSTPARN, 8 ,PK found,Cust_Parent_Code_____CPCODE,AIT ,WTHA
z_Customer_Part_Number_Cross_Reference_____PARTXRF, 28 ,PK found,CUSTOMER_PART_NUMBER_____IPPART,102665(MAT10-6.00X4.00)  ,RS0825001                
z_Customer_Price_Class_File_____CUSPRCLS, 3 ,PK found,Customer_Price_Class_Code_____PCPRCL,01,03
z_Customer_Ship_To_Background_Information_____SHIPBCKG, 2 ,PK found,Customer_Number_____SBCUST,     264,     546
z_Cutting_Code_Header_File____quote#_1747__12/20/90_____CUTTHEAD, 383 ,PK found,Cutting_Code_____CUCTCD,ABCCUT ,YYYOSPR
z_Daily_invoicing_analysis_____WFOE895, 70 ,PK found,Order_Number_____DLORDR,    967 017,    970 996
z_Delivery_Tracking_Performance_File_____DELTRACK," 3,898 ",PK found,Transaction_#_____DPORDR,    600 082,    971 299
z_Descrepancy_Reason_Code_File_____ARREAS, 9 ,PK found,DESCREPANCY_REASON_CODE_____R1CODE,0001,DRC4
z_Discrepancy_Code_File_____ARDCRP, 12 ,PK found,DESCREPANCY_CODE_____C1CODE,*C,BB
z_District_--_Cutting_Code_Tolerances_____CUTTOLD, 377 ,PK found,CUTTING_CODE_____CFCUCD,ABCCUT ,UWROSPR
z_District_Application_Printer_File_____DISTRPRT, 2 ,PK found,OUTPUT_QUEUE_____TPOUTQ,STBADMIN  ,STBWHS1   
z_District_Class_File_____ITEMCLSD, 144 ,PK found,3_POSITION_CLASS_____IDCLAS,ABG,YYY
z_Duty_Rate_____DUTYRATE, 10 ,PK found,Shipping_Country_____DUSCTY,CAN,VRC
z_E/C_Customer_____WEBCUST, 4 ,PK found,Customer_ID_____ECCID,00001     ,STATEMENT 
z_EDI_Process_codes_from_TABLE_66_____EDITAB66, 189 ,PK found,_____EDSCOD,01,PN
z_EDICD2__--_EDI_2_position_codes_____EDICD2, 36 ,PK found,_____E2CODE,     1,     9
z_EDICD2__--_EDI_3_position_codes_____EDICD3, 395 ,PK found,_____E3CODE,     1,     996
z_EDICD2A__--_EDI_2A_position_codes_____EDICD2A, 94 ,PK found,35_POSITION_DESCRIPTION_____E2ADSC,ALLOY                              ,WELD                               
z_EDICD4__--_EDI_4_position_codes_____EDICD4, 84 ,PK found,_____E4CODE,     1,     98
z_Email_forms_____EMFORM_B4, 12 ,PK found,Program_____EFPROG,AP711CLF  ,ST651CL   
z_Employee_File_____EMPLOYE, 99 ,PK found,Employee#_____EMEMPL,ABYRD     ,ZLUMSDEN  
z_Employee_Parms_file_____EMPPARMS, 99 ,PK found,Employee#_____EPEMPL,ABYRD     ,ZLUMSDEN  
z_Employee_Quote_File_____EMPQUOTE, 99 ,PK found,Employee#_____EQEMPL,ABYRD     ,ZLUMSDEN  
z_Empoyee_validation/password_____EMPVALID, 21 ,PK found,Employee#_____EMEMPL,ACRUZ     ,ZLUMSDEN  
z_Fast_Path_Key_-_used_to_determine_fields_used_____FASTPKEY, 10 ,PK found,DESC_____FPDESC,Alloy     ,Width     
z_Forecast_Rules_partxrf_____FCPARTX, 3 ,PK found,CUST_PART#_____IPPART,108426-000003            ,R-4140C-04.250           
z_Freight_Reconciliation_File_____FRECONCL, -   ,PK found,Record_Code_____FRRECD,NULL,NULL
z_Freight_Reconciliation_File_____FRTHST, -   ,PK found,Record_Code_____FSRECD,NULL,NULL
z_G/L_Journal_Batch_Header_File_____GLJRBA," 1,406 ",PK found,Batch_Number_____GBBTCH,    1 000,     999
