SchemaName,ObjectDBName,ObjectType,TableCodeUnique,TableCode,ColumnCode,TableDescription,ColumnDescription,ColumnCount,RowCount,Queried,ColumnName,PropertyName,PropertyValue,class_desc,minor_id
mrs,z______POHSTDET,Column,,_POHSTDET,BDBOL,,Bill_of_Lading,,,,Bill_of_Lading_____BDBOL,BDBOL,Bill_of_Lading_____BDBOL,OBJECT_OR_COLUMN,109
mrs,z______POHSTDET,Column,,_POHSTDET,BDCSMO,,Company_SMO,,,,Company_SMO_____BDCSMO,BDCSMO,Company_SMO_____BDCSMO,OBJECT_OR_COLUMN,22
mrs,z______POHSTDET,Column,,_POHSTDET,BDFRV,,Freight_Vendor_Number,,,,Freight_Vendor_Number_____BDFRV,BDFRV,Freight_Vendor_Number_____BDFRV,OBJECT_OR_COLUMN,108
mrs,z_A/P_Check_Register_Work_File_____APWK856,Column,,APWK856,WHBTCH,,A/P_Batch,,,,A/P_Batch_____WHBTCH,WHBTCH,A/P_Batch_____WHBTCH,OBJECT_OR_COLUMN,7
mrs,z_A/P_Check_Register_Work_File_____APWK856,Column,,APWK856,WHTRAN,,A/P_Trans,,,,A/P_Trans_____WHTRAN,WHTRAN,A/P_Trans_____WHTRAN,OBJECT_OR_COLUMN,8
mrs,z_A/P_Debit_Detail_File_____APDEBD,Column,,APDEBD,V2BTCH,,A/P_Batch,,,,A/P_Batch_____V2BTCH,V2BTCH,A/P_Batch_____V2BTCH,OBJECT_OR_COLUMN,5
mrs,z_A/P_Debit_Detail_File_____APDEBD,Column,,APDEBD,V2TRAN,,A/P_Trans,,,,A/P_Trans_____V2TRAN,V2TRAN,A/P_Trans_____V2TRAN,OBJECT_OR_COLUMN,4
mrs,z_Country_File_____COUNTRY,Table,COUNTRY,COUNTRY,,Country_File,,20, 171 ,2,,COUNTRY,z_Country_File_____COUNTRY,OBJECT_OR_COLUMN,0
mrs,z_Credit_Comment_File_____CRCOMMNT,Table,CRCOMMNT,CRCOMMNT,,Credit_Comment_File,,19," 22,384 ",3,,CRCOMMNT,z_Credit_Comment_File_____CRCOMMNT,OBJECT_OR_COLUMN,0
mrs,z_Credit_Comment_File_____CRCOMMNT,Column,,CRCOMMNT,C7CUST,,Customer_Number,,,3,Customer_Number_____C7CUST,C7CUST,Customer_Number_____C7CUST,OBJECT_OR_COLUMN,2
mrs,z_Credit_Memo_Detail_File_____CRDETAIL,Table,CRDETAIL,CRDETAIL,,Credit_Memo_Detail_File,,29," 5,451 ",3,,CRDETAIL,z_Credit_Memo_Detail_File_____CRDETAIL,OBJECT_OR_COLUMN,0
mrs,z_Credit_Memo_Detail_File_____CRDETAIL,Column,,CRDETAIL,CRDDST,,DISTRICT_NUMBER,,,3,DISTRICT_NUMBER_____CRDDST,CRDDST,DISTRICT_NUMBER_____CRDDST,OBJECT_OR_COLUMN,3
mrs,z_Credit_Memo_Detail_File_____CRDETAIL,Column,,CRDETAIL,CRDLIN,,Main_Line#,,,3,Main_Line#_____CRDLIN,CRDLIN,Main_Line#_____CRDLIN,OBJECT_OR_COLUMN,5
mrs,z_Credit_Memo_Header_File_____CRHEADER,Table,CRHEADER,CRHEADER,,Credit_Memo_Header_File,,35," 5,449 ",3,,CRHEADER,z_Credit_Memo_Header_File_____CRHEADER,OBJECT_OR_COLUMN,0
mrs,z_Credit_Memo_Header_File_____CRHEADER,Column,,CRHEADER,CRHDST,,DISTRICT_NUMBER,,,3,DISTRICT_NUMBER_____CRHDST,CRHDST,DISTRICT_NUMBER_____CRHDST,OBJECT_OR_COLUMN,3
mrs,z_Credit_Memo_Major_Reason_Code_File_____CMMAJOR,Table,CMMAJOR,CMMAJOR,,Credit_Memo_Major_Reason_Code_File,,10, 8 ,3,,CMMAJOR,z_Credit_Memo_Major_Reason_Code_File_____CMMAJOR,OBJECT_OR_COLUMN,0
mrs,z_Credit_Memo_Major_Reason_Code_File_____CMMINOR,Table,CMMINOR,CMMINOR,,Credit_Memo_Major_Reason_Code_File,,10, 17 ,,,CMMINOR,z_Credit_Memo_Major_Reason_Code_File_____CMMINOR,OBJECT_OR_COLUMN,0
mrs,z_Customer_Class_Summary_file_MTD_____CCLSMT,Column,,CCLSMT,MCFISD,,Freight-In_Cost_Direct,,,,Freight-In_Cost_Direct_____MCFISD,MCFISD,Freight-In_Cost_Direct_____MCFISD,OBJECT_OR_COLUMN,23
mrs,z_Customer_Class_Summary_file_MTD_____CCLSMT,Column,,CCLSMT,MCFISS,,Freight-In_Cost_Stock,,,,Freight-In_Cost_Stock_____MCFISS,MCFISS,Freight-In_Cost_Stock_____MCFISS,OBJECT_OR_COLUMN,22
mrs,z_Customer_Class_Summary_file_YTD_____CCLSYT,Column,,CCLSYT,YCFISD,,Freight-In_Cost_Direct,,,,Freight-In_Cost_Direct_____YCFISD,YCFISD,Freight-In_Cost_Direct_____YCFISD,OBJECT_OR_COLUMN,22
mrs,z_Customer_Class_Summary_file_YTD_____CCLSYT,Column,,CCLSYT,YCFISS,,Freight-In_Cost_Stock,,,,Freight-In_Cost_Stock_____YCFISS,YCFISS,Freight-In_Cost_Stock_____YCFISS,OBJECT_OR_COLUMN,21
mrs,z_Customer_Master_File_____ARCUST,Table,ARCUST,ARCUST,,Customer_Master_File,,230," 1,278 ",1,,ARCUST,z_Customer_Master_File_____ARCUST,OBJECT_OR_COLUMN,0
mrs,z_Customer_Master_File_____ARCUST,Column,,ARCUST,CADDR1,,Address_1,,,3,Address_1_____CADDR1,CADDR1,Address_1_____CADDR1,OBJECT_OR_COLUMN,6
mrs,z_Customer_Master_File_____ARCUST,Column,,ARCUST,CADDR2,,Address_2,,,3,Address_2_____CADDR2,CADDR2,Address_2_____CADDR2,OBJECT_OR_COLUMN,7
mrs,z_Customer_Master_File_____ARCUST,Column,,ARCUST,CADDR3,,Address_3,,,3,Address_3_____CADDR3,CADDR3,Address_3_____CADDR3,OBJECT_OR_COLUMN,8
mrs,z_Customer_Master_File_____ARCUST,Column,,ARCUST,CCUST,,CUSTOMER_NUMBER,,,3,CUSTOMER_NUMBER_____CCUST,CCUST,CUSTOMER_NUMBER_____CCUST,OBJECT_OR_COLUMN,3
mrs,z_Customer_Ship_To_Address_File_____SHIPADR,Table,SHIPADR,SHIPADR,,Customer_Ship_To_Address_File,,107," 3,295 ",1,,SHIPADR,z_Customer_Ship_To_Address_File_____SHIPADR,OBJECT_OR_COLUMN,0
mrs,z_Customer_Ship_To_Address_File_____SHIPADR,Column,,SHIPADR,SAIDMX,,,,,3,_____SAIDMX,SAIDMX,_____SAIDMX,OBJECT_OR_COLUMN,56
mrs,z_Customer_Ship_To_Address_File_____SHIPADR,Column,,SHIPADR,SAINM,,,,,3,_____SAINM,SAINM,_____SAINM,OBJECT_OR_COLUMN,35
mrs,z_Customer_Ship_To_Address_File_____SHIPADR,Column,,SHIPADR,SAODMX,,,,,3,_____SAODMX,SAODMX,_____SAODMX,OBJECT_OR_COLUMN,55
mrs,z_Customer_Ship_To_Address_File_____SHIPADR,Column,,SHIPADR,SAOUTM,,,,,3,_____SAOUTM,SAOUTM,_____SAOUTM,OBJECT_OR_COLUMN,34
mrs,z_Customer_Ship_To_Address_File_____SHIPADR,Column,,SHIPADR,SAADR1,,Address_1,,,3,Address_1_____SAADR1,SAADR1,Address_1_____SAADR1,OBJECT_OR_COLUMN,6
mrs,z_Customer_Ship_To_Address_File_____SHIPADR,Column,,SHIPADR,SAADR2,,Address_2,,,3,Address_2_____SAADR2,SAADR2,Address_2_____SAADR2,OBJECT_OR_COLUMN,7
mrs,z_Customer_Ship_To_Address_File_____SHIPADR,Column,,SHIPADR,SAADR3,,Address_3,,,3,Address_3_____SAADR3,SAADR3,Address_3_____SAADR3,OBJECT_OR_COLUMN,8
mrs,z_Customer_Ship_To_Address_File_____SHIPADR,Column,,SHIPADR,SACUST,,CUSTOMER_NUMBER,,,3,CUSTOMER_NUMBER_____SACUST,SACUST,CUSTOMER_NUMBER_____SACUST,OBJECT_OR_COLUMN,3
mrs,z_Customer_Ship_To_Address_File_____SHIPADR,Column,,SHIPADR,SAFRTO,,Freight_To,,,,Freight_To_____SAFRTO,SAFRTO,Freight_To_____SAFRTO,OBJECT_OR_COLUMN,38
mrs,z_Customer_Ship_To_Background_Information_____SHIPBCKG,Table,SHIPBCKG,SHIPBCKG,,Customer_Ship_To_Background_Information,,14, 2 ,3,,SHIPBCKG,z_Customer_Ship_To_Background_Information_____SHIPBCKG,OBJECT_OR_COLUMN,0
mrs,z_Customer_Ship_To_Background_Information_____SHIPBCKG,Column,,SHIPBCKG,SBCUST,,Customer_Number,,,3,Customer_Number_____SBCUST,SBCUST,Customer_Number_____SBCUST,OBJECT_OR_COLUMN,3
mrs,z_Customer_Ship_To_Instruction_File_____SHPINST,Table,SHPINST,SHPINST,,Customer_Ship_To_Instruction_File,,13, 731 ,3,,SHPINST,z_Customer_Ship_To_Instruction_File_____SHPINST,OBJECT_OR_COLUMN,0
mrs,z_Customer_Ship_To_Instruction_File_____SHPINST,Column,,SHPINST,CICUST,,Customer_Number,,,3,Customer_Number_____CICUST,CICUST,Customer_Number_____CICUST,OBJECT_OR_COLUMN,3
mrs,z_Daily_invoicing_analysis_____WFOE895,Column,,WFOE895,DLGMPC,,Gross_Margin_%,,,,Gross_Margin_%_____DLGMPC,DLGMPC,Gross_Margin_%_____DLGMPC,OBJECT_OR_COLUMN,13
mrs,z_Daily_invoicing_analysis_____WFOE895,Column,,WFOE895,DLGMCS,,Gross_Margin_Cost_of_Sales,,,,Gross_Margin_Cost_of_Sales_____DLGMCS,DLGMCS,Gross_Margin_Cost_of_Sales_____DLGMCS,OBJECT_OR_COLUMN,14
mrs,z_Delivery_Tracking_Performance_File_____DELTRACK,Table,DELTRACK,DELTRACK,,Delivery_Tracking_Performance_File,,19," 3,898 ",,,DELTRACK,z_Delivery_Tracking_Performance_File_____DELTRACK,OBJECT_OR_COLUMN,0
mrs,z_Delivery_Tracking_Performance_File_____DELTRACK,Column,,DELTRACK,DPACTM,,,,,,_____DPACTM,DPACTM,_____DPACTM,OBJECT_OR_COLUMN,16
mrs,z_Delivery_Tracking_Performance_File_____DELTRACK,Column,,DELTRACK,DPECTM,,,,,,_____DPECTM,DPECTM,_____DPECTM,OBJECT_OR_COLUMN,11
mrs,z_Delivery_Tracking_Performance_File_____DELTRACK,Column,,DELTRACK,DPTRCD,,,,,,_____DPTRCD,DPTRCD,_____DPTRCD,OBJECT_OR_COLUMN,6
mrs,z_Delivery_Tracking_Performance_File_____DELTRACK,Column,,DELTRACK,DPCUST,,CUSTOMER_NUMBER,,,,CUSTOMER_NUMBER_____DPCUST,DPCUST,CUSTOMER_NUMBER_____DPCUST,OBJECT_OR_COLUMN,2
mrs,z_Delivery_Tracking_Performance_File_____DELTRACK,Column,,DELTRACK,DPCDIS,,DISTRICT_NUMBER,,,,DISTRICT_NUMBER_____DPCDIS,DPCDIS,DISTRICT_NUMBER_____DPCDIS,OBJECT_OR_COLUMN,1
mrs,z_Delivery_Tracking_Performance_File_____DELTRACK,Column,,DELTRACK,DPOLIN,,Main_Line#,,,,Main_Line#_____DPOLIN,DPOLIN,Main_Line#_____DPOLIN,OBJECT_OR_COLUMN,5
mrs,z_Delivery_Tracking_Performance_File_____DELTRACK,Column,,DELTRACK,DPRTYP,,Order_Type,,,,Order_Type_____DPRTYP,DPRTYP,Order_Type_____DPRTYP,OBJECT_OR_COLUMN,19
mrs,z_Freight_Reconciliation_File_____FRECONCL,Table,FRECONCL,FRECONCL,,Freight_Reconciliation_File,,20, 6 ,2,,FRECONCL,z_Freight_Reconciliation_File_____FRECONCL,OBJECT_OR_COLUMN,0
mrs,z_Freight_Reconciliation_File_____FRTHST,Table,FRTHST,FRTHST,,Freight_Reconciliation_File,,26, 6 ,2,,FRTHST,z_Freight_Reconciliation_File_____FRTHST,OBJECT_OR_COLUMN,0
mrs,z_Freight_Reconciliation_File_____FRTHST,Column,,FRTHST,FSBTCH,,A/P_Batch,,,,A/P_Batch_____FSBTCH,FSBTCH,A/P_Batch_____FSBTCH,OBJECT_OR_COLUMN,14
mrs,z_Freight_Reconciliation_File_____FRTHST,Column,,FRTHST,FSSEQ,,A/P_Seq#,,,,A/P_Seq#_____FSSEQ,FSSEQ,A/P_Seq#_____FSSEQ,OBJECT_OR_COLUMN,16
mrs,z_Freight_Reconciliation_File_____FRTHST,Column,,FRTHST,FSTRAN,,A/P_Tran,,,,A/P_Tran_____FSTRAN,FSTRAN,A/P_Tran_____FSTRAN,OBJECT_OR_COLUMN,15
mrs,z_Freight_Reconciliation_File_____FRTHST,Column,,FRTHST,FSBOL,,Bill_of_Lading,,,,Bill_of_Lading_____FSBOL,FSBOL,Bill_of_Lading_____FSBOL,OBJECT_OR_COLUMN,4
mrs,z_G/L_Journal_Batch_Header_File_____GLJRBA,Column,,GLJRBA,GBBAMT,,Batch_AMOUNT,,,,Batch_AMOUNT_____GBBAMT,GBBAMT,Batch_AMOUNT_____GBBAMT,OBJECT_OR_COLUMN,4
mrs,z_General_Ledger_Account_file_____GLACCT,Table,GLACCT,GLACCT,,General_Ledger_Account_file,,33, 258 ,1,,GLACCT,z_General_Ledger_Account_file_____GLACCT,OBJECT_OR_COLUMN,0
mrs,z_General_Ledger_Master_File_____GLMAST,Table,GLMAST,GLMAST,,General_Ledger_Master_File,,100, 258 ,1,,GLMAST,z_General_Ledger_Master_File_____GLMAST,OBJECT_OR_COLUMN,0
mrs,z_General_Ledger_Master_File_____GLMAST,Column,,GLMAST,GMDIST,,District_Number,,,,District_Number_____GMDIST,GMDIST,District_Number_____GMDIST,OBJECT_OR_COLUMN,4
mrs,z_General_Ledger_Transaction_File_____GLTRANS,Table,GLTRANS,GLTRANS,,General_Ledger_Transaction_File,,43," 2,943,694 ",1,,GLTRANS,z_General_Ledger_Transaction_File_____GLTRANS,OBJECT_OR_COLUMN,0
mrs,z_General_Ledger_Transaction_File_____GLTRANS,Column,,GLTRANS,GLAPTR,,A/P_Trans,,,,A/P_Trans_____GLAPTR,GLAPTR,A/P_Trans_____GLAPTR,OBJECT_OR_COLUMN,37
mrs,z_General_Ledger_Transaction_File_____GLTRANS,Column,,GLTRANS,GLBTCH,,Batch_Number,,,,Batch_Number_____GLBTCH,GLBTCH,Batch_Number_____GLBTCH,OBJECT_OR_COLUMN,20
mrs,z_General_Ledger_Transaction_File_____GLTRANS,Column,,GLTRANS,GLCDIS,,Cust_Dist,,,,Cust_Dist_____GLCDIS,GLCDIS,Cust_Dist_____GLCDIS,OBJECT_OR_COLUMN,35
mrs,z_General_Ledger_Transaction_File_____GLTRANS,Column,,GLTRANS,GLCUST,,CUSTOMER_NUMBER,,,,CUSTOMER_NUMBER_____GLCUST,GLCUST,CUSTOMER_NUMBER_____GLCUST,OBJECT_OR_COLUMN,36
mrs,z_General_Ledger_Transaction_File_____GLTRANS,Column,,GLTRANS,GLDIST,,District_Number,,,,District_Number_____GLDIST,GLDIST,District_Number_____GLDIST,OBJECT_OR_COLUMN,3
mrs,z_General_Ledger_Transaction_File_____GLTRANS,Column,,GLTRANS,GLTYPE,,Order_Type,,,,Order_Type_____GLTYPE,GLTYPE,Order_Type_____GLTYPE,OBJECT_OR_COLUMN,31
mrs,z_IATRANS_-_History_(Save_Batch)_____IATRANHS,Table,IATRANHS,IATRANHS,,IATRANS_-_History_(Save_Batch),,67," 492,791 ",,,IATRANHS,z_IATRANS_-_History_(Save_Batch)_____IATRANHS,OBJECT_OR_COLUMN,0
mrs,z_IATRANS_-_History_(Save_Batch)_____IATRANHS,Column,,IATRANHS,IABAT#,,Batch_Number,,,,Batch_Number_____IABAT#,IABAT#,Batch_Number_____IABAT#,OBJECT_OR_COLUMN,4
mrs,z_IATRANS_-_History_(Save_Batch)_____IATRANHS,Column,,IATRANHS,IABOL,,Bill_of_Lading,,,,Bill_of_Lading_____IABOL,IABOL,Bill_of_Lading_____IABOL,OBJECT_OR_COLUMN,57
mrs,z_IATRANS_-_History_(Save_Batch)_____IATRANHS,Column,,IATRANHS,IACAR#,,Carrier#,,,,Carrier#_____IACAR#,IACAR#,Carrier#_____IACAR#,OBJECT_OR_COLUMN,30
mrs,z_IATRANS_-_History_(Save_Batch)_____IATRANHS,Column,,IATRANHS,IADIST,,DISTRICT_NUMBER,,,,DISTRICT_NUMBER_____IADIST,IADIST,DISTRICT_NUMBER_____IADIST,OBJECT_OR_COLUMN,3
mrs,z_IATRANS_-_History_(Save_Batch)_____IATRANHS,Column,,IATRANHS,IAPODI,,DISTRICT_NUMBER,,,,DISTRICT_NUMBER_____IAPODI,IAPODI,DISTRICT_NUMBER_____IAPODI,OBJECT_OR_COLUMN,11
mrs,z_IATRANS_-_History_(Save_Batch)_____IATRANHS,Column,,IATRANHS,IAPOLN,,Main_Line#,,,,Main_Line#_____IAPOLN,IAPOLN,Main_Line#_____IAPOLN,OBJECT_OR_COLUMN,13
mrs,z_IATRANS_-_Inventory_Adj_Transactions_____IATRANS,Table,IATRANS,IATRANS,,IATRANS_-_Inventory_Adj_Transactions,,67, 27 ,2,,IATRANS,z_IATRANS_-_Inventory_Adj_Transactions_____IATRANS,OBJECT_OR_COLUMN,0
mrs,z_IATRANS_-_Inventory_Adj_Transactions_____IATRANS,Column,,IATRANS,IABAT#,,Batch_Number,,,,Batch_Number_____IABAT#,IABAT#,Batch_Number_____IABAT#,OBJECT_OR_COLUMN,4
mrs,z_IATRANS_-_Inventory_Adj_Transactions_____IATRANS,Column,,IATRANS,IABOL,,Bill_of_Lading,,,,Bill_of_Lading_____IABOL,IABOL,Bill_of_Lading_____IABOL,OBJECT_OR_COLUMN,57
mrs,z_IATRANS_-_Inventory_Adj_Transactions_____IATRANS,Column,,IATRANS,IACAR#,,Carrier#,,,,Carrier#_____IACAR#,IACAR#,Carrier#_____IACAR#,OBJECT_OR_COLUMN,30
mrs,z_IATRANS_-_Inventory_Adj_Transactions_____IATRANS,Column,,IATRANS,IADIST,,DISTRICT_NUMBER,,,,DISTRICT_NUMBER_____IADIST,IADIST,DISTRICT_NUMBER_____IADIST,OBJECT_OR_COLUMN,3
