TableName,Column3,TableCode,Rowcount,Prefix1,Suffix1,suffix2,suffix3,InferredName
z_Output_file_for_DSPFD_TYPE(*MBRLIST)_____$DSPFDA, ,$DSPFDA,1496,,,,,
z_Vendor_ACH_Bank_Info_____ACHINFO, ,ACHINFO,199,ACH,INFO,,,vendor ACH Info
z_Additional_Charge_Federal_Tax_File_____ADDCFTAX, ,ADDCFTAX,4,ADD,C,F,TAX,ADDitional CHaRGe Federal TAX file
z_Additional_Charge_Code_File_____ADDCHRG, ,ADDCHRG,32,ADD,CHRG,,,ADDitional CHaRGe
z_Additional_Charge_Provincial_Tax_File_____ADDCPTAX, ,ADDCPTAX,3,ADD,C,P,TAX,ADDitional Charge Provincial Tax
z_Additional_Charge_Transaction_File_____ADDCTRAN, ,ADDCTRAN,33,ADD,C,TRAN,,Additional Charge Transaction
z_AP_Discrepancy_file_-_AP801_report_____AP801WF, ,AP801WF,166,AP,801,WF,,AccountsPayable 801 WorkFile
z_AP_Discrepancy_file_-_AP803_report_____AP803WF, ,AP803WF,789,AP,803,WF,,AccountsPayable 803 WorkFile
z_Bank_Disbursement_Master_____APBANKCD, ,APBANKCD,8,AP,BANK,CD,,AccountsPayable BANK CoDe
z_A/P_Check_History_____APCHKH, ,APCHKH,27057,AP,CHK,H,,AccountsPayable CHecKHistory
z_A/P_Check_Reconcilement_file_____APCHKR, ,APCHKR,10,AP,CHK,R,,AccountsPayable CHecK Reconcilement
z_A/P_Debit_Detail_File_____APDEBD, ,APDEBD,81,AP,DEB,D,,AccountsPayable Debit Detail
z_A/P_Debit_Header_File_____APDEBH, ,APDEBH,79,AP,DEB,H,,AccountsPayable Debit Header
z_A/P_G/L_Distribution_File_____APDIST, ,APDIST,165535,AP,DIST,,,AccountsPayable Distribution
z_A/P_EDI_transaction_selection_____APEDITR, ,APEDITR,202,AP,EDI,TR,,AccountsPayable EDI Transaction
z_A/P_Handling_Code_File_____APHCOD, ,APHCOD,2,AP,H,COD,,AccountsPayable Handling CODe
z_A/P_History_____APHIST, ,APHIST,152136,AP,HIST,,,AccountsPayable History
z_A/P_Inventory_Reconciliation_File_____APINV, ,APINV,9876,AP,INV,C,,AccountsPayable Inventory
z_A/P_Open_Payable_File_____APOPEN, ,APOPEN,151611,AP,OPEN,,,AccountsPayable Open
z_A/P_Processor_Voucher_Data_File_____APPRC, ,APPRC,159,AP,PRC,,,AccountsPayable Processor
z_Vendor_Master_File_____APVEND, ,APVEND,730,AP,VEND,,,AccountsPayable Vendor
z_A/P_Vendor_History_Exchange_File_____APVHEXC, ,APVHEXC,4,AP,V,H,EXC,AccountsPayableHistoryExchange
z_Vendor_Master_History_File_____APVNDHST, ,APVNDHST,731,AP,VND,HST,,AccountsPayableVendorHistory
z_A/P_Void_File_-_(Checks_to_be_voided)_____APVOID, ,APVOID,316,AP,VOID,,,AccountsPayable Void
z_A/P_Check_Register_Work_File_____APWK856, ,APWK856,1,AP,WK,856,,AccountsPayable WorkFile
z_AR_Profile_BOL_comments_____ARBOLCM, ,ARBOLCM,8,AR,BOL,CM,,AccountsReceivable BillOfLading Comments
z_A/R_Batch_Header_for_A/R_Detail_File_____ARBTCH, ,ARBTCH,20319,AR,BTCH,,,AccountsReceivable Batch Header
z_A/R_Cash_Receipts_____ARCASH, ,ARCASH,46261,AR,CASH,,,AccountsReceivable Cash
z_AR/Customer_History_Exchange_File_____ARCHEXC, ,ARCHEXC,272,AR,C,H,EXC,AccountsReceivable Customer History Exchange
z_Changed_Customer_Log_____ARCUSCHG, ,ARCUSCHG,4097,AR,CUS,CHG,,AccountsReceivable Customer Change
z_Customer_Master_History_File_____ARCUSHST, ,ARCUSHST,1279,AR,CUS,HST,,AccountsReceivable Customer History
z_Customer_Master_File_____ARCUST, ,ARCUST,1278,AR,CUST,,,AccountsReceivable Customer
z_Customer_Number_for_TS_to_be_01_____ARCUST_01, ,ARCUST_01,383,AR,CUST,1,,AccountsReceivable Customer
z_Customer_Number_for_TS_to_be_40_____ARCUST_40, ,ARCUST_40,55,AR,CUST,40,,AccountsReceivable Customer 40
z_Customer_Master_File_____ARCUST_B4, ,ARCUST_B4,438,AR,CUST,B4,,AccountsReceivable Customer B4
z_Year_End_Summary_of_ARCUSHST_____ARCUSYEH, ,ARCUSYEH,6342,AR,CUS,YE,H,AccountsReceivable Customer YearEnd History
z_Discrepancy_Code_File_____ARDCRP, ,ARDCRP,12,AR,DCRP,,,AccountsReceivable Discrepancy
z_A/R_Detail_File_____ARDETAL, ,ARDETAL,147862,AR,DETAL,,,AccountsReceivable Detail
z_Additional_Charge_Reconciliation_File_____ARECONCL, ,ARECONCL,193,AR,ECONCL,,,AccountsReceivable rEconciliation
z_A/R_Cash_Receipts_G/L_Entries_____ARGLTR, ,ARGLTR,340700,AR,GL,TR,,AccountsReceivable GeneralLedger Transaction
z_Customer_A/R_Information_____ARINFO, ,ARINFO,309,AR,INFO,,,AccountsReceivable Info
z_A/R_Lock_Box_Code_File_____ARLOCK, ,ARLOCK,8,AR,LOCK,,,AccountsReceivable Lock
z_A/R_Paymnt_Hst--Key_=_dist/cust/yy/mm_____ARPAYHST, ,ARPAYHST,90559,AR,PAY,HST,,AccountsReceivable Paymet History
z_Descrepancy_Reason_Code_File_____ARREAS, ,ARREAS,9,AR,REAS,,,AccountsReceivable Reason
z_Barcode_Checks_____BCCHECKS, ,BCCHECKS,99,BC,CHECKS,,,BarCode Checks
z_BDSEPR_-_Buyout_Override_info_____BDSEPR, ,BDSEPR,9667,BD,SEPR,,,BD SEPR
z_BDSEPR_-_Buyout_Override_info_____BDSEPRBH, ,BDSEPRBH,148,BD,SEPR,BH,,BD SEPR Buyout History
z_Billing_Days:_YTD/MTD_Accumulator_____BILLDAYS, ,BILLDAYS,7,BILLDAYS,BILLDAYS,,,Billing Days
z_Bookings_Information_file_____BOOKINF, ,BOOKINF,9,BOOK,BOOKINF,,,Booking Information
z_Buyer_File_____BUYER, ,BUYER,14,BUYER,,,,Buyer
z_System_Calendar_File_____CALENDAR, ,CALENDAR,192,CALENDAR,,,,Calendar
z_Customer_Class_Summary_file_MTD_____CCLSMT, ,CCLSMT,35540,C,CLS,MT,,Customer Class MonthToDate
z_Customer_Class_Summary_file_YTD_____CCLSYT, ,CCLSYT,9909,C,CLS,YT,,CustomerClassYearToDate
z_Chemical_Analysis_____CHEMTAGM, ,CHEMTAGM,8,CHEM,TAG,M,,Chemicalanalysis TAG M
z_Charge_History_File_____CHGHST, ,CHGHST,68458,CHG,HST,,,Charge History
z_Credit_Memo_Major_Reason_Code_File_____CMMAJOR, ,CMMAJOR,8,CM,MAJOR,,,CreditMemo Major
z_Credit_Memo_Major_Reason_Code_File_____CMMINOR, ,CMMINOR,17,CM,MINOR,,,CreditMemo Minor
z_Customer_Collection_Comments_____COLCMT, ,COLCMT,2,COL,CMT,,,Collection Comment
z_Company_Standard_Mill_Order_File_(SMO)_____COMPSMO, ,COMPSMO,287,COMP,SMO,,,Company StandardMillOrder
z_A/R_Customer_Contact_Code_____CONTCODE, ,CONTCODE,12,CONT,CODE,,,Contact Code
z_Country_File_____COUNTRY, ,COUNTRY,171,COUNTRY,,,,Country
z_Credit_Analyst_File_____CRANAL, ,CRANAL,5,CR,Anal,,,Credit Analysis
z_Credit_Application_History_File_____CRAPLHIS, ,CRAPLHIS,33,CR,AP,HIS,,Credit Application History
z_Credit_Comment_File_____CRCOMMNT, ,CRCOMMNT,22384,CR,COMMNT,,,Credit Comment
z_Credit_Memo_Detail_File_____CRDETAIL, ,CRDETAIL,5452,CR,DETAIL,,,Credit Detail
z_Credit_Memo_Header_File_____CRHEADER, ,CRHEADER,5450,CR,HEADER,,,Credit Header
z_A/R_History_File_____CRHIST, ,CRHIST,148980,CR,HIST,,,Credit History
z_Currency_Code_____CURRCODE, ,CURRCODE,2,CURR,CODE,,,Currency Code
z_Customer_Invoice_Address_File_____CUSINVAD, ,CUSINVAD,1278,CUS,INV,AD,,CUStomer INVoice ADdress
z_Customer_Price_Class_File_____CUSPRCLS, ,CUSPRCLS,3,CUS,PR,CLS,,Customer Price Class
z_Customer_Master_Add_Code_File_____CUSTADD, ,CUSTADD,7,CUST,ADD,,,Customer Add code
z_Customer_Parent_File_____CUSTPARN, ,CUSTPARN,8,CUST,PARN,,,Customer Parent
z_Cutting_Code_Header_File____quote#_1747__12/20/90_____CUTTHEAD, ,CUTTHEAD,383,CUTT,HEAD,,,CuttingCode Header
z_Cutting_Code_Matrix_File   _quote#_1747__12/20/90_____CUTTMTX, ,CUTTMTX,640,CUTT,MTX,,,CuttingCode Matrix
z_District_--_Cutting_Code_Tolerances_____CUTTOLD, ,CUTTOLD,377,,,,,
z_A/P_Debit_Memo_Print_Workfile_-_Detail_____DBDWRK, ,DBDWRK,81,,,,,
z_A/P_Debit_Memo_Print_Workfile_-_Header_____DBHWRK, ,DBHWRK,79,,,,,
z_Delivery_Tracking_Performance_File_____DELTRACK, ,DELTRACK,3898,,,,,
z_District_Application_Printer_File_____DISTRAFF, ,DISTRAFF,329,,,,,
z_District_Application_Printer_File_____DISTRPRT, ,DISTRPRT,2,,,,,
z_Query_Builder_Physical_File_____DPPFFD, ,DPPFFD,922,,,,,
z_Duty_Rate_____DUTYRATE, ,DUTYRATE,10,,,,,
z_EDICD1__--_EDI_1_position_codes_____EDICD1, ,EDICD1,40,,,,,
z_EDICD2__--_EDI_2_position_codes_____EDICD2, ,EDICD2,36,,,,,
z_EDICD2A__--_EDI_2A_position_codes_____EDICD2A, ,EDICD2A,94,,,,,
z_EDICD2__--_EDI_3_position_codes_____EDICD3, ,EDICD3,395,,,,,
z_EDICD4__--_EDI_4_position_codes_____EDICD4, ,EDICD4,84,,,,,
z_EDI_Process_codes_from_TABLE_66_____EDITAB66, ,EDITAB66,189,,,,,
z_E-Mail_additional_copies_____EMADDTL, ,EMADDTL,177,,,,,
z_MW_Email_Log_File_____EMAILLOG, ,EMAILLOG,7338,,,,,
z_MW_Emall_Type_File_____EMAILTYPE, ,EMAILTYPE,21,,,,,
z_Email_forms_____EMFORM, ,EMFORM,48,,,,,
z_Email_forms_____EMFORM_B4, ,EMFORM_B4,12,,,,,
z_Last_Day_of_Period_File_____EMLSTDAY, ,EMLSTDAY,130,,,,,
z_Employee_File_____EMPLOYE, ,EMPLOYE,99,,,,,
z_Employee_Parms_file_____EMPPARMS, ,EMPPARMS,99,,,,,
z_Employee_Quote_File_____EMPQUOTE, ,EMPQUOTE,99,,,,,
z_Empoyee_validation/password_____EMPVALID, ,EMPVALID,21,,,,,
z_Industry_End_Use_Code_File_____ENDUSE, ,ENDUSE,139,,,,,
z_Currency_Exchange_File_____EXCHANGE, ,EXCHANGE,2336,,,,,
z_Currency_Exchange_Transation_File_____EXHTRANS, ,EXHTRANS,44326,,,,,
z_Fast_Path_Description_File_____FASTPATH, ,FASTPATH,5443,,,,,
z_Fast_Path_Key_-_used_to_determine_fields_used_____FASTPKEY, ,FASTPKEY,10,,,,,
z_Forecast_Rules_partxrf_____FCPARTX, ,FCPARTX,3,,,,,
z_A/R_-to-_Frt/Claim_Xref_____FCXREF, ,FCXREF,571,,,,,
z_Daily_Flash_Reconciliation_____FLASHINV, ,FLASHINV,2998,,,,,
z_Daily_Flash_Report_____FLASHRPT, ,FLASHRPT,40464,,,,,
z_Fraction/Decimal_Control_File_____FRACDEC, ,FRACDEC,120,,,,,
z_Freight_Reconciliation_File_____FRECONCL, ,FRECONCL,0,,,,,
z_Freight_Reconciliation_File_____FRTHST, ,FRTHST,0,,,,,
z_Generic_CPA_File_____GENCPA, ,GENCPA,42,,,,,
z_General_Ledger_Account_file_____GLACCT, ,GLACCT,258,,,,,
z_mp_debits/credits_from_gl_trans_file_____GLDEBCRED, ,GLDEBCRED,1658,,,,,
z_G/L_Journal_Batch_Header_File_____GLJRBA, ,GLJRBA,1406,,,,,
z_G/L_Journal_Detail_File_____GLJRDT, ,GLJRDT,17036,,,,,
z_G/L_Journal_Header_File_____GLJRHD, ,GLJRHD,2474,,,,,
z_G/L_Major_Heading_file_____GLMAJHD, ,GLMAJHD,28,,,,,
z_General_Ledger_Master_File_____GLMAST, ,GLMAST,258,,,,,
z_General_Ledger_Master_File_-_HISTORY_____GLMASTHST, ,GLMASTHST,1508,,,,,
z_General_Ledger_Report_File_____GLRPTF, ,GLRPTF,109,,,,,
z_General_Ledger_Transaction_File_____GLTRANS, ,GLTRANS,2944807,,,,,
z_IATRANS_-_History_(Save_Batch)_____IATRANHS, ,IATRANHS,493031,,,,,
z_IATRANS_-_Inventory_Adj_Transactions_____IATRANS, ,IATRANS,27,,,,,
z_IC011_Filing_exceptions_____IC011SLSP, ,IC011SLSP,353,,,,,
z_Image_PDF_____IMAGEPDF, ,IMAGEPDF,108347,,,,,
z_Image_PDF_____IMAGEPDFB4, ,IMAGEPDFB4,494,,,,,
z_Image_Index_Criteria_Control_File_____IMGINDX, ,IMGINDX,13,,,,,
z_Image_Index_Available_Fields_with_Descriptions_____IMGPFDS, ,IMGPFDS,42,,,,,
z_Inventory_Mill_File_____INVMILL, ,INVMILL,74,,,,,
z_Inventory_Reconciliation_File_____IRECONCL, ,IRECONCL,26,,,,,
z_Item_Master_File_____ITEMBG, ,ITEMBG,1781,,,,,
z_One_Position_Item_Class_File_____ITEMCLS1, ,ITEMCLS1,16,,,,,
z_Two_Position_Item_Class_File_____ITEMCLS2, ,ITEMCLS2,69,,,,,
z_Three_Position_Item_Class_File_____ITEMCLS3, ,ITEMCLS3,172,,,,,
z_District_Class_File_____ITEMCLSD, ,ITEMCLSD,144,,,,,
z_Item_Hist_Comments_(From_IA_Only)_____ITEMHCMT, ,ITEMHCMT,106616,,,,,
z_Item_Transaction_History_____ITEMHIST, ,ITEMHIST,722325,,,,,
z_Item_Master_File_____ITEMMAST, ,ITEMMAST,2613,,,,,
z_Item_Master_File_____ITEMMASTXX, ,ITEMMASTXX,30170,,,,,
z_MAP_Level_Code_File_____ITEMMPLV, ,ITEMMPLV,5,,,,,
z_Item_on_hand_comment_file_____ITEMONCM, ,ITEMONCM,1079,,,,,
z_Item_on_Hand_File_____ITEMONHD, ,ITEMONHD,2612,,,,,
z_Item_on_Hand_File_____ITEMONHDXX, ,ITEMONHDXX,10234,,,,,
z_Item_on_Hand_Summary_File_____ITEMONSU, ,ITEMONSU,28,,,,,
z_Item_Summary_-_Begin_Remote_Inventory_Balance_____ITEMRMT, ,ITEMRMT,59062,,,,,
z_Base_Item_Description_List_____ITEMS, ,ITEMS,134053,,,,,
z_Item_Summary_MTD-Inventory_reports_____ITEMSMT, ,ITEMSMT,179635,,,,,
z_Item_Summary_YTD-Inventory_reports_____ITEMSYT, ,ITEMSYT,19369,,,,,
z_Tag_Master_File_____ITEMTAG, ,ITEMTAG,289140,,,,,
z_Tag_Master_File_____ITEMTAGB4, ,ITEMTAGB4,238501,,,,,
z_Tag_Master_File_____ITEMTAGLAH, ,ITEMTAGLAH,238502,,,,,
z_Tag_Process_History_File_____ITEMTPHS, ,ITEMTPHS,7100,,,,,
z_Itemtrif_-_Item_Tariff_File_____ITEMTRIF, ,ITEMTRIF,263,,,,,
z_Item_Tag_User_Defined_fields_____ITEMTUD, ,ITEMTUD,196770,,,,,
z_line_comment_changes_____LINECCHG, ,LINECCHG,13320,,,,,
z_Line_Related_Comments_____LINECMNT, ,LINECMNT,933555,,,,,
z_Line_Comment_Code_Constants_____LINECNST, ,LINECNST,14,,,,,
z_List_/_Heat_Number_____LISTHEAT, ,LISTHEAT,19662,,,,,
z_Machine_File_____MACHINE, ,MACHINE,2,,,,,
