ITEMEXP,z______ITEMEXP,2,2,2,2,2
DBHWRK,z_A/P_Debit_Memo_Print_Workfile_-_Header_____DBHWRK,79,0,79,79,79
APDEBH,z_A/P_Debit_Header_File_____APDEBH,79,0,79,79,79
CLIMITA,z_***_remove_next_rel_____CLIMITA,236,0,236,236,236
APDEBD,z_A/P_Debit_Detail_File_____APDEBD,81,0,81,81,81
DBDWRK,z_A/P_Debit_Memo_Print_Workfile_-_Detail_____DBDWRK,81,0,81,81,81
APPRC,z_A/P_Processor_Voucher_Data_File_____APPRC,148,0,148,148,148
ITEMEXP,z______ITEMEXP,2,2,2,2,2
DBHWRK,z_A/P_Debit_Memo_Print_Workfile_-_Header_____DBHWRK,79,79,79,79,79
APDEBH,z_A/P_Debit_Header_File_____APDEBH,79,79,79,79,79
CLIMITA,z_***_remove_next_rel_____CLIMITA,236,236,236,236,236
DBDWRK,z_A/P_Debit_Memo_Print_Workfile_-_Detail_____DBDWRK,81,81,81,81,81
APDEBD,z_A/P_Debit_Detail_File_____APDEBD,81,81,81,81,81
ITEMEXP,z______ITEMEXP,2,2,2,2,2
DBHWRK,z_A/P_Debit_Memo_Print_Workfile_-_Header_____DBHWRK,79,79,79,79,79
APDEBH,z_A/P_Debit_Header_File_____APDEBH,79,79,79,79,79
CLIMITA,z_***_remove_next_rel_____CLIMITA,236,236,236,236,236
APDEBD,z_A/P_Debit_Detail_File_____APDEBD,81,81,81,81,81
DBDWRK,z_A/P_Debit_Memo_Print_Workfile_-_Detail_____DBDWRK,81,81,81,81,81
APPRC,z_A/P_Processor_Voucher_Data_File_____APPRC,148,0,148,148,148
APEDITR,z_A/P_EDI_transaction_selection_____APEDITR,202,0,202,202,202
ITEMEXP,z______ITEMEXP,2,2,2,2,2
APDEBH,z_A/P_Debit_Header_File_____APDEBH,79,79,79,79,79
DBHWRK,z_A/P_Debit_Memo_Print_Workfile_-_Header_____DBHWRK,79,79,79,79,79
CLIMITA,z_***_remove_next_rel_____CLIMITA,236,236,236,236,236
ITEMEXP,z______ITEMEXP,2,2,2,2,2
CLIMITA,z_***_remove_next_rel_____CLIMITA,236,236,236,236,236
ITEMEXP,z______ITEMEXP,2,2,2,2,2
APDEBH,z_A/P_Debit_Header_File_____APDEBH,79,0,79,79,79
DBHWRK,z_A/P_Debit_Memo_Print_Workfile_-_Header_____DBHWRK,79,0,79,79,79
CLIMITA,z_***_remove_next_rel_____CLIMITA,236,236,236,236,236
APDEBD,z_A/P_Debit_Detail_File_____APDEBD,81,0,81,81,81
DBDWRK,z_A/P_Debit_Memo_Print_Workfile_-_Detail_____DBDWRK,81,0,81,81,81
APPRC,z_A/P_Processor_Voucher_Data_File_____APPRC,148,0,148,148,148
ITEMEXP,z______ITEMEXP,2,2,2,2,2
CLIMITA,z_***_remove_next_rel_____CLIMITA,236,236,236,236,236
ITEMEXP,z______ITEMEXP,2,2,2,2,2
APDEBH,z_A/P_Debit_Header_File_____APDEBH,79,0,79,79,79
DBHWRK,z_A/P_Debit_Memo_Print_Workfile_-_Header_____DBHWRK,79,0,79,79,79
CLIMITA,z_***_remove_next_rel_____CLIMITA,236,0,236,236,236
APDEBD,z_A/P_Debit_Detail_File_____APDEBD,81,0,81,81,81
DBDWRK,z_A/P_Debit_Memo_Print_Workfile_-_Detail_____DBDWRK,81,0,81,81,81
ITEMEXP,z______ITEMEXP,2,2,2,2,2
APDEBH,z_A/P_Debit_Header_File_____APDEBH,79,79,79,79,79
DBHWRK,z_A/P_Debit_Memo_Print_Workfile_-_Header_____DBHWRK,79,79,79,79,79
CLIMITA,z_***_remove_next_rel_____CLIMITA,236,236,236,236,236
ITEMEXP,z______ITEMEXP,2,2,2,2,2
DBHWRK,z_A/P_Debit_Memo_Print_Workfile_-_Header_____DBHWRK,79,79,79,79,79
APDEBH,z_A/P_Debit_Header_File_____APDEBH,79,79,79,79,79
CLIMITA,z_***_remove_next_rel_____CLIMITA,236,236,236,236,236
ITEMEXP,z______ITEMEXP,2,2,2,2,2
APDEBH,z_A/P_Debit_Header_File_____APDEBH,79,79,79,79,79
DBHWRK,z_A/P_Debit_Memo_Print_Workfile_-_Header_____DBHWRK,79,0,79,79,79
