Table,MW4FILE_Count,SQL_Count,SQL_Initial_Count
CLIMITA,236,236,236
ADDHSTCT,1500,1500,1500
AROEHITS,6911,6911,6911
ITEMEXP,2,2,2
ITEMLIST,44827,44827,44827
OECHANGE,30261,30261,30261
POHSTDET,9566,9566,9566
POHSTHDR,9566,9566,9566
USEDSEQ,205664,205664,205664
APCHKH,26985,26985,26985
APDEBD,81,81,81
APDEBH,79,79,79
DBDWRK,81,81,81
DBHWRK,79,79,79
APEDITR,202,202,202
APDIST,165183,165183,165183
APHIST,151795,151795,151795
APINV,9847,9847,9847
APOPEN,151286,151286,151286
APPRC,128,128,128
APVOID,316,316,316
ARBTCH,20236,20236,20236
ARCASH,46126,46126,46126
ARGLTR,339704,339704,339704
ARDETAL,147556,0,0
CRHIST,148537,148537,148537
ARPAYHST,90559,90559,90559
FCXREF,571,571,571
ARECONCL,158,158,158
AP801WF,166,166,166
AP803WF,789,789,789
ARCHEXC,273,273,273
BCCHECKS,99,99,99
ITEMS,134053,134053,134053
BDSEPR,9653,9653,9653
BDSEPRBH,148,148,148
ARCUSCHG,4091,4091,4091
CHGHST,68356,68356,68356
COMPSMO,287,287,287
COUNTRY,171,171,171
CRCOMMNT,22313,22313,22313
CRDETAIL,5447,5447,5447
CRHEADER,5445,5445,5445
OECRRELS,48486,0,0
AP803CSV,135,135,135
EXCHANGE,2331,2331,2331
EXHTRANS,44282,44282,0
ARINFO,308,308,308
CCLSMT,35478,35478,0
CCLSYT,9909,9909,9909
CUSINVAD,1278,1278,1278
ARCUST,1278,0,0
ARCUST_B4,438,0,0
MWARCUST,980,0,0
ARCUSHST,1279,0,0
ARCUST_01,383,383,383
SALESOBJ,10021,10021,10008
SHIPADR,3292,0,0
SHPINST,731,0,0
CUTTHEAD,383,383,383
CUTTMTX,640,640,640
FLASHINV,2993,2993,2989
FLASHRPT,40392,40392,40348
WFOE895,70,70,104
DELTRACK,3890,3890,3887
CUTTOLD,377,377,377
DISTRAFF,329,329,329
ITEMCLSD,144,0,0
EDITAB66,189,189,189
EDICD3,395,395,395
EDICD2A,94,94,94
EDICD4,84,84,84
EMADDTL,177,177,176
