AGENCY_CODE_____ITAGN,FK/Code (Potential),1,ST (289140),"ST, ST, ST, ST, ST",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,2
COMMRCL_STATUS_CODE_____ITCMC,FK/Code (Potential),0,N/A," ,  ,  ,  ,  ",nvarchar,(MAX),289140,0,289140,0.00%,100.00%,0,2
EDGE_DESIGNATIO_CODE_____ITEDC,FK/Code (Potential),1,0.0 (289140),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,2
FORMATTED_ID_____ITFMID,FK/Code (Potential),1,0.0 (289140),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,2
PROC_STATUS_CODE_____ITMSTS,FK/Code (Potential),3,"1 (282189), 0 (10), 2 (8)","1, 1, 1, 1, 1",nvarchar,(MAX),289140,0,6933,0.00%,2.40%,0,2
PROCESS_CODE_____ITPCD,FK/Code (Potential),0,N/A,"  ,   ,   ,   ,   ",nvarchar,(MAX),289140,0,289140,0.00%,100.00%,0,2
Q/A_STATUS_CODES_____ITQAC,FK/Code (Potential),0,N/A," ,  ,  ,  ,  ",nvarchar,(MAX),289140,0,289140,0.00%,100.00%,0,2
Record_Code_____ITRECD,FK/Code (Potential),6,"H (276319), A (12339), J (271), C (108), I (99), P (4)","H, H, H, H, H",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,2
Tariff_Code_____ITTRF,FK/Code (Potential),0,N/A,"               ,                ,                ,                ,                ",nvarchar,(MAX),289140,0,289140,0.00%,100.00%,0,2
Transport_ID_____ITTID,FK/Code (Potential),0,N/A,"               ,                ,                ,                ,                ",nvarchar,(MAX),289140,0,289140,0.00%,100.00%,0,2
ULT_CUST_STEEL_PROD_EDI_CODE_____ITUCE,FK/Code (Potential),0,N/A,"                 ,                  ,                  ,                  ,                  ",nvarchar,(MAX),289140,0,289140,0.00%,100.00%,0,2
COMMENT_LINE3_____ITV304,Category/Code (Low Distinct),3,"INDICATION.                    (1), JT# 16                         (1), Q&T 311-353 10""X3.5""           (1)","                              ,                               ,                               ,                               ,                               ",nvarchar,(MAX),289140,0,289137,0.00%,100.00%,0,3
Country_____ITCTRY,Category/Code (Low Distinct),18,"USA (211234), VRC (18521), RO  (17666), MEX (15895), I   (8988), TR  (5224), E   (4208), ROK (3586), CAN (898), CS  (720)","USA, USA, MEX, USA, USA",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,3
EDI_COMMENT_____ITECM,Category/Code (Low Distinct),13,"2                              (2), 6                              (2), '                              (1), \                              (1), ]                              (1), 11                             (1), 185                            (1), 19                             (1), 24                             (1), 3                              (1)","                              ,                               ,                               ,                               ,                               ",nvarchar,(MAX),289140,0,289125,0.00%,99.99%,0,3
MATERIAL_SHAPE_____ITTSHP,Category/Code (Low Distinct),4,"T (157377), B (131021), P (696), L (2)","B, T, T, B, B",nvarchar,(MAX),289140,0,44,0.00%,0.02%,0,3
MATERIAL_TESTED_FLAG_____ITMTRT,Category/Code (Low Distinct),3,"N (289136), B (3), M (1)","N, N, N, N, N",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,3
PO_Line_#_____ITPOLN,Category/Code (Low Distinct),4,"1.0 (150213), 0.0 (138863), 2.0 (35), 3.0 (29)","1.0, 0.0, 1.0, 1.0, 0.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,3
Remote_Inventory_Vendor_Number_____ITRVND,Category/Code (Low Distinct),8,"0.0 (289087), 355.0 (36), 531.0 (11), 121.0 (2), 114.0 (1), 119.0 (1), 168.0 (1), 203.0 (1)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,3
Salesman_____ITSLMN,Category/Code (Low Distinct),20,"0.0 (281920), 1.0 (3915), 9.0 (693), 4.0 (619), 3.0 (490), 12.0 (450), 8.0 (264), 19.0 (226), 21.0 (203), 56.0 (98)","0.0, 0.0, 1.0, 0.0, 0.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,3
Shape_____ITSHAP,Category/Code (Low Distinct),4,"T (157409), B (131030), P (696), L (2)","B, T, B, B, B",nvarchar,(MAX),289140,0,3,0.00%,0.00%,0,3
Transaction_Type_____ITTRNT,Category/Code (Low Distinct),5,"IA (217472), PO (61974), MP (5509), OE (3548), CM (611)","IA, IA, IA, IA, PO",nvarchar,(MAX),289140,0,26,0.00%,0.01%,0,3
