ORDER_NUMBER_____OOORDR,PK (Potential - Name),153764,Distinct: 153764,"178614.0, 860935.0, 822511.0, 895760.0, 842012.0",nvarchar,(MAX),153764,0,0,0.00%,0.00%,1,1
CC_Approval_Code_____OOCAPC,FK/Code (Potential),0,N/A,"      ,       ,       ,       ,       ",nvarchar,(MAX),153764,0,153764,0.00%,100.00%,0,2
CITY_TAX_CODE_____OOCICD,FK/Code (Potential),0,N/A,"   ,    ,    ,    ,    ",nvarchar,(MAX),153764,0,153764,0.00%,100.00%,0,2
CITY_TAX_CODE_____OOCTTX,FK/Code (Potential),1,00001 (13),"     ,      ,      ,      ,      ",nvarchar,(MAX),153764,0,153751,0.00%,99.99%,0,2
COUNTY_TAX_CODE_____OOCNTX,FK/Code (Potential),1,001 (13),"   ,    ,    ,    ,    ",nvarchar,(MAX),153764,0,153751,0.00%,99.99%,0,2
COUNTY_TAX_CODE_____OOCNTY,FK/Code (Potential),0,N/A,"  ,   ,   ,   ,   ",nvarchar,(MAX),153764,0,153764,0.00%,100.00%,0,2
CREDIT_MEMO_REASON_CODE_____OOCMRS,FK/Code (Potential),0,N/A,"  ,   ,   ,   ,   ",nvarchar,(MAX),153764,0,153764,0.00%,100.00%,0,2
CUSTOMER_PARENT_CODE_____OOPARN,FK/Code (Potential),6,"WEAT (612), AIT  (456), TXST (278), WECA (256), DRIL (159), W74  (60)","    ,     ,     ,     ,     ",nvarchar,(MAX),153764,0,151943,0.00%,98.82%,0,2
CUSTOMER_PRICE_CODE_____OOPRCO,FK/Code (Potential),0,N/A,"  ,   ,   ,   ,   ",nvarchar,(MAX),153764,0,153764,0.00%,100.00%,0,2
Delivery_Date_Code_____OODDCD,FK/Code (Potential),3,"A (153729), E (3), C (1)","A, A, A, A, A",nvarchar,(MAX),153764,0,31,0.00%,0.02%,0,2
EDI_SUPPLIER_ID_CODE_____OOISSU,FK/Code (Potential),0,N/A,"                 ,                  ,                  ,                  ,                  ",nvarchar,(MAX),153764,0,153764,0.00%,100.00%,0,2
FED_TAX_CODE_____OOFTCD,FK/Code (Potential),1,GST (10059),"   ,    ,    ,    ,    ",nvarchar,(MAX),153764,0,143705,0.00%,93.46%,0,2
GENERIC_CPA_CODE_____OOGCPA,FK/Code (Potential),0,N/A,"  ,   ,   ,   ,   ",nvarchar,(MAX),153764,0,153764,0.00%,100.00%,0,2
O/E_In_Use_Code_____OOINUS,FK/Code (Potential),0,N/A," ,  ,  ,  ,  ",nvarchar,(MAX),153764,0,153764,0.00%,100.00%,0,2
Order_designation_Code_____OODSGN,FK/Code (Potential),3,"0.0 (153703), 1.0 (57), 2.0 (4)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),153764,0,0,0.00%,0.00%,0,2
ORDER_REASON_CODE_____OOOERS,FK/Code (Potential),1,0.0 (153764),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),153764,0,0,0.00%,0.00%,0,2
OTHER_TAX_CODE_____OOOTCD,FK/Code (Potential),1,01 (13),"  ,   ,   ,   ,   ",nvarchar,(MAX),153764,0,153751,0.00%,99.99%,0,2
QUOTE_REASON_CODE_____OOQTRS,FK/Code (Potential),1,0.0 (153764),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),153764,0,0,0.00%,0.00%,0,2
Record_Code_____OORECD,FK/Code (Potential),5,"W (150385), A (3355), I (19), H (4), L (1)","W, W, W, W, W",nvarchar,(MAX),153764,0,0,0.00%,0.00%,0,2
State_Code_____OOCSTA,FK/Code (Potential),0,N/A,"  ,   ,   ,   ,   ",nvarchar,(MAX),153764,0,153764,0.00%,100.00%,0,2
STATE_Code_____OOSTCD,FK/Code (Potential),1,0.0 (153764),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),153764,0,0,0.00%,0.00%,0,2
STATE_TAX_CODE_____OOSTTX,FK/Code (Potential),0,N/A,"  ,   ,   ,   ,   ",nvarchar,(MAX),153764,0,153764,0.00%,100.00%,0,2
ZIP_CODE_12_POS_____OOCZIP,FK/Code (Potential),0,N/A,"            ,             ,             ,             ,             ",nvarchar,(MAX),153764,0,153764,0.00%,100.00%,0,2
ADDITIONAL_CHARGE_COST_OUTSIDE_____OOACSO,Category/Code (Low Distinct),4,"0.0 (153761), -162.5 (1), 174.44 (1), 65.0 (1)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),153764,0,0,0.00%,0.00%,0,3
ADDITIONAL_CHARGE_SALES_OUTSIDE_____OOASLO,Category/Code (Low Distinct),4,"0.0 (153761), 1100.0 (1), -162.5 (1), 206.47999999999999 (1)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),153764,0,0,0.00%,0.00%,0,3
Bid_or_Quote_B/Q_____OOBIDQ,Category/Code (Low Distinct),3,"Q (150906), I (2539), B (2)","Q, Q, I, Q, Q",nvarchar,(MAX),153764,0,317,0.00%,0.21%,0,3
C/C_APPROVAL_AMT_____OOCCAA,Category/Code (Low Distinct),18,"0.0 (153747), 122.33 (1), 127.73999999999999 (1), 140.0 (1), 201.34999999999999 (1), 219.97 (1), 226.25 (1), 2492.6999999999998 (1), 320.0 (1), 328.0 (1)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),153764,0,0,0.00%,0.00%,0,3
CONT_COMP_NAME_____OOCCMP,Category/Code (Low Distinct),10,"BAKER                               (1), BOB                                 (1), CARLOS                              (1), HARD TO FIND INTERNATIONAL, INC.    (1), ITS ENERGY SERVICES                 (1), LANCE                               (1), PATTY                               (1), SEOAM MACHINERY INDUSTRY CO         (1), TEST UNASSIGNED QUOTE               (1), WILLIAM                             (1)","                                   ,                                    ,                                    ,                                    ,                                    ",nvarchar,(MAX),153764,0,153754,0.00%,99.99%,0,3
CONT_PHONE_____OOCPHN,Category/Code (Low Distinct),6,"062-960-5055    (1), 2812565620      (1), 2813695525      (1), 455353          (1), 760.712.3819    (1), EMAIL           (1)","               ,                ,                ,                ,                ",nvarchar,(MAX),153764,0,153758,0.00%,100.00%,0,3
Discount_Days_Allowed_-_A/R_____OODSCD,Category/Code (Low Distinct),10,"30.0 (110316), 60.0 (9502), 90.0 (8622), 0.0 (7980), 10.0 (7863), 75.0 (6510), 120.0 (1485), 45.0 (903), 15.0 (581), 5.0 (2)","30.0, 0.0, 30.0, 30.0, 30.0",nvarchar,(MAX),153764,0,0,0.00%,0.00%,0,3
DISCOUNT_TERMS_____OODTRM,Category/Code (Low Distinct),17,"1.0 (112758), 3.0 (9542), 4.0 (8632), 15.0 (6578), 40.0 (5301), 22.0 (3578), 34.0 (2778), 5.0 (1492), 20.0 (1339), 2.0 (905)","1.0, 34.0, 1.0, 1.0, 1.0",nvarchar,(MAX),153764,0,0,0.00%,0.00%,0,3
FINANCIAL_SCRAP__FACTOR_COST_____OOFSFA,Category/Code (Low Distinct),3,"0.0 (153762), 0.63 (1), 3.8100000000000001 (1)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),153764,0,0,0.00%,0.00%,0,3
FISCAL_PERIOD_____OOGLPP,Category/Code (Low Distinct),13,"0.0 (47631), 3.0 (10939), 1.0 (9987), 2.0 (9850), 4.0 (9394), 11.0 (8848), 6.0 (8615), 10.0 (8578), 5.0 (8401), 8.0 (8298)","4.0, 2.0, 0.0, 3.0, 5.0",nvarchar,(MAX),153764,0,0,0.00%,0.00%,0,3
Order_Type_____OOTYPE,Category/Code (Low Distinct),4,"A (138207), B (7213), C (5450), Q (2894)","A, A, A, A, C",nvarchar,(MAX),153764,0,0,0.00%,0.00%,0,3
SPECIAL_INVOICE_HANDLING_____OOSPIY,Category/Code (Low Distinct),3,"E (116967), N (18444), Y (18353)","E, E, Y, E, E",nvarchar,(MAX),153764,0,0,0.00%,0.00%,0,3
STATE_SALES_TAX_RATE_____OOSTRT,Category/Code (Low Distinct),4,"0.0 (142345), 5.0000000000000003E-2 (10060), 8.2500000000000004E-2 (1325), 0.13 (34)","0.0, 0.0, 0.0, 0.0, 5.0000000000000003E-2",nvarchar,(MAX),153764,0,0,0.00%,0.00%,0,3
Tax_Country_____OOCTRY,Category/Code (Low Distinct),20,"USA (138526), CAN (10653), SGP (3315), MEX (789), MAL (176), UK  (107), UAE (63), EC  (52), GB  (23), SA  (23)","USA, USA, USA, CAN, USA",nvarchar,(MAX),153764,0,2,0.00%,0.00%,0,3
TERMS_OF_SALE_____OOSTRM,Category/Code (Low Distinct),10,"1.0 (137438), 2.0 (10819), 90.0 (1949), 40.0 (1409), 93.0 (1183), 94.0 (838), 95.0 (75), 0.0 (31), 89.0 (16), 91.0 (6)","1.0, 1.0, 1.0, 1.0, 1.0",nvarchar,(MAX),153764,0,0,0.00%,0.00%,0,3
USER_____OOIUSR,Category/Code (Low Distinct),14,"AMILLS     (33747), JSWONKE    (31759), CSTEWART   (28188), LMCCOY     (24779), AVELASQU   (11187), MROBERSO   (9182), CRUPERT    (6659), SMEDINA    (2301), ABYRD      (1362), LMESSICK   (642)","MROBERSO  , LMCCOY    , AMILLS    , CSTEWART  , AMILLS    ",nvarchar,(MAX),153764,0,3374,0.00%,2.19%,0,3
WHOLE_ORDER_CHARGE_COST_TOTAL_____OOWCCS,Category/Code (Low Distinct),7,"0.0 (153758), 0.01 (1), 1.04 (1), -13139.639999999999 (1), -50.0 (1), 6569.8199999999997 (1), -7195.46 (1)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),153764,0,0,0.00%,0.00%,0,3
WHOLE_ORDER_CHARGE_SALES_TOTAL_____OOWCSL,Category/Code (Low Distinct),6,"0.0 (153757), 2926.98 (2), 6569.8199999999997 (2), -13139.639999999999 (1), -50.0 (1), -7195.46 (1)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),153764,0,0,0.00%,0.00%,0,3
ADJ_GROSS_PROFIT_%_____OOGPPC,Text,11924,Distinct: 11924,"25.48, 26.870000000000001, 37.009999999999998, 25.300000000000001, 65.810000000000002",nvarchar,(MAX),153764,0,0,0.00%,0.00%,0,4
Audited_Time_____OOAUTM,Text,29748,Distinct: 29748,"114457.0, 0.0, 103004.0, 0.0, 0.0",nvarchar,(MAX),153764,0,0,0.00%,0.00%,0,4
Audited_User_____OOAUUS,Text,44,Distinct: 44,"BWILLEFO  ,           , SCHARTRAND, ACRUZ     ,           ",nvarchar,(MAX),153764,0,90244,0.00%,58.69%,0,4
CONT_CUST_NAME_____OOCCUS,Text,281,Distinct: 281,"                                   ,                                    ,                                    ,                                    ,                                    ",nvarchar,(MAX),153764,0,151688,0.00%,98.65%,0,4
CUSTOMER_NUMBER_____OOCUST,Text,1135,Distinct: 1135,"592.0, 138.0, 907.0, 1403.0, 189.0",nvarchar,(MAX),153764,0,0,0.00%,0.00%,0,4
CUSTOMER_PO_NUMBER_____OOCPO,Text,99146,Distinct: 99146,"5566                  , 14039283              , 85472                 , 135587-01             , 28186                 ",nvarchar,(MAX),153764,0,2838,0.00%,1.85%,0,4
CUSTOMER_SHIP-TO_____OOSHTO,Text,124,Distinct: 124,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),153764,0,0,0.00%,0.00%,0,4
CUTTING_CHARGE_COST_OUTSIDE_____OOCCSO,Text,15028,Distinct: 15028,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),153764,0,0,0.00%,0.00%,0,4
CUTTING_CHARGE_SALES_OUTSIDE_____OOCSLO,Text,15802,Distinct: 15802,"0.0, 0.0, 772.25, 312.5, 562.51999999999998",nvarchar,(MAX),153764,0,0,0.00%,0.00%,0,4
EX_CUTTING_CHARGE_SALES_OUTSIDE_____OOXCSO,Text,924,Distinct: 924,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),153764,0,0,0.00%,0.00%,0,4
EX_MATERIAL_SALES_____OOXMSL,Text,9197,Distinct: 9197,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),153764,0,0,0.00%,0.00%,0,4
EX_NET_AR_____OOXAMT,Text,9149,Distinct: 9149,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),153764,0,0,0.00%,0.00%,0,4
EX_NET_SALES_____OOXNSL,Text,9123,Distinct: 9123,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),153764,0,0,0.00%,0.00%,0,4
EXCH_STATE_TAX_AMT_____OOXSTA,Text,7747,Distinct: 7747,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),153764,0,0,0.00%,0.00%,0,4
